,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NEV,5600,15700,Q,
20100105,NEV,14225,41749,Q,
20100106,NEV,10275,21410,Q,
20100107,NEV,16725,40266,Q,
20100108,NEV,23728,39624,Q,
20100111,NEV,10928,25660,Q,
20100112,NEV,2843,30477,Q,
20100113,NEV,4795,12945,Q,
20100114,NEV,11697,18498,Q,
20100115,NEV,11230,20730,Q,
20100119,NEV,14595,35915,Q,
20100120,NEV,30279,49702,Q,
20100121,NEV,3120,23870,Q,
20100122,NEV,3510,20704,Q,
20100125,NEV,5775,12250,Q,
20100126,NEV,11850,34361,Q,
20100127,NEV,6467,11891,Q,
20100128,NEV,17500,71820,Q,
20100129,NEV,5900,58426,Q,
20100201,NEV,12421,22297,Q,
20100202,NEV,8433,33993,Q,
20100203,NEV,10650,14600,Q,
20100204,NEV,6256,18468,Q,
20100205,NEV,8330,15330,Q,
20100208,NEV,2700,11101,Q,
20100209,NEV,8863,17663,Q,
20100210,NEV,4300,16252,Q,
20100211,NEV,7435,23836,Q,
20100212,NEV,8393,17163,Q,
20100216,NEV,5650,18336,Q,
20100217,NEV,6445,18051,Q,
20100218,NEV,5629,15845,Q,
20100219,NEV,3000,13145,Q,
20100222,NEV,11983,23483,Q,
20100223,NEV,18443,41242,Q,
20100224,NEV,11556,20820,Q,
20100225,NEV,6225,21053,Q,
20100226,NEV,4400,14780,Q,
20100301,NEV,6493,29294,Q,
20100302,NEV,3820,49155,Q,
20100303,NEV,2200,16633,Q,
20100304,NEV,500,17482,Q,
20100305,NEV,1500,21466,Q,
20100308,NEV,1800,17479,Q,
20100309,NEV,2700,11783,Q,
20100310,NEV,6264,22241,Q,
20100311,NEV,6124,13928,Q,
20100312,NEV,1666,13592,Q,
20100315,NEV,2380,27392,Q,
20100316,NEV,1800,25012,Q,
20100317,NEV,6750,30106,Q,
20100318,NEV,1400,19841,Q,
20100319,NEV,3300,25771,Q,
20100322,NEV,10810,25269,Q,
20100323,NEV,4143,21553,Q,
20100324,NEV,3200,12710,Q,
20100325,NEV,1800,18205,Q,
20100329,NEV,3700,13884,Q,
20100331,NEV,2100,10360,Q,
20100406,NEV,500,4100,Q,
20100407,NEV,1900,22264,Q,
20100408,NEV,5800,23907,Q,
20100409,NEV,900,6398,Q,
20100412,NEV,2400,31929,Q,
20100413,NEV,2400,11520,Q,
20100414,NEV,4354,28945,Q,
20100415,NEV,1700,14893,Q,
20100416,NEV,600,10738,Q,
20100419,NEV,2087,2487,Q,
20100420,NEV,1100,6239,Q,
20100421,NEV,4066,12271,Q,
20100422,NEV,6300,14085,Q,
20100423,NEV,2500,15302,Q,
20100426,NEV,4882,29604,Q,
20100427,NEV,4045,21584,Q,
20100428,NEV,3105,15076,Q,
20100429,NEV,1850,13360,Q,
20100430,NEV,5736,31814,Q,
20100503,NEV,3936,10112,Q,
20100504,NEV,8414,23012,Q,
20100510,NEV,10100,17017,Q,
20100511,NEV,10154,28853,Q,
20100512,NEV,4400,32742,Q,
20100513,NEV,1550,16910,Q,
20100517,NEV,520,13544,Q,
20100518,NEV,1850,14252,Q,
20100519,NEV,1700,13066,Q,
20100520,NEV,978,16202,Q,
20100521,NEV,2200,19104,Q,
20100524,NEV,200,10290,Q,
20100525,NEV,4091,35824,Q,
20100526,NEV,10343,17400,Q,
20100527,NEV,3100,18383,Q,
20100528,NEV,1000,11463,Q,
20100601,NEV,700,9674,Q,
20100602,NEV,2368,6168,Q,
20100603,NEV,6690,9393,Q,
20100604,NEV,3410,9589,Q,
20100607,NEV,2640,12081,Q,
20100608,NEV,4735,7493,Q,
20100609,NEV,100,6957,Q,
20100610,NEV,8381,11981,Q,
20100611,NEV,2850,6367,Q,
20100614,NEV,10607,25582,Q,
20100615,NEV,3017,7742,Q,
20100616,NEV,14701,25194,Q,
20100617,NEV,4139,13571,Q,
20100618,NEV,5500,14587,Q,
20100621,NEV,1720,14045,Q,
20100622,NEV,16095,32140,Q,
20100623,NEV,4800,23303,Q,
20100624,NEV,2445,12491,Q,
20100625,NEV,2816,10952,Q,
20100628,NEV,9700,23461,Q,
20100629,NEV,14397,23484,Q,
20100630,NEV,4730,15882,Q,
20100701,NEV,2300,17776,Q,
20100702,NEV,4098,8351,Q,
20100706,NEV,1700,10877,Q,
20100707,NEV,3000,17289,Q,
20100708,NEV,9642,11399,Q,
20100709,NEV,7739,44105,Q,
20110804,NEV,2550,24310,,0.0
