,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NFLX,407863,961908,Q,
20100105,NFLX,455984,1518944,Q,
20100106,NFLX,408002,1120240,Q,
20100107,NFLX,197972,533442,Q,
20100108,NFLX,158312,383203,Q,
20100111,NFLX,149425,327600,Q,
20100112,NFLX,147576,304620,Q,
20100113,NFLX,314505,701127,Q,
20100114,NFLX,369936,926239,Q,
20100115,NFLX,248016,534877,Q,
20100119,NFLX,127670,227193,Q,
20100120,NFLX,191448,428301,Q,
20100121,NFLX,192544,411005,Q,
20100122,NFLX,192609,393029,Q,
20100125,NFLX,409936,803910,Q,
20100126,NFLX,412496,664460,Q,
20100127,NFLX,451053,747986,Q,
20100128,NFLX,1834274,3669942,Q,
20100129,NFLX,422204,1138897,Q,
20100201,NFLX,288009,742974,Q,
20100202,NFLX,132125,386779,Q,
20100203,NFLX,129332,425302,Q,
20100204,NFLX,105319,327648,Q,
20100205,NFLX,131458,537798,Q,
20100208,NFLX,168100,344953,Q,
20100209,NFLX,174547,510120,Q,
20100210,NFLX,142920,318788,Q,
20100211,NFLX,208019,348245,Q,
20100212,NFLX,157447,359767,Q,
20100216,NFLX,276848,459130,Q,
20100217,NFLX,151751,318903,Q,
20100218,NFLX,259016,450908,Q,
20100219,NFLX,215942,388696,Q,
20100222,NFLX,891283,1540073,Q,
20100223,NFLX,259876,420116,Q,
20100224,NFLX,303683,475249,Q,
20100225,NFLX,193942,340225,Q,
20100226,NFLX,122261,221326,Q,
20100301,NFLX,336218,510022,Q,
20100302,NFLX,222389,510089,Q,
20100303,NFLX,601652,1124121,Q,
20100304,NFLX,167913,278838,Q,
20100305,NFLX,230753,440588,Q,
20100308,NFLX,125905,278373,Q,
20100309,NFLX,302335,599319,Q,
20100310,NFLX,179067,295794,Q,
20100311,NFLX,241437,419122,Q,
20100312,NFLX,212372,359272,Q,
20100315,NFLX,102360,196037,Q,
20100316,NFLX,117510,419261,Q,
20100317,NFLX,106866,237269,Q,
20100318,NFLX,67436,121325,Q,
20100319,NFLX,131068,333104,Q,
20100322,NFLX,217370,349547,Q,
20100323,NFLX,115612,192296,Q,
20100324,NFLX,80469,150420,Q,
20100325,NFLX,163250,310782,Q,
20100326,NFLX,127522,227228,Q,
20100329,NFLX,110161,259942,Q,
20100330,NFLX,142063,256407,Q,
20100331,NFLX,71184,197254,Q,
20100401,NFLX,319986,476079,Q,
20100405,NFLX,409895,677232,Q,
20100406,NFLX,605071,1162415,Q,
20100407,NFLX,611152,1170375,Q,
20100408,NFLX,361500,629049,Q,
20100409,NFLX,293773,589021,Q,
20100412,NFLX,197592,429347,Q,
20100413,NFLX,587510,882097,Q,
20100414,NFLX,459051,929291,Q,
20100415,NFLX,304845,666158,Q,
20100416,NFLX,273113,573185,Q,
20100419,NFLX,265205,746878,Q,
20100420,NFLX,338432,632351,Q,
20100421,NFLX,373576,984101,Q,
20100422,NFLX,2403606,4598669,Q,
20100423,NFLX,617085,1654336,Q,
20100426,NFLX,1035123,2769345,Q,
20100427,NFLX,383669,1910633,Q,
20100428,NFLX,293851,1322000,Q,
20100429,NFLX,319428,1098402,Q,
20100430,NFLX,194721,786354,Q,
20100503,NFLX,295266,907209,Q,
20100504,NFLX,364223,1002002,Q,
20100510,NFLX,328603,919339,Q,
20100511,NFLX,579198,1279122,Q,
20100512,NFLX,695006,1577872,Q,
20100513,NFLX,2320242,4211650,Q,
20100517,NFLX,1201761,2290279,Q,
20100518,NFLX,810045,1680314,Q,
20100519,NFLX,709742,1681046,Q,
20100520,NFLX,746033,1767234,Q,
20100521,NFLX,869161,1862925,Q,
20100524,NFLX,563608,1139520,Q,
20100525,NFLX,751248,1411120,Q,
20100526,NFLX,791082,1527095,Q,
20100527,NFLX,661281,1114851,Q,
20100528,NFLX,948590,1712852,Q,
20100601,NFLX,554073,1060663,Q,
20100602,NFLX,666344,1235888,Q,
20100603,NFLX,603859,1177334,Q,
20100604,NFLX,726634,1380732,Q,
20100607,NFLX,806828,1487108,Q,
20100608,NFLX,788444,1464282,Q,
20100609,NFLX,1296585,2342475,Q,
20100610,NFLX,871016,1536934,Q,
20100611,NFLX,956755,1883357,Q,
20100614,NFLX,1247749,2125492,Q,
20100615,NFLX,940069,1875252,Q,
20100616,NFLX,937341,1839105,Q,
20100617,NFLX,577495,1156504,Q,
20100618,NFLX,398985,850394,Q,
20100621,NFLX,542385,1370971,Q,
20100622,NFLX,522866,1627547,Q,
20100623,NFLX,408364,910212,Q,
20100624,NFLX,254077,699782,Q,
20100625,NFLX,445064,1011041,Q,
20100628,NFLX,384321,683344,Q,
20100629,NFLX,655651,1168702,Q,
20100630,NFLX,725822,1367037,Q,
20100701,NFLX,617587,1350619,Q,
20100702,NFLX,395051,698370,Q,
20100706,NFLX,591719,962188,Q,
20100707,NFLX,1033469,1503152,Q,
20100708,NFLX,1083749,1786258,Q,
20100709,NFLX,454612,810383,Q,
20110804,NFLX,504569,1313921,,300.0
