,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NGAS,103140,508460,Q,
20100105,NGAS,80214,404075,Q,
20100106,NGAS,391433,733426,Q,
20100107,NGAS,161311,386684,Q,
20100108,NGAS,231361,460465,Q,
20100111,NGAS,15900,208727,Q,
20100112,NGAS,70942,215848,Q,
20100113,NGAS,50980,323679,Q,
20100114,NGAS,31652,161282,Q,
20100115,NGAS,44365,204939,Q,
20100119,NGAS,58759,167630,Q,
20100120,NGAS,58106,168595,Q,
20100121,NGAS,113054,268137,Q,
20100122,NGAS,60928,171399,Q,
20100125,NGAS,94936,388956,Q,
20100126,NGAS,48835,134697,Q,
20100127,NGAS,46065,210011,Q,
20100128,NGAS,105643,471337,Q,
20100129,NGAS,67457,201989,Q,
20100201,NGAS,66784,249795,Q,
20100202,NGAS,59586,262129,Q,
20100203,NGAS,25160,98884,Q,
20100204,NGAS,96878,350602,Q,
20100205,NGAS,53100,289429,Q,
20100208,NGAS,37345,126789,Q,
20100209,NGAS,46516,135004,Q,
20100210,NGAS,25938,81650,Q,
20100211,NGAS,330573,980388,Q,
20100212,NGAS,143360,520572,Q,
20100216,NGAS,52716,215206,Q,
20100217,NGAS,82700,178966,Q,
20100218,NGAS,45290,127272,Q,
20100219,NGAS,68058,200347,Q,
20100222,NGAS,44205,197823,Q,
20100223,NGAS,39975,184204,Q,
20100224,NGAS,43290,91210,Q,
20100225,NGAS,39506,102548,Q,
20100226,NGAS,21373,52686,Q,
20100301,NGAS,62058,131568,Q,
20100302,NGAS,23425,107152,Q,
20100303,NGAS,23033,98310,Q,
20100304,NGAS,9168,117204,Q,
20100305,NGAS,1800,66205,Q,
20100308,NGAS,17029,65836,Q,
20100309,NGAS,28057,109741,Q,
20100310,NGAS,16270,87093,Q,
20100311,NGAS,8100,79904,Q,
20100312,NGAS,20785,181336,Q,
20100315,NGAS,17033,102117,Q,
20100316,NGAS,18400,118288,Q,
20100317,NGAS,315976,624751,Q,
20100318,NGAS,87325,281103,Q,
20100319,NGAS,36920,115907,Q,
20100322,NGAS,80304,194235,Q,
20100323,NGAS,54407,107123,Q,
20100324,NGAS,31910,87671,Q,
20100325,NGAS,127345,348528,Q,
20100326,NGAS,48554,165622,Q,
20100329,NGAS,53550,101000,Q,
20100330,NGAS,44745,75821,Q,
20100331,NGAS,50820,125913,Q,
20100401,NGAS,170532,474212,Q,
20100405,NGAS,51896,178427,Q,
20100406,NGAS,83160,229014,Q,
20100407,NGAS,129102,280665,Q,
20100408,NGAS,75191,268653,Q,
20100409,NGAS,73516,192358,Q,
20100412,NGAS,71036,157698,Q,
20100413,NGAS,22200,62848,Q,
20100414,NGAS,51483,122760,Q,
20100415,NGAS,55545,144235,Q,
20100416,NGAS,94448,218957,Q,
20100419,NGAS,22180,122088,Q,
20100420,NGAS,22555,96643,Q,
20100421,NGAS,21532,92422,Q,
20100422,NGAS,17250,63462,Q,
20100423,NGAS,99975,341538,Q,
20100426,NGAS,125620,212700,Q,
20100427,NGAS,23014,85856,Q,
20100428,NGAS,116089,280942,Q,
20100429,NGAS,25765,128073,Q,
20100430,NGAS,5000,50475,Q,
20100503,NGAS,23895,80640,Q,
20100504,NGAS,39976,179227,Q,
20100510,NGAS,24673,110157,Q,
20100511,NGAS,17154,54024,Q,
20100512,NGAS,979102,1818357,Q,
20100513,NGAS,341437,608211,Q,
20100517,NGAS,64803,257751,Q,
20100518,NGAS,89867,194603,Q,
20100519,NGAS,90890,227690,Q,
20100520,NGAS,108747,286332,Q,
20100521,NGAS,102255,197382,Q,
20100524,NGAS,72144,126670,Q,
20100525,NGAS,129207,324207,Q,
20100526,NGAS,106579,266018,Q,
20100527,NGAS,72396,210140,Q,
20100528,NGAS,45340,177352,Q,
20100601,NGAS,36862,199441,Q,
20100602,NGAS,237501,506256,Q,
20100603,NGAS,300861,687095,Q,
20100604,NGAS,225193,567893,Q,
20100607,NGAS,93621,254817,Q,
20100608,NGAS,92517,174559,Q,
20100609,NGAS,96832,191944,Q,
20100610,NGAS,84058,149104,Q,
20100611,NGAS,199237,366739,Q,
20100614,NGAS,100990,227275,Q,
20100615,NGAS,398878,912009,Q,
20100616,NGAS,161128,327404,Q,
20100617,NGAS,108154,265576,Q,
20100618,NGAS,79148,172729,Q,
20100621,NGAS,149034,373077,Q,
20100622,NGAS,120386,250434,Q,
20100623,NGAS,52933,206855,Q,
20100624,NGAS,88336,229876,Q,
20100625,NGAS,74352,219250,Q,
20100628,NGAS,76136,133813,Q,
20100629,NGAS,124760,325631,Q,
20100630,NGAS,74399,210781,Q,
20100701,NGAS,62504,204059,Q,
20100702,NGAS,117043,262126,Q,
20100706,NGAS,85203,147781,Q,
20100707,NGAS,114808,196613,Q,
20100708,NGAS,75481,231009,Q,
20100709,NGAS,32164,89303,Q,
