,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NICK,1050,4769,Q,
20100105,NICK,700,1300,Q,
20100106,NICK,900,3195,Q,
20100107,NICK,1135,2343,Q,
20100108,NICK,380,1680,Q,
20100111,NICK,100,2070,Q,
20100112,NICK,2350,3720,Q,
20100113,NICK,4539,10639,Q,
20100114,NICK,100,402,Q,
20100115,NICK,798,1502,Q,
20100119,NICK,3600,6510,Q,
20100120,NICK,2139,3139,Q,
20100121,NICK,1377,3577,Q,
20100122,NICK,800,2300,Q,
20100125,NICK,182,2082,Q,
20100127,NICK,400,660,Q,
20100128,NICK,550,850,Q,
20100129,NICK,135,1635,Q,
20100201,NICK,1306,1506,Q,
20100202,NICK,4958,9888,Q,
20100204,NICK,200,1100,Q,
20100205,NICK,300,1995,Q,
20100208,NICK,1491,4316,Q,
20100209,NICK,965,1382,Q,
20100212,NICK,100,261,Q,
20100216,NICK,203,318,Q,
20100217,NICK,200,585,Q,
20100223,NICK,100,300,Q,
20100224,NICK,600,2844,Q,
20100226,NICK,572,3730,Q,
20100301,NICK,200,2880,Q,
20100302,NICK,700,1455,Q,
20100303,NICK,1300,2300,Q,
20100305,NICK,10723,12465,Q,
20100308,NICK,663,5449,Q,
20100309,NICK,4200,7309,Q,
20100310,NICK,5700,7890,Q,
20100311,NICK,800,5340,Q,
20100312,NICK,2835,2935,Q,
20100315,NICK,1440,1540,Q,
20100316,NICK,100,1700,Q,
20100317,NICK,700,1908,Q,
20100318,NICK,172,2953,Q,
20100323,NICK,5338,7563,Q,
20100324,NICK,3000,3700,Q,
20100325,NICK,326,2101,Q,
20100326,NICK,2300,6015,Q,
20100329,NICK,700,800,Q,
20100330,NICK,1488,2434,Q,
20100331,NICK,14228,14975,Q,
20100401,NICK,6414,11134,Q,
20100405,NICK,5000,14892,Q,
20100406,NICK,10100,17450,Q,
20100407,NICK,8175,30036,Q,
20100408,NICK,4900,19981,Q,
20100409,NICK,5079,9478,Q,
20100412,NICK,1825,9018,Q,
20100413,NICK,1113,2416,Q,
20100414,NICK,5921,24360,Q,
20100415,NICK,2515,6165,Q,
20100416,NICK,9550,42540,Q,
20100419,NICK,700,9200,Q,
20100420,NICK,4560,13735,Q,
20100421,NICK,200,1400,Q,
20100422,NICK,2620,6180,Q,
20100423,NICK,2200,8000,Q,
20100426,NICK,6707,13841,Q,
20100427,NICK,1369,2169,Q,
20100428,NICK,2100,5200,Q,
20100429,NICK,1500,9850,Q,
20100430,NICK,2211,5020,Q,
20100503,NICK,1100,8940,Q,
20100504,NICK,10410,36525,Q,
20100510,NICK,11322,21612,Q,
20100511,NICK,3400,7148,Q,
20100512,NICK,1400,2460,Q,
20100513,NICK,1300,2600,Q,
20100517,NICK,2500,5902,Q,
20100518,NICK,300,3292,Q,
20100519,NICK,300,4440,Q,
20100520,NICK,2600,4971,Q,
20100521,NICK,800,1600,Q,
20100525,NICK,2130,6480,Q,
20100526,NICK,3600,4100,Q,
20100527,NICK,2199,4109,Q,
20100601,NICK,200,200,Q,
20100602,NICK,100,200,Q,
20100603,NICK,600,2600,Q,
20100607,NICK,600,2094,Q,
20100609,NICK,3560,4360,Q,
20100610,NICK,4367,10556,Q,
20100611,NICK,1360,2160,Q,
20100614,NICK,800,5460,Q,
20100615,NICK,200,4550,Q,
20100616,NICK,1800,2300,Q,
20100617,NICK,1200,3300,Q,
20100618,NICK,176,576,Q,
20100621,NICK,1200,1697,Q,
20100622,NICK,200,700,Q,
20100623,NICK,1100,1400,Q,
20100628,NICK,100,11369,Q,
20100701,NICK,600,9396,Q,
20100702,NICK,2100,3100,Q,
20100709,NICK,200,700,Q,
20110804,NICK,1672,6513,,0.0
