,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NILE,12758,34769,Q,
20100105,NILE,7465,20572,Q,
20100106,NILE,5053,8150,Q,
20100107,NILE,2445,11083,Q,
20100108,NILE,5962,12251,Q,
20100111,NILE,10761,21314,Q,
20100112,NILE,7165,16747,Q,
20100113,NILE,7526,14305,Q,
20100114,NILE,7600,22516,Q,
20100115,NILE,28453,39919,Q,
20100119,NILE,6890,20503,Q,
20100120,NILE,24760,71344,Q,
20100121,NILE,13875,46428,Q,
20100122,NILE,9427,69278,Q,
20100125,NILE,6065,51649,Q,
20100126,NILE,10939,39413,Q,
20100127,NILE,5499,15986,Q,
20100128,NILE,16344,59376,Q,
20100129,NILE,73206,121272,Q,
20100201,NILE,24865,58200,Q,
20100202,NILE,30582,67248,Q,
20100203,NILE,10975,30304,Q,
20100204,NILE,111890,170795,Q,
20100205,NILE,33240,78334,Q,
20100208,NILE,59183,68975,Q,
20100209,NILE,72753,126256,Q,
20100210,NILE,18281,64458,Q,
20100211,NILE,58637,104273,Q,
20100212,NILE,166421,357223,Q,
20100216,NILE,33767,63382,Q,
20100217,NILE,50459,64564,Q,
20100218,NILE,38938,61290,Q,
20100219,NILE,5200,17405,Q,
20100222,NILE,36926,66960,Q,
20100223,NILE,34130,47684,Q,
20100224,NILE,35011,48334,Q,
20100225,NILE,15050,33694,Q,
20100226,NILE,10940,23376,Q,
20100301,NILE,31035,53136,Q,
20100302,NILE,23558,72039,Q,
20100303,NILE,17065,31685,Q,
20100304,NILE,11435,14727,Q,
20100305,NILE,37331,78683,Q,
20100308,NILE,7253,14808,Q,
20100309,NILE,13089,17421,Q,
20100310,NILE,21115,31510,Q,
20100311,NILE,7995,16728,Q,
20100312,NILE,5075,11375,Q,
20100315,NILE,12800,20009,Q,
20100316,NILE,5457,10223,Q,
20100317,NILE,6600,19271,Q,
20100318,NILE,32546,55893,Q,
20100319,NILE,53859,70208,Q,
20100322,NILE,6161,13476,Q,
20100323,NILE,6808,14586,Q,
20100324,NILE,4960,15955,Q,
20100325,NILE,24732,49473,Q,
20100326,NILE,21420,37192,Q,
20100329,NILE,21059,46801,Q,
20100330,NILE,10596,20171,Q,
20100331,NILE,5775,15982,Q,
20100401,NILE,15960,20986,Q,
20100405,NILE,13020,19446,Q,
20100406,NILE,13220,22602,Q,
20100407,NILE,21248,34966,Q,
20100408,NILE,10048,14395,Q,
20100409,NILE,13826,17650,Q,
20100412,NILE,11185,17056,Q,
20100413,NILE,71445,83648,Q,
20100414,NILE,23030,54751,Q,
20100415,NILE,27434,107709,Q,
20100416,NILE,15718,53619,Q,
20100419,NILE,21702,65509,Q,
20100420,NILE,8730,29900,Q,
20100421,NILE,5368,73778,Q,
20100422,NILE,15328,45935,Q,
20100423,NILE,7220,38620,Q,
20100426,NILE,11444,22073,Q,
20100427,NILE,5650,16342,Q,
20100428,NILE,21206,28169,Q,
20100429,NILE,6481,45842,Q,
20100430,NILE,7332,14132,Q,
20100503,NILE,8115,15313,Q,
20100504,NILE,53226,73047,Q,
20100510,NILE,23436,41914,Q,
20100511,NILE,9500,33664,Q,
20100512,NILE,25698,63499,Q,
20100513,NILE,15974,43654,Q,
20100517,NILE,63025,93687,Q,
20100518,NILE,36954,60750,Q,
20100519,NILE,47409,108004,Q,
20100520,NILE,63179,101144,Q,
20100521,NILE,17825,70070,Q,
20100524,NILE,23053,103843,Q,
20100525,NILE,37710,110421,Q,
20100526,NILE,18447,150402,Q,
20100527,NILE,22877,95230,Q,
20100528,NILE,24507,55085,Q,
20100601,NILE,7104,41299,Q,
20100602,NILE,45284,123240,Q,
20100603,NILE,28944,126138,Q,
20100604,NILE,22480,198690,Q,
20100607,NILE,42958,84395,Q,
20100608,NILE,42733,88468,Q,
20100609,NILE,41883,73317,Q,
20100610,NILE,29646,40180,Q,
20100611,NILE,19137,27278,Q,
20100614,NILE,42830,347254,Q,
20100615,NILE,19795,45556,Q,
20100616,NILE,56670,90539,Q,
20100617,NILE,27339,64640,Q,
20100618,NILE,38710,73083,Q,
20100621,NILE,73338,100505,Q,
20100622,NILE,102004,116970,Q,
20100623,NILE,78386,97742,Q,
20100624,NILE,22633,40177,Q,
20100625,NILE,33285,49921,Q,
20100628,NILE,10610,15363,Q,
20100629,NILE,30450,47628,Q,
20100630,NILE,25192,35792,Q,
20100701,NILE,30786,56683,Q,
20100702,NILE,26664,49565,Q,
20100706,NILE,42500,58004,Q,
20100707,NILE,45952,60461,Q,
20100708,NILE,24465,40287,Q,
20100709,NILE,54333,76392,Q,
20110804,NILE,64300,94533,,1000.0
