,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NKL,4227,12434,Q,
20100105,NKL,200,10850,Q,
20100106,NKL,2700,14150,Q,
20100108,NKL,300,12748,Q,
20100111,NKL,1200,11384,Q,
20100112,NKL,5333,10440,Q,
20100113,NKL,3100,9820,Q,
20100115,NKL,1800,11682,Q,
20100119,NKL,4200,5930,Q,
20100120,NKL,4998,12052,Q,
20100121,NKL,2772,8506,Q,
20100122,NKL,6681,13211,Q,
20100125,NKL,870,4600,Q,
20100126,NKL,7538,8138,Q,
20100127,NKL,3475,8237,Q,
20100128,NKL,8109,12133,Q,
20100129,NKL,8956,13946,Q,
20100201,NKL,6353,7374,Q,
20100202,NKL,6724,9570,Q,
20100203,NKL,3600,6696,Q,
20100204,NKL,1000,2267,Q,
20100205,NKL,494,2558,Q,
20100208,NKL,8780,14723,Q,
20100209,NKL,1555,3631,Q,
20100210,NKL,3427,4231,Q,
20100211,NKL,4740,7984,Q,
20100212,NKL,1400,3138,Q,
20100216,NKL,3300,10858,Q,
20100217,NKL,2700,13000,Q,
20100218,NKL,5300,8649,Q,
20100219,NKL,2594,7151,Q,
20100222,NKL,2965,6987,Q,
20100223,NKL,5500,8520,Q,
20100224,NKL,2200,13521,Q,
20100225,NKL,4000,10800,Q,
20100226,NKL,3427,5327,Q,
20100301,NKL,5600,8777,Q,
20100302,NKL,11008,14585,Q,
20100303,NKL,6734,9949,Q,
20100304,NKL,1000,3651,Q,
20100305,NKL,13875,20778,Q,
20100308,NKL,1100,5065,Q,
20100309,NKL,5310,8842,Q,
20100310,NKL,7949,9621,Q,
20100311,NKL,3933,5333,Q,
20100312,NKL,700,5021,Q,
20100315,NKL,2599,8474,Q,
20100316,NKL,2031,5631,Q,
20100317,NKL,7544,13764,Q,
20100318,NKL,100,2407,Q,
20100319,NKL,1940,3666,Q,
20100322,NKL,1100,2035,Q,
20100323,NKL,28200,36028,Q,
20100324,NKL,4880,12067,Q,
20100325,NKL,2318,6418,Q,
20100326,NKL,4500,6439,Q,
20100329,NKL,1000,4646,Q,
20100330,NKL,1803,1803,Q,
20100331,NKL,930,4619,Q,
20100401,NKL,3603,12630,Q,
20100405,NKL,1160,5011,Q,
20100406,NKL,7481,11881,Q,
20100407,NKL,1091,4344,Q,
20100408,NKL,3400,6000,Q,
20100409,NKL,4060,4418,Q,
20100412,NKL,10264,10864,Q,
20100413,NKL,6750,15890,Q,
20100414,NKL,560,4809,Q,
20100415,NKL,5625,9623,Q,
20100416,NKL,1491,6091,Q,
20100419,NKL,1250,5802,Q,
20100420,NKL,600,5450,Q,
20100421,NKL,3200,6097,Q,
20100422,NKL,1400,3185,Q,
20100423,NKL,4700,6500,Q,
20100426,NKL,700,6792,Q,
20100427,NKL,450,4150,Q,
20100428,NKL,5100,10540,Q,
20100429,NKL,3764,5088,Q,
20100430,NKL,1530,8165,Q,
20100503,NKL,700,3050,Q,
20100504,NKL,11133,16921,Q,
20100510,NKL,1300,6519,Q,
20100511,NKL,4800,9904,Q,
20100512,NKL,214,6407,Q,
20100513,NKL,1400,7335,Q,
20100517,NKL,4025,15086,Q,
20100518,NKL,1600,2078,Q,
20100519,NKL,2141,4299,Q,
20100520,NKL,8120,11598,Q,
20100521,NKL,1500,5010,Q,
20100524,NKL,3478,9134,Q,
20100525,NKL,566,7544,Q,
20100526,NKL,1539,6354,Q,
20100527,NKL,1413,7942,Q,
20100528,NKL,4335,7676,Q,
20100601,NKL,3591,13055,Q,
20100602,NKL,891,9403,Q,
20100604,NKL,5100,8845,Q,
20100607,NKL,1368,6650,Q,
20100609,NKL,1700,6300,Q,
20100610,NKL,5150,10612,Q,
20100611,NKL,2735,8110,Q,
20100614,NKL,3008,9909,Q,
20100615,NKL,3660,9410,Q,
20100616,NKL,1165,7694,Q,
20100617,NKL,1500,6935,Q,
20100618,NKL,5900,11250,Q,
20100621,NKL,10503,16558,Q,
20100622,NKL,9201,19195,Q,
20100623,NKL,400,12564,Q,
20100624,NKL,100,6836,Q,
20100628,NKL,900,16752,Q,
20100630,NKL,200,6183,Q,
20100701,NKL,3500,13100,Q,
20100702,NKL,5544,9769,Q,
20100706,NKL,5200,7679,Q,
20100707,NKL,3500,19866,Q,
20100708,NKL,1248,5664,Q,
20100709,NKL,1400,10862,Q,
20110804,NKL,600,7118,,0.0
