,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100209,NMTpC,26000,42300,Q,
20100210,NMTpC,8599,24599,Q,
20100226,NMTpC,200,6000,Q,
20100302,NMTpC,1500,1500,Q,
20100303,NMTpC,5500,5500,Q,
20100308,NMTpC,1600,1600,Q,
20100316,NMTpC,800,800,Q,
20100317,NMTpC,1000,6000,Q,
20100325,NMTpC,1950,2550,Q,
20100405,NMTpC,500,1400,Q,
20100406,NMTpC,500,3100,Q,
20100407,NMTpC,500,10400,Q,
20100413,NMTpC,700,2400,Q,
20100415,NMTpC,9600,15900,Q,
20100416,NMTpC,1000,4200,Q,
20100420,NMTpC,1000,1500,Q,
20100421,NMTpC,7500,16000,Q,
20100423,NMTpC,1000,3000,Q,
20100426,NMTpC,1900,1900,Q,
20100427,NMTpC,5200,5200,Q,
20100504,NMTpC,400,4200,Q,
20100512,NMTpC,1000,1000,Q,
20100518,NMTpC,4000,4000,Q,
20100520,NMTpC,3500,3500,Q,
20100521,NMTpC,1500,4100,Q,
20100524,NMTpC,2100,2400,Q,
20100601,NMTpC,1400,2000,Q,
20100623,NMTpC,2000,2000,Q,
