,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NOVA,3494,10110,Q,
20100105,NOVA,7499,9799,Q,
20100106,NOVA,2865,7562,Q,
20100107,NOVA,1000,5132,Q,
20100108,NOVA,9695,18725,Q,
20100111,NOVA,200,1701,Q,
20100112,NOVA,1200,3200,Q,
20100113,NOVA,1212,16048,Q,
20100114,NOVA,1950,5952,Q,
20100115,NOVA,1800,13079,Q,
20100119,NOVA,4800,15766,Q,
20100120,NOVA,1300,8386,Q,
20100121,NOVA,9500,31357,Q,
20100122,NOVA,2600,8400,Q,
20100125,NOVA,7100,31947,Q,
20100126,NOVA,17555,55955,Q,
20100127,NOVA,7600,14900,Q,
20100128,NOVA,15443,24336,Q,
20100129,NOVA,2400,9300,Q,
20100201,NOVA,6243,19628,Q,
20100202,NOVA,2486,4481,Q,
20100203,NOVA,1500,6700,Q,
20100204,NOVA,3700,5490,Q,
20100205,NOVA,2500,153200,Q,
20100208,NOVA,1828,3928,Q,
20100209,NOVA,200,4000,Q,
20100210,NOVA,1600,8800,Q,
20100211,NOVA,7575,26450,Q,
20100212,NOVA,5000,25021,Q,
20100216,NOVA,8780,16449,Q,
20100217,NOVA,111200,117553,Q,
20100218,NOVA,18166,49794,Q,
20100219,NOVA,58966,680642,Q,
20100222,NOVA,2500,12869,Q,
20100223,NOVA,12700,22843,Q,
20100224,NOVA,18900,557288,Q,
20100225,NOVA,15162,34562,Q,
20100226,NOVA,20701,29401,Q,
20100301,NOVA,15381,99467,Q,
20100302,NOVA,7520,21520,Q,
20100303,NOVA,6625,14361,Q,
20100304,NOVA,13356,17322,Q,
20100305,NOVA,27676,172780,Q,
20100308,NOVA,8068,26867,Q,
20100309,NOVA,59689,172878,Q,
20100310,NOVA,19400,43000,Q,
20100311,NOVA,13497,49827,Q,
20100312,NOVA,24867,52387,Q,
20100315,NOVA,6400,29700,Q,
20100316,NOVA,3250,446487,Q,
20100317,NOVA,11100,33908,Q,
20100318,NOVA,8058,26408,Q,
20100319,NOVA,29521,48192,Q,
20100322,NOVA,5392,24705,Q,
20100323,NOVA,1501,4175,Q,
20100324,NOVA,9352,25682,Q,
20100325,NOVA,5222,14756,Q,
20100326,NOVA,20988,60629,Q,
20100329,NOVA,17330,126390,Q,
20100330,NOVA,5460,14650,Q,
20100331,NOVA,11477,22373,Q,
20100401,NOVA,8900,27406,Q,
20100405,NOVA,22301,56532,Q,
20100406,NOVA,18481,43756,Q,
20100407,NOVA,72829,490763,Q,
20100408,NOVA,4700,123550,Q,
20100409,NOVA,25910,82360,Q,
20100412,NOVA,15829,66022,Q,
20100413,NOVA,20300,50248,Q,
20100414,NOVA,27500,63733,Q,
20100415,NOVA,80999,115379,Q,
20100416,NOVA,17486,61084,Q,
20100419,NOVA,19163,51108,Q,
20100420,NOVA,9416,40788,Q,
20100421,NOVA,21830,54699,Q,
20100422,NOVA,18726,57229,Q,
20100423,NOVA,17917,43272,Q,
20100426,NOVA,23427,47223,Q,
20100427,NOVA,24430,54327,Q,
20100428,NOVA,23747,70299,Q,
20100429,NOVA,27516,261809,Q,
20100430,NOVA,13456,162349,Q,
20100503,NOVA,29705,82812,Q,
20100504,NOVA,31500,59364,Q,
20100510,NOVA,27018,43043,Q,
20100511,NOVA,40527,60363,Q,
20100512,NOVA,29643,52170,Q,
20100513,NOVA,4000,10961,Q,
20100517,NOVA,1343,11306,Q,
20100518,NOVA,12308,15278,Q,
20100519,NOVA,7175,10313,Q,
20100520,NOVA,25466,96584,Q,
20100521,NOVA,36169,48128,Q,
20100524,NOVA,33404,55095,Q,
20100525,NOVA,41388,53681,Q,
20100526,NOVA,69338,89938,Q,
20100527,NOVA,187372,298082,Q,
20100528,NOVA,75900,518590,Q,
20100630,NOVA,1400,2371,Q,
20100701,NOVA,6270,15535,Q,
20100702,NOVA,5550,16200,Q,
20100706,NOVA,2500,20700,Q,
20100707,NOVA,6300,28778,Q,
20100708,NOVA,2033,3199,Q,
20100709,NOVA,1650,12462,Q,
