,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NPSP,35481,95923,Q,
20100105,NPSP,16195,53055,Q,
20100106,NPSP,39248,91649,Q,
20100107,NPSP,12895,34895,Q,
20100108,NPSP,6900,17706,Q,
20100111,NPSP,20799,37504,Q,
20100112,NPSP,15278,36978,Q,
20100113,NPSP,9905,54821,Q,
20100114,NPSP,6034,30876,Q,
20100115,NPSP,8300,31070,Q,
20100119,NPSP,9257,76660,Q,
20100120,NPSP,13536,59945,Q,
20100121,NPSP,3200,29950,Q,
20100122,NPSP,12100,35949,Q,
20100125,NPSP,1000,17858,Q,
20100126,NPSP,5300,15811,Q,
20100127,NPSP,10400,42995,Q,
20100128,NPSP,8334,78482,Q,
20100129,NPSP,9794,58748,Q,
20100201,NPSP,15897,54710,Q,
20100202,NPSP,6400,32400,Q,
20100203,NPSP,65687,136127,Q,
20100204,NPSP,7160,52723,Q,
20100205,NPSP,8688,29471,Q,
20100208,NPSP,9165,33424,Q,
20100209,NPSP,6464,22564,Q,
20100210,NPSP,7203,19867,Q,
20100211,NPSP,6101,37469,Q,
20100212,NPSP,2566,9317,Q,
20100216,NPSP,5579,45044,Q,
20100217,NPSP,17958,68450,Q,
20100218,NPSP,1293,7959,Q,
20100219,NPSP,3400,34696,Q,
20100222,NPSP,6920,33979,Q,
20100223,NPSP,7477,56735,Q,
20100224,NPSP,10893,36243,Q,
20100225,NPSP,1200,22850,Q,
20100226,NPSP,2106,25661,Q,
20100301,NPSP,9000,55491,Q,
20100302,NPSP,16908,131996,Q,
20100303,NPSP,75436,197244,Q,
20100304,NPSP,10900,53569,Q,
20100305,NPSP,11558,53609,Q,
20100308,NPSP,4500,40653,Q,
20100309,NPSP,4757,22523,Q,
20100310,NPSP,30987,70630,Q,
20100311,NPSP,21100,107868,Q,
20100312,NPSP,18134,76561,Q,
20100315,NPSP,19269,42569,Q,
20100316,NPSP,35392,79184,Q,
20100317,NPSP,10900,69906,Q,
20100318,NPSP,10021,46939,Q,
20100319,NPSP,11100,35619,Q,
20100322,NPSP,13622,23232,Q,
20100323,NPSP,8792,21256,Q,
20100324,NPSP,88117,128242,Q,
20100325,NPSP,48216,96576,Q,
20100326,NPSP,134876,185888,Q,
20100329,NPSP,179786,257987,Q,
20100330,NPSP,196461,369925,Q,
20100331,NPSP,70766,123461,Q,
20100401,NPSP,21721,45344,Q,
20100405,NPSP,25276,80461,Q,
20100406,NPSP,33627,83034,Q,
20100407,NPSP,78215,183914,Q,
20100408,NPSP,34923,65528,Q,
20100409,NPSP,24033,75776,Q,
20100412,NPSP,28172,87472,Q,
20100413,NPSP,12637,47761,Q,
20100414,NPSP,260647,475206,Q,
20100415,NPSP,278453,434218,Q,
20100416,NPSP,209770,758860,Q,
20100419,NPSP,436626,771223,Q,
20100420,NPSP,53786,157779,Q,
20100421,NPSP,122937,625912,Q,
20100422,NPSP,150567,373580,Q,
20100423,NPSP,24351,82768,Q,
20100426,NPSP,12064,138859,Q,
20100427,NPSP,102556,264579,Q,
20100428,NPSP,424069,561247,Q,
20100429,NPSP,48965,186892,Q,
20100430,NPSP,393914,524291,Q,
20100503,NPSP,33980,137261,Q,
20100504,NPSP,131641,262392,Q,
20100510,NPSP,32949,103404,Q,
20100511,NPSP,382851,488225,Q,
20100512,NPSP,83174,337761,Q,
20100513,NPSP,46086,145590,Q,
20100517,NPSP,61261,93587,Q,
20100518,NPSP,14221,119708,Q,
20100519,NPSP,14758,68028,Q,
20100520,NPSP,27700,93346,Q,
20100521,NPSP,27585,86779,Q,
20100524,NPSP,1800,27721,Q,
20100525,NPSP,32693,81552,Q,
20100526,NPSP,28692,74781,Q,
20100527,NPSP,77790,108929,Q,
20100528,NPSP,17781,48081,Q,
20100601,NPSP,18017,72626,Q,
20100602,NPSP,76419,238554,Q,
20100603,NPSP,60104,133448,Q,
20100604,NPSP,24466,78274,Q,
20100607,NPSP,38986,109371,Q,
20100608,NPSP,10914,49370,Q,
20100609,NPSP,31834,60137,Q,
20100610,NPSP,24592,52614,Q,
20100611,NPSP,25157,56876,Q,
20100614,NPSP,35606,61699,Q,
20100615,NPSP,19236,52121,Q,
20100616,NPSP,37731,54362,Q,
20100617,NPSP,9145,40845,Q,
20100618,NPSP,14299,49509,Q,
20100621,NPSP,17494,53896,Q,
20100622,NPSP,22152,50017,Q,
20100623,NPSP,25913,43795,Q,
20100624,NPSP,7636,20136,Q,
20100625,NPSP,12193,77485,Q,
20100628,NPSP,16966,117197,Q,
20100629,NPSP,50045,101225,Q,
20100630,NPSP,9406,78846,Q,
20100701,NPSP,44524,125091,Q,
20100702,NPSP,10819,26097,Q,
20100706,NPSP,22723,159662,Q,
20100707,NPSP,91300,172280,Q,
20100708,NPSP,10780,47099,Q,
20100709,NPSP,5685,30819,Q,
20110804,NPSP,104341,246868,,0.0
