,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NSU,152405,299367,Q,
20100105,NSU,134329,285510,Q,
20100106,NSU,151995,367093,Q,
20100107,NSU,77007,202224,Q,
20100108,NSU,106018,279638,Q,
20100111,NSU,212084,616543,Q,
20100112,NSU,112864,319081,Q,
20100113,NSU,70620,268794,Q,
20100114,NSU,101566,329851,Q,
20100115,NSU,47600,140909,Q,
20100119,NSU,30666,114067,Q,
20100120,NSU,124068,396127,Q,
20100121,NSU,76669,268512,Q,
20100122,NSU,43541,173914,Q,
20100125,NSU,33720,130129,Q,
20100126,NSU,39381,122346,Q,
20100127,NSU,56586,183925,Q,
20100128,NSU,109267,328256,Q,
20100129,NSU,23400,450129,Q,
20100201,NSU,76260,318237,Q,
20100202,NSU,111315,201775,Q,
20100203,NSU,37899,77085,Q,
20100204,NSU,156125,437061,Q,
20100205,NSU,117575,294197,Q,
20100208,NSU,158096,541361,Q,
20100209,NSU,76184,224041,Q,
20100210,NSU,20050,103212,Q,
20100211,NSU,63946,191532,Q,
20100212,NSU,4200,66315,Q,
20100216,NSU,30900,155581,Q,
20100217,NSU,33628,127227,Q,
20100218,NSU,9602,104233,Q,
20100219,NSU,11100,94473,Q,
20100222,NSU,7200,61862,Q,
20100223,NSU,35200,128335,Q,
20100224,NSU,23323,77335,Q,
20100225,NSU,39150,101080,Q,
20100226,NSU,17800,62259,Q,
20100301,NSU,103485,174109,Q,
20100302,NSU,91553,242440,Q,
20100303,NSU,56245,144621,Q,
20100304,NSU,5615,70033,Q,
20100305,NSU,54531,226936,Q,
20100308,NSU,116980,282585,Q,
20100309,NSU,79321,182561,Q,
20100310,NSU,50559,114889,Q,
20100311,NSU,23900,63772,Q,
20100312,NSU,31300,112419,Q,
20100315,NSU,28200,145656,Q,
20100316,NSU,104257,445947,Q,
20100317,NSU,101461,414453,Q,
20100318,NSU,91149,524849,Q,
20100319,NSU,94278,339689,Q,
20100322,NSU,35265,162970,Q,
20100323,NSU,33764,145703,Q,
20100324,NSU,72557,240643,Q,
20100325,NSU,45150,140474,Q,
20100326,NSU,86272,272453,Q,
20100329,NSU,46691,123168,Q,
20100330,NSU,60329,114874,Q,
20100331,NSU,93465,169436,Q,
20100401,NSU,44815,96462,Q,
20100405,NSU,90208,147509,Q,
20100406,NSU,177993,370500,Q,
20100407,NSU,193943,500281,Q,
20100408,NSU,93802,218354,Q,
20100409,NSU,78153,129027,Q,
20100412,NSU,73696,175367,Q,
20100413,NSU,82929,169974,Q,
20100414,NSU,48087,151700,Q,
20100415,NSU,66748,170982,Q,
20100416,NSU,112796,305302,Q,
20100419,NSU,41570,139031,Q,
20100420,NSU,27529,77737,Q,
20100421,NSU,48495,114097,Q,
20100422,NSU,35755,121346,Q,
20100423,NSU,80374,195564,Q,
20100426,NSU,80060,471874,Q,
20100427,NSU,85735,222917,Q,
20100428,NSU,135363,374761,Q,
20100429,NSU,120648,253782,Q,
20100430,NSU,121347,351847,Q,
20100503,NSU,97300,295218,Q,
20100504,NSU,102362,188242,Q,
20100510,NSU,154000,369591,Q,
20100511,NSU,77591,268029,Q,
20100512,NSU,132843,368048,Q,
20100513,NSU,154623,268065,Q,
20100517,NSU,202787,373006,Q,
20100518,NSU,54354,175349,Q,
20100519,NSU,89735,328419,Q,
20100520,NSU,166632,357672,Q,
20100521,NSU,127249,252853,Q,
20100524,NSU,25180,68526,Q,
20100525,NSU,92840,183834,Q,
20100526,NSU,50010,167202,Q,
20100527,NSU,14859,62386,Q,
20100528,NSU,38112,193476,Q,
20100601,NSU,75176,303960,Q,
20100602,NSU,19215,117073,Q,
20100603,NSU,36800,136896,Q,
20100604,NSU,32000,137419,Q,
20100607,NSU,41740,136129,Q,
20100608,NSU,72981,170525,Q,
20100609,NSU,34875,98777,Q,
20100610,NSU,17806,70756,Q,
20100611,NSU,546843,1655881,Q,
20100614,NSU,194508,440551,Q,
20100615,NSU,222975,533005,Q,
20100616,NSU,49511,253523,Q,
20100617,NSU,96643,289913,Q,
20100618,NSU,280280,672139,Q,
20100621,NSU,88848,353199,Q,
20100622,NSU,93604,299282,Q,
20100623,NSU,32200,156498,Q,
20100624,NSU,31771,173168,Q,
20100625,NSU,56827,178235,Q,
20100628,NSU,103961,209383,Q,
20100629,NSU,90581,268681,Q,
20100630,NSU,38683,90883,Q,
20100701,NSU,53104,256378,Q,
20100702,NSU,42484,111554,Q,
20100706,NSU,58932,112646,Q,
20100707,NSU,44465,100134,Q,
20100708,NSU,23165,83180,Q,
20100709,NSU,20441,90528,Q,
20110804,NSU,52386,187014,,0.0
