,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NTX,5500,14391,Q,
20100105,NTX,598,2150,Q,
20100106,NTX,400,1800,Q,
20100107,NTX,701,2840,Q,
20100111,NTX,2200,4830,Q,
20100112,NTX,2100,3700,Q,
20100113,NTX,2400,6489,Q,
20100114,NTX,1900,2600,Q,
20100115,NTX,2700,3700,Q,
20100119,NTX,550,850,Q,
20100120,NTX,200,798,Q,
20100121,NTX,2850,5469,Q,
20100125,NTX,2150,2450,Q,
20100126,NTX,2850,9088,Q,
20100127,NTX,1072,4658,Q,
20100128,NTX,2300,3822,Q,
20100129,NTX,700,1900,Q,
20100201,NTX,1271,7771,Q,
20100203,NTX,1300,2325,Q,
20100204,NTX,3200,6770,Q,
20100205,NTX,700,700,Q,
20100208,NTX,6700,8150,Q,
20100209,NTX,3800,10954,Q,
20100210,NTX,200,1138,Q,
20100212,NTX,1300,4700,Q,
20100216,NTX,3980,12780,Q,
20100217,NTX,4000,5645,Q,
20100218,NTX,2500,2700,Q,
20100219,NTX,2000,5950,Q,
20100222,NTX,6624,8056,Q,
20100223,NTX,3994,6069,Q,
20100224,NTX,2062,3415,Q,
20100226,NTX,600,3150,Q,
20100301,NTX,1200,12218,Q,
20100302,NTX,1705,5182,Q,
20100303,NTX,1911,5078,Q,
20100305,NTX,1130,1230,Q,
20100309,NTX,5932,10079,Q,
20100310,NTX,4038,4738,Q,
20100311,NTX,3425,4924,Q,
20100312,NTX,900,900,Q,
20100315,NTX,4300,6545,Q,
20100316,NTX,1894,1894,Q,
20100317,NTX,717,817,Q,
20100318,NTX,3100,4458,Q,
20100319,NTX,1100,2553,Q,
20100322,NTX,800,5792,Q,
20100323,NTX,800,1875,Q,
20100324,NTX,5100,5200,Q,
20100325,NTX,400,1050,Q,
20100326,NTX,1950,1950,Q,
20100329,NTX,2416,8642,Q,
20100330,NTX,2665,5885,Q,
20100401,NTX,3622,5773,Q,
20100406,NTX,3700,8453,Q,
20100407,NTX,3130,6180,Q,
20100408,NTX,413,1775,Q,
20100409,NTX,640,840,Q,
20100412,NTX,700,4760,Q,
20100413,NTX,3465,15219,Q,
20100414,NTX,900,6329,Q,
20100415,NTX,500,1500,Q,
20100419,NTX,500,1500,Q,
20100420,NTX,2200,4900,Q,
20100421,NTX,1000,1800,Q,
20100423,NTX,3011,4411,Q,
20100426,NTX,100,5210,Q,
20100428,NTX,2148,6659,Q,
20100429,NTX,1500,2900,Q,
20100503,NTX,444,3625,Q,
20100504,NTX,611,2469,Q,
20100510,NTX,2400,4430,Q,
20100512,NTX,1600,2900,Q,
20100513,NTX,1500,2100,Q,
20100518,NTX,2100,4100,Q,
20100519,NTX,900,16320,Q,
20100520,NTX,12295,18130,Q,
20100521,NTX,1000,3050,Q,
20100525,NTX,810,5110,Q,
20100526,NTX,200,2500,Q,
20100527,NTX,2145,4945,Q,
20100601,NTX,747,1447,Q,
20100602,NTX,998,2598,Q,
20100603,NTX,1000,3181,Q,
20100607,NTX,2700,5835,Q,
20100608,NTX,4954,14520,Q,
20100609,NTX,2900,4300,Q,
20100610,NTX,1180,4478,Q,
20100611,NTX,1979,4845,Q,
20100614,NTX,521,5958,Q,
20100615,NTX,3100,5046,Q,
20100616,NTX,1200,7214,Q,
20100617,NTX,300,581,Q,
20100618,NTX,1600,3720,Q,
20100621,NTX,200,2950,Q,
20100624,NTX,1240,4070,Q,
20100625,NTX,400,2800,Q,
20100628,NTX,1600,6757,Q,
20100629,NTX,1700,4400,Q,
20100630,NTX,1653,4208,Q,
20100701,NTX,154,2014,Q,
20100702,NTX,612,4028,Q,
20100706,NTX,500,3707,Q,
20100707,NTX,400,1700,Q,
20100708,NTX,754,1754,Q,
20100709,NTX,1550,7170,Q,
