,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NVEC,13237,28231,Q,
20100105,NVEC,34027,52960,Q,
20100106,NVEC,17245,37089,Q,
20100107,NVEC,5274,15081,Q,
20100108,NVEC,7900,16401,Q,
20100111,NVEC,10106,20922,Q,
20100112,NVEC,9778,29580,Q,
20100113,NVEC,10726,18895,Q,
20100114,NVEC,14695,35076,Q,
20100115,NVEC,9315,19817,Q,
20100119,NVEC,5972,29084,Q,
20100120,NVEC,16155,66026,Q,
20100121,NVEC,15282,39850,Q,
20100122,NVEC,14450,44855,Q,
20100125,NVEC,4034,11776,Q,
20100126,NVEC,8235,21844,Q,
20100127,NVEC,16625,29232,Q,
20100128,NVEC,11331,19420,Q,
20100129,NVEC,6958,19111,Q,
20100201,NVEC,5173,17609,Q,
20100202,NVEC,8021,38907,Q,
20100203,NVEC,6606,13526,Q,
20100204,NVEC,6198,12836,Q,
20100205,NVEC,4380,14244,Q,
20100208,NVEC,4562,9399,Q,
20100209,NVEC,3600,8980,Q,
20100210,NVEC,1605,6585,Q,
20100211,NVEC,8895,15095,Q,
20100212,NVEC,7375,13973,Q,
20100216,NVEC,7571,12293,Q,
20100217,NVEC,2932,8931,Q,
20100218,NVEC,1458,6062,Q,
20100219,NVEC,2640,6008,Q,
20100222,NVEC,1915,6304,Q,
20100223,NVEC,3802,10037,Q,
20100224,NVEC,2800,10434,Q,
20100225,NVEC,1278,8488,Q,
20100226,NVEC,1378,2786,Q,
20100301,NVEC,3898,9740,Q,
20100302,NVEC,6154,12653,Q,
20100303,NVEC,2396,7596,Q,
20100304,NVEC,4300,10975,Q,
20100305,NVEC,4940,19483,Q,
20100308,NVEC,1809,14752,Q,
20100309,NVEC,3571,12677,Q,
20100310,NVEC,1700,9955,Q,
20100311,NVEC,994,6413,Q,
20100312,NVEC,3194,5096,Q,
20100315,NVEC,3450,9660,Q,
20100316,NVEC,700,4398,Q,
20100317,NVEC,800,6039,Q,
20100318,NVEC,2500,8339,Q,
20100319,NVEC,3535,12495,Q,
20100322,NVEC,1955,7035,Q,
20100323,NVEC,600,5078,Q,
20100324,NVEC,2400,6132,Q,
20100325,NVEC,6050,16785,Q,
20100326,NVEC,1900,8634,Q,
20100329,NVEC,4300,10335,Q,
20100330,NVEC,400,3483,Q,
20100331,NVEC,5159,7936,Q,
20100401,NVEC,1100,4601,Q,
20100405,NVEC,2105,4857,Q,
20100406,NVEC,3201,8229,Q,
20100407,NVEC,2824,7140,Q,
20100408,NVEC,700,5410,Q,
20100409,NVEC,2943,7659,Q,
20100412,NVEC,290,2277,Q,
20100413,NVEC,900,3300,Q,
20100414,NVEC,5748,13341,Q,
20100415,NVEC,12417,20384,Q,
20100416,NVEC,6747,24010,Q,
20100419,NVEC,12112,32410,Q,
20100420,NVEC,5511,16005,Q,
20100421,NVEC,3850,13216,Q,
20100422,NVEC,3529,16077,Q,
20100423,NVEC,2709,8304,Q,
20100426,NVEC,5583,10396,Q,
20100427,NVEC,2300,18261,Q,
20100428,NVEC,3613,6972,Q,
20100429,NVEC,4200,10212,Q,
20100430,NVEC,5244,16719,Q,
20100503,NVEC,2000,9440,Q,
20100504,NVEC,5276,20746,Q,
20100510,NVEC,3400,9683,Q,
20100511,NVEC,4413,8952,Q,
20100512,NVEC,7838,24231,Q,
20100513,NVEC,3245,6445,Q,
20100517,NVEC,2453,11370,Q,
20100518,NVEC,1200,11223,Q,
20100519,NVEC,5224,27240,Q,
20100520,NVEC,3277,11767,Q,
20100521,NVEC,800,14753,Q,
20100524,NVEC,1198,5683,Q,
20100525,NVEC,2200,10922,Q,
20100526,NVEC,300,1770,Q,
20100527,NVEC,998,5034,Q,
20100528,NVEC,500,6107,Q,
20100601,NVEC,686,2559,Q,
20100602,NVEC,100,3925,Q,
20100603,NVEC,2039,15927,Q,
20100604,NVEC,2000,6784,Q,
20100607,NVEC,800,3965,Q,
20100608,NVEC,1200,8505,Q,
20100609,NVEC,320,2145,Q,
20100610,NVEC,1600,6400,Q,
20100611,NVEC,200,2975,Q,
20100614,NVEC,794,5656,Q,
20100615,NVEC,1400,5293,Q,
20100616,NVEC,1718,5340,Q,
20100617,NVEC,2718,6368,Q,
20100618,NVEC,3866,6773,Q,
20100621,NVEC,900,1850,Q,
20100622,NVEC,1042,2342,Q,
20100623,NVEC,200,1315,Q,
20100624,NVEC,486,1586,Q,
20100625,NVEC,1400,4540,Q,
20100628,NVEC,3362,7043,Q,
20100629,NVEC,3004,7337,Q,
20100630,NVEC,800,7060,Q,
20100701,NVEC,4411,10706,Q,
20100702,NVEC,1850,4050,Q,
20100706,NVEC,5000,10254,Q,
20100707,NVEC,1827,3639,Q,
20100708,NVEC,1500,3250,Q,
20100709,NVEC,1222,2572,Q,
20110804,NVEC,8791,17234,,0.0
