,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NWI,600,3750,Q,
20100105,NWI,500,2202,Q,
20100106,NWI,300,2763,Q,
20100107,NWI,800,1969,Q,
20100108,NWI,199,3351,Q,
20100111,NWI,1017,1517,Q,
20100112,NWI,400,600,Q,
20100119,NWI,500,2988,Q,
20100120,NWI,100,1050,Q,
20100121,NWI,2325,2425,Q,
20100125,NWI,800,1500,Q,
20100127,NWI,2100,4100,Q,
20100128,NWI,1067,1734,Q,
20100129,NWI,192,2881,Q,
20100201,NWI,400,3268,Q,
20100202,NWI,200,8648,Q,
20100204,NWI,3300,9565,Q,
20100205,NWI,1159,2019,Q,
20100209,NWI,171,621,Q,
20100210,NWI,500,600,Q,
20100216,NWI,5475,6775,Q,
20100217,NWI,100,1417,Q,
20100218,NWI,2100,3600,Q,
20100219,NWI,2450,4950,Q,
20100222,NWI,6015,8216,Q,
20100223,NWI,900,1400,Q,
20100225,NWI,1550,3858,Q,
20100226,NWI,950,2090,Q,
20100302,NWI,700,3102,Q,
20100303,NWI,1100,1223,Q,
20100308,NWI,1900,4396,Q,
20100309,NWI,1400,2425,Q,
20100310,NWI,2500,5412,Q,
20100311,NWI,1700,3400,Q,
20100312,NWI,1900,2400,Q,
20100315,NWI,600,3299,Q,
20100316,NWI,500,1600,Q,
20100318,NWI,400,3999,Q,
20100319,NWI,300,532,Q,
20100322,NWI,667,4667,Q,
20100323,NWI,9200,10450,Q,
20100324,NWI,2300,5200,Q,
20100325,NWI,200,1299,Q,
20100326,NWI,3001,4001,Q,
20100329,NWI,1330,1864,Q,
20100330,NWI,800,3408,Q,
20100331,NWI,1700,1700,Q,
20100405,NWI,183,1958,Q,
20100406,NWI,1000,1000,Q,
20100407,NWI,600,600,Q,
20100409,NWI,500,2849,Q,
20100412,NWI,100,4083,Q,
20100414,NWI,1500,1500,Q,
20100416,NWI,3550,4956,Q,
20100419,NWI,275,5445,Q,
20100420,NWI,1400,2818,Q,
20100421,NWI,400,1064,Q,
20100422,NWI,700,1000,Q,
20100423,NWI,550,1275,Q,
20100426,NWI,100,3362,Q,
20100427,NWI,1261,5994,Q,
20100428,NWI,1251,6643,Q,
20100430,NWI,190,690,Q,
20100503,NWI,800,4964,Q,
20100504,NWI,2236,2571,Q,
20100510,NWI,500,2100,Q,
20100519,NWI,350,1060,Q,
20100524,NWI,600,1718,Q,
20100525,NWI,500,2700,Q,
20100526,NWI,100,4477,Q,
20100601,NWI,1527,1727,Q,
20100607,NWI,4200,8148,Q,
20100608,NWI,1050,2149,Q,
20100609,NWI,400,400,Q,
20100610,NWI,500,1500,Q,
20100611,NWI,500,500,Q,
20100615,NWI,100,1173,Q,
20100616,NWI,1000,1300,Q,
20100625,NWI,865,1304,Q,
20100628,NWI,2575,7696,Q,
20100629,NWI,1175,2375,Q,
20100701,NWI,800,4600,Q,
20100702,NWI,3514,7672,Q,
20100706,NWI,100,800,Q,
20100707,NWI,1800,3261,Q,
20100708,NWI,4065,5765,Q,
