,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NWLI,100,400,Q,
20100105,NWLI,200,800,Q,
20100106,NWLI,100,307,Q,
20100111,NWLI,600,600,Q,
20100112,NWLI,300,300,Q,
20100114,NWLI,100,200,Q,
20100115,NWLI,100,500,Q,
20100120,NWLI,200,600,Q,
20100121,NWLI,720,1320,Q,
20100122,NWLI,180,580,Q,
20100126,NWLI,100,700,Q,
20100127,NWLI,100,200,Q,
20100128,NWLI,400,900,Q,
20100129,NWLI,200,1020,Q,
20100201,NWLI,400,900,Q,
20100202,NWLI,120,220,Q,
20100203,NWLI,400,600,Q,
20100211,NWLI,467,1167,Q,
20100219,NWLI,100,800,Q,
20100226,NWLI,100,400,Q,
20100302,NWLI,300,700,Q,
20100304,NWLI,857,1093,Q,
20100305,NWLI,1101,1201,Q,
20100308,NWLI,200,1010,Q,
20100309,NWLI,200,300,Q,
20100310,NWLI,100,1300,Q,
20100311,NWLI,300,500,Q,
20100312,NWLI,300,400,Q,
20100315,NWLI,230,230,Q,
20100317,NWLI,100,300,Q,
20100318,NWLI,300,500,Q,
20100319,NWLI,840,1366,Q,
20100322,NWLI,525,1310,Q,
20100323,NWLI,100,1100,Q,
20100330,NWLI,200,825,Q,
20100405,NWLI,100,200,Q,
20100407,NWLI,100,300,Q,
20100408,NWLI,200,340,Q,
20100409,NWLI,100,400,Q,
20100419,NWLI,601,1679,Q,
20100421,NWLI,200,800,Q,
20100422,NWLI,200,300,Q,
20100423,NWLI,984,1184,Q,
20100426,NWLI,800,1000,Q,
20100427,NWLI,100,400,Q,
20100429,NWLI,200,300,Q,
20100503,NWLI,100,100,Q,
20100510,NWLI,700,1800,Q,
20100511,NWLI,300,1800,Q,
20100512,NWLI,100,990,Q,
20100513,NWLI,705,1345,Q,
20100517,NWLI,300,500,Q,
20100519,NWLI,300,300,Q,
20100520,NWLI,500,2689,Q,
20100521,NWLI,400,1200,Q,
20100524,NWLI,335,935,Q,
20100525,NWLI,235,535,Q,
20100526,NWLI,200,1557,Q,
20100602,NWLI,250,450,Q,
20100603,NWLI,200,200,Q,
20100604,NWLI,200,300,Q,
20100607,NWLI,200,500,Q,
20100608,NWLI,2517,3817,Q,
20100609,NWLI,300,600,Q,
20100610,NWLI,100,400,Q,
20100614,NWLI,755,1079,Q,
20100615,NWLI,450,650,Q,
20100617,NWLI,100,100,Q,
20100618,NWLI,100,300,Q,
20100622,NWLI,100,100,Q,
20100628,NWLI,100,100,Q,
20100629,NWLI,180,180,Q,
20100630,NWLI,400,600,Q,
20100701,NWLI,680,2018,Q,
20100702,NWLI,100,400,Q,
20100706,NWLI,100,1005,Q,
20100707,NWLI,600,900,Q,
20100708,NWLI,556,756,Q,
20100709,NWLI,100,100,Q,
20110804,NWLI,300,1300,,0.0
