,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NXC,801,2172,Q,
20100105,NXC,2313,4743,Q,
20100106,NXC,10100,13720,Q,
20100108,NXC,400,2193,Q,
20100111,NXC,100,1107,Q,
20100112,NXC,1663,2063,Q,
20100113,NXC,1300,4844,Q,
20100115,NXC,200,1600,Q,
20100119,NXC,3889,9239,Q,
20100120,NXC,22816,26299,Q,
20100121,NXC,3500,4950,Q,
20100122,NXC,2500,3550,Q,
20100125,NXC,200,1563,Q,
20100126,NXC,900,2483,Q,
20100127,NXC,1244,2744,Q,
20100128,NXC,1200,6800,Q,
20100202,NXC,4277,7801,Q,
20100203,NXC,2245,4545,Q,
20100204,NXC,500,4096,Q,
20100208,NXC,1267,6500,Q,
20100209,NXC,1600,11000,Q,
20100211,NXC,3500,6200,Q,
20100216,NXC,1200,5964,Q,
20100217,NXC,1500,5425,Q,
20100218,NXC,220,320,Q,
20100222,NXC,3523,8225,Q,
20100223,NXC,900,1350,Q,
20100224,NXC,900,5000,Q,
20100225,NXC,3740,9990,Q,
20100226,NXC,800,6855,Q,
20100301,NXC,1715,7009,Q,
20100302,NXC,2770,5760,Q,
20100303,NXC,342,1793,Q,
20100304,NXC,100,1100,Q,
20100308,NXC,400,1127,Q,
20100309,NXC,2500,10883,Q,
20100310,NXC,1600,4273,Q,
20100311,NXC,800,1885,Q,
20100312,NXC,1016,3721,Q,
20100315,NXC,3500,4900,Q,
20100316,NXC,4784,9318,Q,
20100317,NXC,2000,2700,Q,
20100318,NXC,2100,2974,Q,
20100319,NXC,5700,6900,Q,
20100322,NXC,2074,3074,Q,
20100323,NXC,2100,2100,Q,
20100324,NXC,5900,21919,Q,
20100325,NXC,200,500,Q,
20100326,NXC,400,1500,Q,
20100329,NXC,100,300,Q,
20100330,NXC,889,1129,Q,
20100401,NXC,100,4351,Q,
20100405,NXC,2329,2948,Q,
20100407,NXC,1350,1450,Q,
20100408,NXC,400,2000,Q,
20100409,NXC,700,4553,Q,
20100412,NXC,2191,3091,Q,
20100414,NXC,100,500,Q,
20100416,NXC,6424,7712,Q,
20100419,NXC,100,2700,Q,
20100420,NXC,100,1142,Q,
20100421,NXC,2200,4234,Q,
20100422,NXC,400,865,Q,
20100426,NXC,2746,11444,Q,
20100427,NXC,1345,3508,Q,
20100428,NXC,223,3583,Q,
20100429,NXC,600,600,Q,
20100503,NXC,107,3826,Q,
20100504,NXC,100,2284,Q,
20100510,NXC,1461,1461,Q,
20100511,NXC,400,1621,Q,
20100512,NXC,3800,3800,Q,
20100513,NXC,2800,5519,Q,
20100517,NXC,3061,7461,Q,
20100519,NXC,2863,2863,Q,
20100525,NXC,200,900,Q,
20100526,NXC,800,6154,Q,
20100527,NXC,1474,10009,Q,
20100528,NXC,1740,3978,Q,
20100602,NXC,1759,2835,Q,
20100603,NXC,3767,13199,Q,
20100608,NXC,3024,5924,Q,
20100609,NXC,400,6500,Q,
20100610,NXC,6065,12965,Q,
20100611,NXC,1138,1342,Q,
20100614,NXC,525,625,Q,
20100615,NXC,100,744,Q,
20100616,NXC,300,1200,Q,
20100617,NXC,4188,4888,Q,
20100618,NXC,486,2086,Q,
20100621,NXC,4587,5887,Q,
20100622,NXC,2300,4505,Q,
20100623,NXC,2178,3706,Q,
20100624,NXC,800,2100,Q,
20100625,NXC,2942,3842,Q,
20100628,NXC,254,2154,Q,
20100629,NXC,500,6105,Q,
20100630,NXC,192,192,Q,
20100702,NXC,304,1816,Q,
20100706,NXC,1264,1864,Q,
20100709,NXC,1825,2425,Q,
20110804,NXC,100,4269,,0.0
