,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NXY,43000,137641,Q,
20100105,NXY,132029,204516,Q,
20100106,NXY,92421,190076,Q,
20100107,NXY,125152,301307,Q,
20100108,NXY,99847,207528,Q,
20100111,NXY,249595,443696,Q,
20100112,NXY,104125,236645,Q,
20100113,NXY,100726,251945,Q,
20100114,NXY,114480,308204,Q,
20100115,NXY,187786,336075,Q,
20100119,NXY,88752,257055,Q,
20100120,NXY,143119,416100,Q,
20100121,NXY,241448,555660,Q,
20100122,NXY,143601,389078,Q,
20100125,NXY,230382,544754,Q,
20100126,NXY,317218,586403,Q,
20100127,NXY,389271,668199,Q,
20100128,NXY,293302,523846,Q,
20100129,NXY,665380,972719,Q,
20100201,NXY,432843,638917,Q,
20100202,NXY,165606,320697,Q,
20100203,NXY,94191,197917,Q,
20100204,NXY,442529,765900,Q,
20100205,NXY,690404,964787,Q,
20100208,NXY,240518,376028,Q,
20100209,NXY,372678,925592,Q,
20100210,NXY,232125,501637,Q,
20100211,NXY,173802,305998,Q,
20100212,NXY,95381,267429,Q,
20100216,NXY,68713,233184,Q,
20100217,NXY,231823,558481,Q,
20100218,NXY,93368,284941,Q,
20100219,NXY,179248,311607,Q,
20100222,NXY,118306,295476,Q,
20100223,NXY,190430,453787,Q,
20100224,NXY,118115,288912,Q,
20100225,NXY,115378,494669,Q,
20100226,NXY,178885,334130,Q,
20100301,NXY,144986,273582,Q,
20100302,NXY,122578,294309,Q,
20100303,NXY,177226,404034,Q,
20100304,NXY,92830,220791,Q,
20100305,NXY,104360,224796,Q,
20100308,NXY,141890,251684,Q,
20100309,NXY,102361,203637,Q,
20100310,NXY,141127,296511,Q,
20100311,NXY,86870,228788,Q,
20100312,NXY,167351,298545,Q,
20100315,NXY,104896,217098,Q,
20100316,NXY,67373,161672,Q,
20100317,NXY,118940,237592,Q,
20100318,NXY,178228,269316,Q,
20100319,NXY,295540,506535,Q,
20100322,NXY,91263,214736,Q,
20100323,NXY,111411,215935,Q,
20100324,NXY,126387,322730,Q,
20100325,NXY,166692,314197,Q,
20100326,NXY,297133,433229,Q,
20100329,NXY,219676,390093,Q,
20100330,NXY,81173,178316,Q,
20100331,NXY,82841,207061,Q,
20100401,NXY,289581,535291,Q,
20100405,NXY,165989,303279,Q,
20100406,NXY,71259,171430,Q,
20100407,NXY,93014,269169,Q,
20100408,NXY,167962,247400,Q,
20100409,NXY,130005,266189,Q,
20100412,NXY,144326,352011,Q,
20100413,NXY,132048,298463,Q,
20100414,NXY,100639,222174,Q,
20100415,NXY,57734,258803,Q,
20100416,NXY,189108,351242,Q,
20100419,NXY,175065,324820,Q,
20100420,NXY,105646,258387,Q,
20100421,NXY,122676,255423,Q,
20100422,NXY,269480,478291,Q,
20100423,NXY,186022,307314,Q,
20100426,NXY,262721,674581,Q,
20100427,NXY,544885,940465,Q,
20100428,NXY,110655,368323,Q,
20100429,NXY,115445,367501,Q,
20100430,NXY,136824,505995,Q,
20100503,NXY,184095,624080,Q,
20100504,NXY,302394,607389,Q,
20100510,NXY,154365,503417,Q,
20100511,NXY,186389,378982,Q,
20100512,NXY,222979,477214,Q,
20100513,NXY,108418,270041,Q,
20100517,NXY,206437,474139,Q,
20100518,NXY,299744,734828,Q,
20100519,NXY,224782,442772,Q,
20100520,NXY,437655,712700,Q,
20100521,NXY,234769,511562,Q,
20100524,NXY,235626,394713,Q,
20100525,NXY,278454,598741,Q,
20100526,NXY,202409,513877,Q,
20100527,NXY,155624,288626,Q,
20100528,NXY,139308,308384,Q,
20100601,NXY,168366,322647,Q,
20100602,NXY,149628,289238,Q,
20100603,NXY,215064,384940,Q,
20100604,NXY,210596,460393,Q,
20100607,NXY,161987,279130,Q,
20100608,NXY,178300,302715,Q,
20100609,NXY,184186,296081,Q,
20100610,NXY,209414,371169,Q,
20100611,NXY,90972,248228,Q,
20100614,NXY,79304,210519,Q,
20100615,NXY,92921,282651,Q,
20100616,NXY,81338,247481,Q,
20100617,NXY,58178,277548,Q,
20100618,NXY,94579,215054,Q,
20100621,NXY,57223,196962,Q,
20100622,NXY,124293,291760,Q,
20100623,NXY,59901,197767,Q,
20100624,NXY,70328,162921,Q,
20100625,NXY,79101,174751,Q,
20100628,NXY,108935,214276,Q,
20100629,NXY,152897,281678,Q,
20100630,NXY,114940,301989,Q,
20100701,NXY,81108,282074,Q,
20100702,NXY,76197,156487,Q,
20100706,NXY,106327,202305,Q,
20100707,NXY,74197,242824,Q,
20100708,NXY,97288,205304,Q,
20100709,NXY,62345,165057,Q,
20110804,NXY,184077,414803,,1100.0
