,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NY,106,1065,Q,
20100105,NY,300,1178,Q,
20100106,NY,100,737,Q,
20100107,NY,377,1495,Q,
20100108,NY,1001,1301,Q,
20100111,NY,1088,1444,Q,
20100112,NY,1020,1954,Q,
20100113,NY,500,800,Q,
20100114,NY,286,736,Q,
20100115,NY,1081,1189,Q,
20100119,NY,260,3088,Q,
20100120,NY,1211,3759,Q,
20100121,NY,383,3509,Q,
20100122,NY,910,6215,Q,
20100125,NY,221,2287,Q,
20100127,NY,200,2522,Q,
20100128,NY,500,800,Q,
20100129,NY,1913,3880,Q,
20100202,NY,500,715,Q,
20100203,NY,400,774,Q,
20100204,NY,1026,2071,Q,
20100205,NY,178,2916,Q,
20100208,NY,540,1207,Q,
20100209,NY,4499,6937,Q,
20100210,NY,486,3261,Q,
20100216,NY,445,2011,Q,
20100218,NY,100,1055,Q,
20100219,NY,531,781,Q,
20100222,NY,18671,25933,Q,
20100224,NY,400,547,Q,
20100225,NY,670,1678,Q,
20100226,NY,200,3379,Q,
20100302,NY,190,490,Q,
20100304,NY,525,1325,Q,
20100308,NY,1153,1750,Q,
20100309,NY,142,1497,Q,
20100310,NY,100,491,Q,
20100311,NY,250,710,Q,
20100312,NY,1180,2105,Q,
20100316,NY,100,650,Q,
20100317,NY,254,4705,Q,
20100318,NY,100,1073,Q,
20100319,NY,105,1130,Q,
20100323,NY,417,2728,Q,
20100324,NY,200,347,Q,
20100325,NY,1883,4188,Q,
20100329,NY,300,1654,Q,
20100330,NY,235,1210,Q,
20100331,NY,400,936,Q,
20100401,NY,300,1500,Q,
20100405,NY,850,3690,Q,
20100407,NY,750,1459,Q,
20100409,NY,200,427,Q,
20100412,NY,625,2171,Q,
20100414,NY,185,858,Q,
20100415,NY,100,1580,Q,
20100416,NY,150,589,Q,
20100419,NY,100,5367,Q,
20100420,NY,666,766,Q,
20100423,NY,1762,2762,Q,
20100426,NY,775,775,Q,
20100427,NY,355,2268,Q,
20100428,NY,200,1300,Q,
20100503,NY,172,372,Q,
20100504,NY,150,1949,Q,
20100510,NY,433,3856,Q,
20100512,NY,1200,1500,Q,
20100513,NY,200,2240,Q,
20100517,NY,110,1245,Q,
20100518,NY,790,2981,Q,
20100519,NY,565,4237,Q,
20100520,NY,200,2085,Q,
20100521,NY,835,2358,Q,
20100524,NY,100,1253,Q,
20100525,NY,422,2051,Q,
20100526,NY,1200,1940,Q,
20100527,NY,400,1000,Q,
20100601,NY,100,385,Q,
20100602,NY,1480,3196,Q,
20100603,NY,290,1028,Q,
20100604,NY,1177,2421,Q,
20100607,NY,1100,2500,Q,
20100608,NY,1215,2882,Q,
20100609,NY,581,771,Q,
20100610,NY,1000,2371,Q,
20100611,NY,500,900,Q,
20100614,NY,550,2649,Q,
20100615,NY,300,1580,Q,
20100616,NY,200,400,Q,
20100618,NY,670,1876,Q,
20100621,NY,646,946,Q,
20100623,NY,125,383,Q,
20100628,NY,400,830,Q,
20100629,NY,200,2269,Q,
20100701,NY,500,2700,Q,
20100707,NY,200,600,Q,
20110804,NY,1700,9222,,0.0
