,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100617,OAS,470163,1969126,Q,
20100618,OAS,199848,1399855,Q,
20100621,OAS,363721,744811,Q,
20100622,OAS,74487,322886,Q,
20100623,OAS,68362,248997,Q,
20100624,OAS,22950,217954,Q,
20100625,OAS,14665,106426,Q,
20100628,OAS,13837,285317,Q,
20100629,OAS,32944,243802,Q,
20100630,OAS,42200,220140,Q,
20100701,OAS,105761,640439,Q,
20100702,OAS,51809,85275,Q,
20100706,OAS,65064,154977,Q,
20100707,OAS,46379,154285,Q,
20100708,OAS,55410,193674,Q,
20100709,OAS,32657,125899,Q,
20110804,OAS,124806,246062,,2353.0
