,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100122,OBAF,65404,225065,Q,
20100125,OBAF,31021,82601,Q,
20100126,OBAF,8366,42053,Q,
20100127,OBAF,9854,33253,Q,
20100128,OBAF,10454,22787,Q,
20100129,OBAF,8876,41417,Q,
20100201,OBAF,8632,46359,Q,
20100202,OBAF,5667,47736,Q,
20100203,OBAF,5170,17790,Q,
20100204,OBAF,1300,14270,Q,
20100205,OBAF,2100,4761,Q,
20100208,OBAF,2000,9400,Q,
20100209,OBAF,2000,2100,Q,
20100211,OBAF,12450,25603,Q,
20100212,OBAF,2700,3900,Q,
20100216,OBAF,3317,20558,Q,
20100217,OBAF,1000,3636,Q,
20100218,OBAF,1448,5067,Q,
20100219,OBAF,10300,21150,Q,
20100222,OBAF,1500,3250,Q,
20100223,OBAF,5841,15574,Q,
20100224,OBAF,20430,34988,Q,
20100225,OBAF,8414,13286,Q,
20100226,OBAF,7863,18770,Q,
20100301,OBAF,3560,4560,Q,
20100302,OBAF,1300,6080,Q,
20100303,OBAF,700,4782,Q,
20100305,OBAF,3400,14252,Q,
20100308,OBAF,4000,8830,Q,
20100309,OBAF,2200,18545,Q,
20100310,OBAF,1214,1614,Q,
20100311,OBAF,4138,9758,Q,
20100315,OBAF,829,1729,Q,
20100316,OBAF,3300,8534,Q,
20100319,OBAF,700,3900,Q,
20100322,OBAF,328,4400,Q,
20100323,OBAF,5783,32654,Q,
20100324,OBAF,4300,40673,Q,
20100326,OBAF,1787,15105,Q,
20100329,OBAF,1200,12309,Q,
20100331,OBAF,3100,14194,Q,
20100405,OBAF,100,29457,Q,
20100406,OBAF,2700,22266,Q,
20100407,OBAF,250,10628,Q,
20100409,OBAF,1600,16760,Q,
20100413,OBAF,100,1300,Q,
20100414,OBAF,450,3250,Q,
20100415,OBAF,300,7603,Q,
20100416,OBAF,200,3986,Q,
20100419,OBAF,911,911,Q,
20100420,OBAF,2636,5436,Q,
20100421,OBAF,2463,9157,Q,
20100422,OBAF,1200,6651,Q,
20100423,OBAF,2400,7626,Q,
20100427,OBAF,100,300,Q,
20100428,OBAF,200,1500,Q,
20100429,OBAF,1500,5100,Q,
20100430,OBAF,300,10247,Q,
20100503,OBAF,400,9356,Q,
20100510,OBAF,874,7074,Q,
20100517,OBAF,4500,10437,Q,
20100526,OBAF,1000,1000,Q,
20100527,OBAF,1600,7371,Q,
20100601,OBAF,200,300,Q,
20100603,OBAF,670,3670,Q,
20100604,OBAF,3500,7900,Q,
20100607,OBAF,800,4600,Q,
20100608,OBAF,1000,4700,Q,
20100614,OBAF,1300,1600,Q,
20100616,OBAF,2000,4655,Q,
20100617,OBAF,1200,1800,Q,
20100618,OBAF,400,1600,Q,
20100701,OBAF,250,850,Q,
20100702,OBAF,100,600,Q,
20100706,OBAF,1000,1105,Q,
20100708,OBAF,482,582,Q,
20110804,OBAF,200,7250,,0.0
