,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,OESX,7042,58380,Q,
20100105,OESX,19079,55890,Q,
20100106,OESX,130897,248455,Q,
20100107,OESX,192216,404746,Q,
20100108,OESX,58907,190600,Q,
20100111,OESX,27454,150175,Q,
20100112,OESX,52245,112224,Q,
20100113,OESX,26120,71384,Q,
20100114,OESX,95829,197601,Q,
20100115,OESX,30941,78627,Q,
20100119,OESX,46101,102987,Q,
20100120,OESX,31962,63012,Q,
20100121,OESX,27507,101628,Q,
20100122,OESX,29600,67471,Q,
20100125,OESX,16786,91272,Q,
20100126,OESX,7300,49060,Q,
20100127,OESX,7059,50640,Q,
20100128,OESX,19918,34164,Q,
20100129,OESX,26611,48339,Q,
20100201,OESX,22720,54614,Q,
20100202,OESX,38580,54058,Q,
20100203,OESX,62088,163135,Q,
20100204,OESX,14303,136455,Q,
20100205,OESX,19317,55895,Q,
20100208,OESX,23640,38536,Q,
20100209,OESX,6100,21950,Q,
20100210,OESX,30005,54049,Q,
20100211,OESX,10750,23620,Q,
20100212,OESX,16008,39143,Q,
20100216,OESX,35062,84147,Q,
20100217,OESX,2200,12733,Q,
20100218,OESX,9676,76013,Q,
20100219,OESX,9642,29805,Q,
20100222,OESX,5923,17013,Q,
20100223,OESX,3131,19350,Q,
20100224,OESX,5100,19863,Q,
20100225,OESX,35752,74277,Q,
20100226,OESX,12807,25092,Q,
20100301,OESX,13899,52846,Q,
20100302,OESX,11880,42519,Q,
20100303,OESX,6870,41899,Q,
20100304,OESX,37796,68222,Q,
20100305,OESX,29971,62849,Q,
20100308,OESX,5400,16650,Q,
20100309,OESX,18588,60847,Q,
20100310,OESX,63598,111765,Q,
20100311,OESX,31200,54447,Q,
20100312,OESX,600,6035,Q,
20100315,OESX,16092,32169,Q,
20100316,OESX,15689,27107,Q,
20100317,OESX,7072,34208,Q,
20100318,OESX,120112,220959,Q,
20100319,OESX,73082,203865,Q,
20100322,OESX,13680,70471,Q,
20100323,OESX,5566,33182,Q,
20100324,OESX,10371,24781,Q,
20100325,OESX,10849,49798,Q,
20100326,OESX,35340,82010,Q,
20100329,OESX,60535,123299,Q,
20100330,OESX,29050,58052,Q,
20100331,OESX,4332,20764,Q,
20100401,OESX,22256,56898,Q,
20100405,OESX,15739,25692,Q,
20100406,OESX,7652,21517,Q,
20100407,OESX,17470,26804,Q,
20100408,OESX,6372,17378,Q,
20100409,OESX,31114,122530,Q,
20100412,OESX,15840,70979,Q,
20100413,OESX,8384,27516,Q,
20100414,OESX,10700,41145,Q,
20100415,OESX,17387,31175,Q,
20100416,OESX,14410,51128,Q,
20100419,OESX,1800,25169,Q,
20100420,OESX,1420,26787,Q,
20100421,OESX,7785,24328,Q,
20100422,OESX,10000,41067,Q,
20100423,OESX,8183,49454,Q,
20100426,OESX,13410,52035,Q,
20100427,OESX,8385,32918,Q,
20100428,OESX,2782,16866,Q,
20100429,OESX,3945,48776,Q,
20100430,OESX,1400,15767,Q,
20100503,OESX,2500,21427,Q,
20100504,OESX,4783,24113,Q,
20100510,OESX,23969,38995,Q,
20100511,OESX,15800,25150,Q,
20100512,OESX,11641,25181,Q,
20100513,OESX,1900,4927,Q,
20100517,OESX,60222,175498,Q,
20100518,OESX,40309,96080,Q,
20100519,OESX,7600,64616,Q,
20100520,OESX,19266,79824,Q,
20100521,OESX,41877,101019,Q,
20100524,OESX,29110,48793,Q,
20100525,OESX,28947,87713,Q,
20100526,OESX,27995,72103,Q,
20100527,OESX,18874,37319,Q,
20100528,OESX,16028,25942,Q,
20100601,OESX,12003,31084,Q,
20100602,OESX,8600,16459,Q,
20100603,OESX,9172,18172,Q,
20100604,OESX,18885,30563,Q,
20100607,OESX,28601,48688,Q,
20100608,OESX,33684,136435,Q,
20100609,OESX,11500,20271,Q,
20100610,OESX,7497,22272,Q,
20100611,OESX,11448,21862,Q,
20100614,OESX,11699,21630,Q,
20100615,OESX,4925,24580,Q,
20100616,OESX,14547,29427,Q,
20100617,OESX,5380,15180,Q,
20100618,OESX,19061,34493,Q,
20100621,OESX,15646,28326,Q,
20100622,OESX,16035,28940,Q,
20100623,OESX,12700,34325,Q,
20100624,OESX,20178,48462,Q,
20100625,OESX,25373,65607,Q,
20100628,OESX,3240,16503,Q,
20100629,OESX,23525,41538,Q,
20100630,OESX,3300,9830,Q,
20100701,OESX,7961,28898,Q,
20100702,OESX,2000,13001,Q,
20100706,OESX,7961,40154,Q,
20100707,OESX,850,17136,Q,
20100708,OESX,1510,17810,Q,
20100709,OESX,2336,36913,Q,
20110804,OESX,5485,18837,,200.0
