,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,OLP,17800,43152,Q,
20100105,OLP,4991,12391,Q,
20100106,OLP,13800,24453,Q,
20100107,OLP,5775,24811,Q,
20100108,OLP,5060,7710,Q,
20100111,OLP,8236,23236,Q,
20100112,OLP,1325,3115,Q,
20100113,OLP,2206,9506,Q,
20100114,OLP,4900,8602,Q,
20100115,OLP,2800,6880,Q,
20100120,OLP,1300,13665,Q,
20100121,OLP,1100,6460,Q,
20100122,OLP,200,4806,Q,
20100125,OLP,5100,14433,Q,
20100126,OLP,235,16260,Q,
20100127,OLP,5300,19049,Q,
20100128,OLP,2366,5361,Q,
20100129,OLP,3387,6594,Q,
20100201,OLP,4014,7924,Q,
20100202,OLP,10450,15078,Q,
20100203,OLP,5795,13608,Q,
20100204,OLP,1300,4493,Q,
20100205,OLP,6350,10622,Q,
20100208,OLP,6742,11646,Q,
20100209,OLP,2800,9227,Q,
20100210,OLP,5895,8369,Q,
20100211,OLP,7000,9005,Q,
20100212,OLP,7095,10742,Q,
20100216,OLP,1381,2970,Q,
20100217,OLP,870,5492,Q,
20100218,OLP,8095,15011,Q,
20100219,OLP,807,2207,Q,
20100222,OLP,6729,17583,Q,
20100223,OLP,3371,6657,Q,
20100224,OLP,3800,3800,Q,
20100225,OLP,9314,14262,Q,
20100226,OLP,300,19618,Q,
20100301,OLP,4500,11677,Q,
20100302,OLP,2729,4761,Q,
20100303,OLP,4496,6496,Q,
20100304,OLP,8539,12309,Q,
20100305,OLP,1416,3176,Q,
20100308,OLP,12603,21133,Q,
20100309,OLP,6950,11224,Q,
20100310,OLP,71160,182238,Q,
20100311,OLP,29693,75142,Q,
20100312,OLP,17670,39243,Q,
20100315,OLP,68068,153893,Q,
20100316,OLP,47911,76363,Q,
20100317,OLP,42953,82360,Q,
20100318,OLP,26640,73085,Q,
20100319,OLP,20381,53927,Q,
20100322,OLP,34652,57527,Q,
20100323,OLP,47445,93307,Q,
20100324,OLP,37142,84399,Q,
20100325,OLP,32202,54042,Q,
20100326,OLP,10922,32086,Q,
20100329,OLP,9811,27719,Q,
20100330,OLP,15731,33747,Q,
20100331,OLP,11163,34790,Q,
20100401,OLP,9537,28492,Q,
20100405,OLP,10746,25302,Q,
20100406,OLP,18857,62253,Q,
20100407,OLP,11713,34821,Q,
20100408,OLP,12631,36482,Q,
20100409,OLP,13498,33319,Q,
20100412,OLP,11527,56685,Q,
20100413,OLP,17988,65777,Q,
20100414,OLP,2742,36572,Q,
20100415,OLP,4771,23156,Q,
20100416,OLP,8550,34847,Q,
20100419,OLP,1621,11613,Q,
20100420,OLP,3369,10240,Q,
20100421,OLP,1625,14226,Q,
20100422,OLP,3455,19111,Q,
20100423,OLP,3500,17245,Q,
20100426,OLP,4930,29193,Q,
20100427,OLP,3375,16631,Q,
20100428,OLP,3679,39355,Q,
20100429,OLP,3943,17130,Q,
20100430,OLP,865,21009,Q,
20100503,OLP,11854,27902,Q,
20100504,OLP,2209,15676,Q,
20100510,OLP,40840,59441,Q,
20100511,OLP,21692,63105,Q,
20100512,OLP,11420,21795,Q,
20100513,OLP,6028,13196,Q,
20100517,OLP,11118,31821,Q,
20100518,OLP,7683,16729,Q,
20100519,OLP,15112,27248,Q,
20100520,OLP,16739,40641,Q,
20100521,OLP,6128,19873,Q,
20100524,OLP,4592,13594,Q,
20100525,OLP,9152,17559,Q,
20100526,OLP,24376,37491,Q,
20100527,OLP,11190,31989,Q,
20100528,OLP,7923,13366,Q,
20100601,OLP,7923,17333,Q,
20100602,OLP,9161,21753,Q,
20100603,OLP,2916,6975,Q,
20100604,OLP,3618,13444,Q,
20100607,OLP,9851,21805,Q,
20100608,OLP,4100,10089,Q,
20100609,OLP,8993,17220,Q,
20100610,OLP,9295,24795,Q,
20100611,OLP,6255,20785,Q,
20100614,OLP,9516,26916,Q,
20100615,OLP,8747,18510,Q,
20100616,OLP,28783,48314,Q,
20100617,OLP,5831,15985,Q,
20100618,OLP,5835,17382,Q,
20100621,OLP,5180,15580,Q,
20100622,OLP,9072,19208,Q,
20100623,OLP,50314,62881,Q,
20100624,OLP,2998,12567,Q,
20100625,OLP,13716,35967,Q,
20100628,OLP,7995,24236,Q,
20100629,OLP,6564,16322,Q,
20100630,OLP,8478,14967,Q,
20100701,OLP,4281,20882,Q,
20100702,OLP,2650,19776,Q,
20100706,OLP,3399,21886,Q,
20100707,OLP,6959,13942,Q,
20100708,OLP,8420,22810,Q,
20100709,OLP,2349,10255,Q,
20110804,OLP,10467,33283,,0.0
