,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ORCT,25959,50090,Q,
20100105,ORCT,18784,65915,Q,
20100106,ORCT,5000,17471,Q,
20100107,ORCT,3900,15803,Q,
20100111,ORCT,2565,8232,Q,
20100112,ORCT,3800,20800,Q,
20100113,ORCT,15074,46059,Q,
20100114,ORCT,3847,24732,Q,
20100115,ORCT,4390,10185,Q,
20100119,ORCT,7800,29092,Q,
20100120,ORCT,3600,4800,Q,
20100121,ORCT,51228,76437,Q,
20100122,ORCT,4000,7500,Q,
20100125,ORCT,11856,25069,Q,
20100126,ORCT,7200,13300,Q,
20100127,ORCT,3500,3900,Q,
20100128,ORCT,9054,11224,Q,
20100129,ORCT,3170,5935,Q,
20100201,ORCT,4400,6900,Q,
20100202,ORCT,5276,6876,Q,
20100203,ORCT,400,3500,Q,
20100204,ORCT,11500,29700,Q,
20100205,ORCT,1100,1380,Q,
20100208,ORCT,411,511,Q,
20100209,ORCT,500,4976,Q,
20100210,ORCT,400,2400,Q,
20100211,ORCT,18087,31224,Q,
20100212,ORCT,2997,8597,Q,
20100216,ORCT,8347,14752,Q,
20100217,ORCT,5820,13972,Q,
20100218,ORCT,1000,1700,Q,
20100219,ORCT,500,5500,Q,
20100222,ORCT,29680,65596,Q,
20100223,ORCT,1600,1600,Q,
20100224,ORCT,12880,30357,Q,
20100225,ORCT,2500,7785,Q,
20100226,ORCT,70240,137328,Q,
20100301,ORCT,20034,39291,Q,
20100302,ORCT,53669,100774,Q,
20100303,ORCT,73168,116383,Q,
20100304,ORCT,40530,89550,Q,
20100305,ORCT,17154,28890,Q,
20100308,ORCT,5800,12279,Q,
20100309,ORCT,33604,73117,Q,
20100310,ORCT,15082,33042,Q,
20100311,ORCT,14002,30838,Q,
20100312,ORCT,4200,12784,Q,
20100315,ORCT,35662,59947,Q,
20100316,ORCT,47297,79839,Q,
20100317,ORCT,30245,58600,Q,
20100318,ORCT,35545,89288,Q,
20100319,ORCT,20096,43451,Q,
20100322,ORCT,19611,37252,Q,
20100323,ORCT,16830,27581,Q,
20100324,ORCT,6487,10237,Q,
20100325,ORCT,29039,68028,Q,
20100326,ORCT,110635,236552,Q,
20100329,ORCT,225036,622710,Q,
20100330,ORCT,16571,170582,Q,
20100331,ORCT,58495,196803,Q,
20100401,ORCT,43529,80497,Q,
20100405,ORCT,17797,94836,Q,
20100406,ORCT,22008,42153,Q,
20100407,ORCT,14224,45367,Q,
20100408,ORCT,10550,32727,Q,
20100409,ORCT,3373,12773,Q,
20100412,ORCT,3585,18640,Q,
20100413,ORCT,100,6520,Q,
20100414,ORCT,31384,107048,Q,
20100415,ORCT,14921,29231,Q,
20100416,ORCT,8106,18686,Q,
20100419,ORCT,5266,14302,Q,
20100420,ORCT,6400,16250,Q,
20100421,ORCT,12647,32342,Q,
20100422,ORCT,6472,37660,Q,
20100423,ORCT,9400,19140,Q,
20100426,ORCT,2560,26040,Q,
20100427,ORCT,10500,31000,Q,
20100428,ORCT,300,7697,Q,
20100429,ORCT,12320,52629,Q,
20100430,ORCT,17984,28014,Q,
20100503,ORCT,14230,30892,Q,
20100504,ORCT,17312,42909,Q,
20100510,ORCT,16220,36750,Q,
20100511,ORCT,28263,66250,Q,
20100512,ORCT,16091,29241,Q,
20100513,ORCT,21467,36625,Q,
20100517,ORCT,11264,38712,Q,
20100518,ORCT,6800,13420,Q,
20100519,ORCT,7200,34483,Q,
20100520,ORCT,1167,23716,Q,
20100521,ORCT,11400,20249,Q,
20100524,ORCT,2100,34500,Q,
20100525,ORCT,25054,44094,Q,
20100526,ORCT,12300,20889,Q,
20100527,ORCT,1400,8677,Q,
20100528,ORCT,1300,10290,Q,
20100601,ORCT,4950,17200,Q,
20100602,ORCT,7812,23278,Q,
20100603,ORCT,50215,94351,Q,
20100604,ORCT,9763,18676,Q,
20100607,ORCT,23472,38860,Q,
20100608,ORCT,3000,6600,Q,
20100609,ORCT,11600,31900,Q,
20100610,ORCT,4600,13850,Q,
20100611,ORCT,11711,17911,Q,
20100614,ORCT,19400,36550,Q,
20100615,ORCT,2200,17285,Q,
20100616,ORCT,3677,11587,Q,
20100617,ORCT,5300,14606,Q,
20100618,ORCT,3800,16806,Q,
20100621,ORCT,400,3278,Q,
20100622,ORCT,3200,12696,Q,
20100623,ORCT,2705,9205,Q,
20100624,ORCT,18650,62344,Q,
20100625,ORCT,46456,58413,Q,
20100628,ORCT,4700,7900,Q,
20100629,ORCT,60661,113088,Q,
20100630,ORCT,5414,16053,Q,
20100701,ORCT,1800,4500,Q,
20100702,ORCT,5700,9400,Q,
20100706,ORCT,7832,39555,Q,
20100707,ORCT,3810,22719,Q,
20100708,ORCT,1400,6200,Q,
20100709,ORCT,700,4848,Q,
20110804,ORCT,3100,4340,,0.0
