,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,OWW,33474,87534,Q,
20100105,OWW,23473,139176,Q,
20100106,OWW,13062,107698,Q,
20100107,OWW,17815,52775,Q,
20100108,OWW,10077,80354,Q,
20100111,OWW,51093,403332,Q,
20100112,OWW,62188,234223,Q,
20100113,OWW,68375,175243,Q,
20100114,OWW,15737,43213,Q,
20100115,OWW,26770,52487,Q,
20100119,OWW,10915,132516,Q,
20100120,OWW,13500,89905,Q,
20100121,OWW,31600,222908,Q,
20100122,OWW,58424,190437,Q,
20100125,OWW,37737,73652,Q,
20100126,OWW,24811,55530,Q,
20100127,OWW,30970,74642,Q,
20100128,OWW,31232,66586,Q,
20100129,OWW,36037,79014,Q,
20100201,OWW,56559,97632,Q,
20100202,OWW,28155,82322,Q,
20100203,OWW,21574,28524,Q,
20100204,OWW,26704,68571,Q,
20100205,OWW,27129,58389,Q,
20100208,OWW,44358,63158,Q,
20100209,OWW,29078,43899,Q,
20100210,OWW,20934,46145,Q,
20100211,OWW,17438,38344,Q,
20100212,OWW,27385,52550,Q,
20100216,OWW,23939,74624,Q,
20100217,OWW,6244,24213,Q,
20100218,OWW,25861,52934,Q,
20100219,OWW,34209,51661,Q,
20100222,OWW,84373,160215,Q,
20100223,OWW,179438,408680,Q,
20100224,OWW,73544,147416,Q,
20100225,OWW,74781,126195,Q,
20100226,OWW,32213,54622,Q,
20100301,OWW,40463,105113,Q,
20100302,OWW,14873,50910,Q,
20100303,OWW,27404,54580,Q,
20100304,OWW,56050,77987,Q,
20100305,OWW,37887,102155,Q,
20100308,OWW,17670,62957,Q,
20100309,OWW,28875,56113,Q,
20100310,OWW,23915,69808,Q,
20100311,OWW,7544,31154,Q,
20100312,OWW,28700,131288,Q,
20100315,OWW,10615,46390,Q,
20100316,OWW,11063,44454,Q,
20100317,OWW,24320,42030,Q,
20100318,OWW,21000,58854,Q,
20100319,OWW,16200,98287,Q,
20100322,OWW,17259,28651,Q,
20100323,OWW,9545,29180,Q,
20100324,OWW,13200,38229,Q,
20100325,OWW,31062,89317,Q,
20100326,OWW,7101,15270,Q,
20100329,OWW,30775,67798,Q,
20100330,OWW,13041,32630,Q,
20100331,OWW,7114,32314,Q,
20100401,OWW,35069,71652,Q,
20100405,OWW,19432,51694,Q,
20100406,OWW,9500,17274,Q,
20100407,OWW,33823,43851,Q,
20100408,OWW,19135,25364,Q,
20100409,OWW,17268,30841,Q,
20100412,OWW,10700,22502,Q,
20100413,OWW,23052,47507,Q,
20100414,OWW,47558,68656,Q,
20100415,OWW,19558,41621,Q,
20100416,OWW,15517,41157,Q,
20100419,OWW,11752,25852,Q,
20100420,OWW,10500,24743,Q,
20100421,OWW,3664,10564,Q,
20100422,OWW,37786,59076,Q,
20100423,OWW,78840,140644,Q,
20100426,OWW,35010,59710,Q,
20100427,OWW,8622,42930,Q,
20100428,OWW,9500,23324,Q,
20100429,OWW,10950,224422,Q,
20100430,OWW,17353,29848,Q,
20100503,OWW,9400,17976,Q,
20100504,OWW,22550,160477,Q,
20100510,OWW,30295,73917,Q,
20100511,OWW,9780,23064,Q,
20100512,OWW,9040,54560,Q,
20100513,OWW,22048,43594,Q,
20100517,OWW,17083,38618,Q,
20100518,OWW,71311,125049,Q,
20100519,OWW,34958,83981,Q,
20100520,OWW,19588,86955,Q,
20100521,OWW,18220,82661,Q,
20100524,OWW,57167,72106,Q,
20100525,OWW,38271,61898,Q,
20100526,OWW,118073,376996,Q,
20100527,OWW,12261,66081,Q,
20100528,OWW,17227,42914,Q,
20100601,OWW,18036,59571,Q,
20100602,OWW,10515,56131,Q,
20100603,OWW,7200,21185,Q,
20100604,OWW,112719,130857,Q,
20100607,OWW,42705,60484,Q,
20100608,OWW,25890,100140,Q,
20100609,OWW,11956,24427,Q,
20100610,OWW,54600,65950,Q,
20100611,OWW,12603,27065,Q,
20100614,OWW,51396,85733,Q,
20100615,OWW,22592,36572,Q,
20100616,OWW,10474,22680,Q,
20100617,OWW,33819,77777,Q,
20100618,OWW,44193,110548,Q,
20100621,OWW,24234,55403,Q,
20100622,OWW,24900,88897,Q,
20100623,OWW,21709,29455,Q,
20100624,OWW,26333,40719,Q,
20100625,OWW,46455,122598,Q,
20100628,OWW,13800,27600,Q,
20100629,OWW,50611,61351,Q,
20100630,OWW,23001,32953,Q,
20100701,OWW,28202,74912,Q,
20100702,OWW,47226,72918,Q,
20100706,OWW,16192,29872,Q,
20100707,OWW,12416,37866,Q,
20100708,OWW,39987,87119,Q,
20100709,OWW,32564,173051,Q,
20110804,OWW,36138,244658,,1698.0
