,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,OZRK,113100,118157,Q,
20100105,OZRK,174770,218667,Q,
20100106,OZRK,104287,168181,Q,
20100107,OZRK,30471,48208,Q,
20100108,OZRK,11200,21347,Q,
20100111,OZRK,7800,12464,Q,
20100112,OZRK,8895,34045,Q,
20100113,OZRK,22399,50557,Q,
20100114,OZRK,36870,127372,Q,
20100115,OZRK,20879,148737,Q,
20100119,OZRK,122654,271055,Q,
20100120,OZRK,31918,86671,Q,
20100121,OZRK,70748,146428,Q,
20100122,OZRK,26161,33468,Q,
20100125,OZRK,10905,38832,Q,
20100126,OZRK,2243,6805,Q,
20100127,OZRK,12698,18518,Q,
20100128,OZRK,85219,186947,Q,
20100129,OZRK,11775,17375,Q,
20100201,OZRK,19361,31022,Q,
20100202,OZRK,9128,29725,Q,
20100203,OZRK,22511,32133,Q,
20100204,OZRK,14185,18415,Q,
20100205,OZRK,18536,26209,Q,
20100208,OZRK,8629,13449,Q,
20100209,OZRK,2800,8894,Q,
20100210,OZRK,2904,15900,Q,
20100211,OZRK,11097,21658,Q,
20100212,OZRK,13830,34580,Q,
20100216,OZRK,2300,4530,Q,
20100217,OZRK,8038,21334,Q,
20100218,OZRK,5874,11130,Q,
20100219,OZRK,2937,11773,Q,
20100222,OZRK,5549,14867,Q,
20100223,OZRK,12013,125372,Q,
20100224,OZRK,6400,16094,Q,
20100225,OZRK,8381,12170,Q,
20100226,OZRK,6973,19852,Q,
20100301,OZRK,11250,50067,Q,
20100302,OZRK,10000,193872,Q,
20100303,OZRK,19525,27843,Q,
20100304,OZRK,5800,11195,Q,
20100305,OZRK,7000,24189,Q,
20100308,OZRK,3775,21876,Q,
20100309,OZRK,19955,31962,Q,
20100310,OZRK,7928,16385,Q,
20100311,OZRK,9982,21884,Q,
20100312,OZRK,16766,59322,Q,
20100315,OZRK,10715,17677,Q,
20100316,OZRK,8047,26422,Q,
20100317,OZRK,10211,18688,Q,
20100318,OZRK,15812,24716,Q,
20100319,OZRK,14052,23443,Q,
20100322,OZRK,3307,20611,Q,
20100323,OZRK,8480,23125,Q,
20100324,OZRK,4959,11483,Q,
20100325,OZRK,6600,25082,Q,
20100326,OZRK,9351,24636,Q,
20100329,OZRK,32813,123713,Q,
20100330,OZRK,19559,33919,Q,
20100331,OZRK,3402,9682,Q,
20100401,OZRK,7111,13513,Q,
20100405,OZRK,5725,42980,Q,
20100406,OZRK,24253,82814,Q,
20100407,OZRK,16421,33435,Q,
20100408,OZRK,10696,19656,Q,
20100409,OZRK,39201,46777,Q,
20100412,OZRK,14523,23256,Q,
20100413,OZRK,3952,32236,Q,
20100414,OZRK,4222,20984,Q,
20100415,OZRK,4015,20152,Q,
20100416,OZRK,6673,18712,Q,
20100419,OZRK,5837,17860,Q,
20100420,OZRK,3557,7755,Q,
20100421,OZRK,4598,20475,Q,
20100422,OZRK,9379,18327,Q,
20100423,OZRK,2504,4404,Q,
20100426,OZRK,14437,31499,Q,
20100427,OZRK,11732,40115,Q,
20100428,OZRK,7310,29112,Q,
20100429,OZRK,57593,90732,Q,
20100430,OZRK,27246,54823,Q,
20100503,OZRK,12341,27477,Q,
20100504,OZRK,22438,81884,Q,
20100510,OZRK,4210,17050,Q,
20100511,OZRK,9310,41439,Q,
20100512,OZRK,24200,36487,Q,
20100513,OZRK,17447,40097,Q,
20100517,OZRK,12296,26553,Q,
20100518,OZRK,17885,50867,Q,
20100519,OZRK,18182,49540,Q,
20100520,OZRK,21525,37601,Q,
20100521,OZRK,16758,33148,Q,
20100524,OZRK,2346,10195,Q,
20100525,OZRK,12271,34336,Q,
20100526,OZRK,5944,49252,Q,
20100527,OZRK,3200,52319,Q,
20100528,OZRK,3644,16606,Q,
20100601,OZRK,4170,11487,Q,
20100602,OZRK,4778,13797,Q,
20100603,OZRK,5072,10001,Q,
20100604,OZRK,9176,21334,Q,
20100607,OZRK,19322,32853,Q,
20100608,OZRK,15030,25940,Q,
20100609,OZRK,10723,19214,Q,
20100610,OZRK,7100,25941,Q,
20100611,OZRK,9246,18864,Q,
20100614,OZRK,18955,30092,Q,
20100615,OZRK,7445,15375,Q,
20100616,OZRK,6037,17535,Q,
20100617,OZRK,5618,22908,Q,
20100618,OZRK,7808,24133,Q,
20100621,OZRK,2900,12852,Q,
20100622,OZRK,3289,11297,Q,
20100623,OZRK,7691,25329,Q,
20100624,OZRK,20130,37620,Q,
20100625,OZRK,17472,51037,Q,
20100628,OZRK,7682,13900,Q,
20100629,OZRK,5733,14307,Q,
20100630,OZRK,8896,19500,Q,
20100701,OZRK,10294,22250,Q,
20100702,OZRK,7473,12292,Q,
20100706,OZRK,13385,23344,Q,
20100707,OZRK,5170,24133,Q,
20100708,OZRK,1471,6682,Q,
20100709,OZRK,4615,12346,Q,
20110804,OZRK,7795,19746,,0.0
