,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PATR,700,1638,Q,
20100106,PATR,750,1250,Q,
20100107,PATR,700,1743,Q,
20100108,PATR,100,250,Q,
20100111,PATR,200,1911,Q,
20100112,PATR,100,100,Q,
20100115,PATR,300,300,Q,
20100120,PATR,300,450,Q,
20100121,PATR,520,920,Q,
20100122,PATR,100,1000,Q,
20100126,PATR,2500,4816,Q,
20100202,PATR,100,308,Q,
20100203,PATR,622,822,Q,
20100204,PATR,400,700,Q,
20100208,PATR,175,175,Q,
20100211,PATR,951,1151,Q,
20100212,PATR,100,200,Q,
20100216,PATR,100,100,Q,
20100217,PATR,1200,1600,Q,
20100218,PATR,100,400,Q,
20100219,PATR,718,1900,Q,
20100223,PATR,100,500,Q,
20100225,PATR,100,100,Q,
20100226,PATR,300,31300,Q,
20100301,PATR,100,400,Q,
20100302,PATR,200,400,Q,
20100303,PATR,100,1600,Q,
20100305,PATR,1179,2979,Q,
20100308,PATR,600,1187,Q,
20100309,PATR,444,744,Q,
20100311,PATR,902,1802,Q,
20100312,PATR,200,2884,Q,
20100315,PATR,176,276,Q,
20100317,PATR,210,210,Q,
20100318,PATR,300,600,Q,
20100319,PATR,1000,11155,Q,
20100323,PATR,100,100,Q,
20100326,PATR,200,500,Q,
20100405,PATR,200,200,Q,
20100409,PATR,600,700,Q,
20100412,PATR,100,100,Q,
20100426,PATR,350,550,Q,
20100427,PATR,200,600,Q,
20100428,PATR,100,500,Q,
20100503,PATR,211,682,Q,
20100504,PATR,300,436,Q,
20100511,PATR,100,500,Q,
20100512,PATR,100,400,Q,
20100513,PATR,500,900,Q,
20100519,PATR,300,400,Q,
20100526,PATR,100,212,Q,
20100601,PATR,800,900,Q,
20100602,PATR,350,500,Q,
20100603,PATR,200,320,Q,
20100609,PATR,300,570,Q,
20100614,PATR,300,300,Q,
20100615,PATR,100,250,Q,
20100618,PATR,300,900,Q,
20100621,PATR,200,200,Q,
20100624,PATR,100,100,Q,
20100625,PATR,663,763,Q,
20100628,PATR,100,941,Q,
20100629,PATR,190,290,Q,
20100630,PATR,100,200,Q,
20100701,PATR,125,650,Q,
20100702,PATR,100,621,Q,
20100706,PATR,430,830,Q,
20110804,PATR,2600,3172,,0.0
