,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100112,PBM,100,600,Q,
20100125,PBM,200,400,Q,
20100210,PBM,500,700,Q,
20100211,PBM,900,3930,Q,
20100212,PBM,100,2110,Q,
20100217,PBM,1000,4070,Q,
20100219,PBM,800,1200,Q,
20100225,PBM,100,2900,Q,
20100310,PBM,590,790,Q,
20100316,PBM,160,760,Q,
20100317,PBM,200,500,Q,
20100405,PBM,100,2131,Q,
20100407,PBM,100,2773,Q,
20100408,PBM,1100,1100,Q,
20100412,PBM,1150,1550,Q,
20100413,PBM,1500,1600,Q,
20100414,PBM,1000,2400,Q,
20100415,PBM,300,1300,Q,
20100416,PBM,1100,4040,Q,
20100419,PBM,100,100,Q,
20100420,PBM,2600,8802,Q,
20100423,PBM,200,6132,Q,
20100426,PBM,1100,1400,Q,
20100427,PBM,500,1600,Q,
20100428,PBM,252,900,Q,
20100504,PBM,150,150,Q,
20100510,PBM,400,700,Q,
20100511,PBM,200,200,Q,
20100513,PBM,1500,6890,Q,
20100520,PBM,100,510,Q,
20100603,PBM,110,820,Q,
20100610,PBM,700,1900,Q,
20100611,PBM,200,4200,Q,
20100617,PBM,100,400,Q,
20100706,PBM,500,800,Q,
20100709,PBM,100,275,Q,
20110804,PBM,1500,2119,,0.0
