,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PCE,100,300,Q,
20100105,PCE,100,800,Q,
20100106,PCE,704,1100,Q,
20100107,PCE,200,523,Q,
20100108,PCE,200,200,Q,
20100111,PCE,300,300,Q,
20100113,PCE,300,400,Q,
20100115,PCE,424,424,Q,
20100119,PCE,100,100,Q,
20100121,PCE,4100,4800,Q,
20100127,PCE,100,200,Q,
20100128,PCE,700,1400,Q,
20100129,PCE,2100,3300,Q,
20100219,PCE,700,1400,Q,
20100222,PCE,680,4080,Q,
20100226,PCE,100,100,Q,
20100304,PCE,100,100,Q,
20100310,PCE,216,424,Q,
20100318,PCE,200,300,Q,
20100319,PCE,100,100,Q,
20100324,PCE,7500,8500,Q,
20100330,PCE,4016,6171,Q,
20100401,PCE,874,1714,Q,
20100405,PCE,672,1072,Q,
20100406,PCE,227,2627,Q,
20100408,PCE,2840,3140,Q,
20100412,PCE,121,121,Q,
20100415,PCE,936,936,Q,
20100416,PCE,400,1111,Q,
20100419,PCE,350,350,Q,
20100421,PCE,100,1300,Q,
20100422,PCE,400,400,Q,
20100427,PCE,200,300,Q,
20100429,PCE,3900,6759,Q,
20100504,PCE,1120,1220,Q,
20100511,PCE,1720,2420,Q,
20100513,PCE,200,580,Q,
20100517,PCE,6109,9275,Q,
20100520,PCE,5500,8700,Q,
20100521,PCE,4014,6436,Q,
20100524,PCE,425,1025,Q,
20100525,PCE,600,2000,Q,
20100527,PCE,700,700,Q,
20100528,PCE,6600,6900,Q,
20100601,PCE,100,200,Q,
20100603,PCE,200,200,Q,
20100604,PCE,1000,1400,Q,
20100609,PCE,600,600,Q,
20100611,PCE,600,600,Q,
20100618,PCE,2552,2952,Q,
20100628,PCE,700,1400,Q,
20100701,PCE,1000,1500,Q,
20100709,PCE,100,100,Q,
