,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PFG,309022,993006,Q,
20100105,PFG,626597,1086576,Q,
20100106,PFG,223683,519208,Q,
20100107,PFG,234667,750454,Q,
20100108,PFG,243834,1289823,Q,
20100111,PFG,99774,262522,Q,
20100112,PFG,206132,913926,Q,
20100113,PFG,98264,311349,Q,
20100114,PFG,139635,474881,Q,
20100115,PFG,108053,354666,Q,
20100119,PFG,177910,609676,Q,
20100120,PFG,154138,494262,Q,
20100121,PFG,316968,1362479,Q,
20100122,PFG,346198,1418063,Q,
20100125,PFG,247620,555668,Q,
20100126,PFG,133235,691191,Q,
20100127,PFG,215183,836329,Q,
20100128,PFG,173255,764245,Q,
20100129,PFG,166860,471669,Q,
20100201,PFG,110242,283577,Q,
20100202,PFG,289162,709450,Q,
20100203,PFG,215571,480333,Q,
20100204,PFG,300118,603481,Q,
20100205,PFG,217904,801212,Q,
20100208,PFG,315804,663785,Q,
20100209,PFG,608259,1364344,Q,
20100210,PFG,459476,855627,Q,
20100211,PFG,353334,861606,Q,
20100212,PFG,318097,641512,Q,
20100216,PFG,252423,626919,Q,
20100217,PFG,356222,939999,Q,
20100218,PFG,243418,610403,Q,
20100219,PFG,134883,423100,Q,
20100222,PFG,266925,538356,Q,
20100223,PFG,314016,799899,Q,
20100224,PFG,293228,581187,Q,
20100225,PFG,240831,522674,Q,
20100226,PFG,137117,289151,Q,
20100301,PFG,116957,601502,Q,
20100302,PFG,208578,793402,Q,
20100303,PFG,271137,626283,Q,
20100304,PFG,188952,568939,Q,
20100305,PFG,238750,431926,Q,
20100308,PFG,192993,534967,Q,
20100309,PFG,205822,440366,Q,
20100310,PFG,228548,502154,Q,
20100311,PFG,269449,477998,Q,
20100312,PFG,288544,589065,Q,
20100315,PFG,297563,798570,Q,
20100316,PFG,530582,940417,Q,
20100317,PFG,1012686,2115934,Q,
20100318,PFG,621000,1098253,Q,
20100319,PFG,295483,713320,Q,
20100322,PFG,560079,1847725,Q,
20100323,PFG,370872,867301,Q,
20100324,PFG,840563,1898022,Q,
20100325,PFG,844611,1598405,Q,
20100326,PFG,687090,1274678,Q,
20100329,PFG,422764,2068014,Q,
20100330,PFG,241677,625941,Q,
20100331,PFG,398494,906546,Q,
20100401,PFG,519610,1371618,Q,
20100405,PFG,408638,1210039,Q,
20100406,PFG,328883,1040253,Q,
20100407,PFG,627569,1065137,Q,
20100408,PFG,441729,770016,Q,
20100409,PFG,417713,705853,Q,
20100412,PFG,191826,553236,Q,
20100413,PFG,146200,455484,Q,
20100414,PFG,346229,663547,Q,
20100415,PFG,356796,614070,Q,
20100416,PFG,419152,899464,Q,
20100419,PFG,412156,738721,Q,
20100420,PFG,284413,559547,Q,
20100421,PFG,248724,528777,Q,
20100422,PFG,257531,1215807,Q,
20100423,PFG,464183,805692,Q,
20100426,PFG,246164,570963,Q,
20100427,PFG,655438,941283,Q,
20100428,PFG,301299,591557,Q,
20100429,PFG,301302,599477,Q,
20100430,PFG,160414,456655,Q,
20100503,PFG,253614,494390,Q,
20100504,PFG,723531,1182863,Q,
20100510,PFG,347279,995788,Q,
20100511,PFG,254316,1335575,Q,
20100512,PFG,198474,446100,Q,
20100513,PFG,198842,329598,Q,
20100517,PFG,214658,347272,Q,
20100518,PFG,333216,879881,Q,
20100519,PFG,634889,1027450,Q,
20100520,PFG,230491,676637,Q,
20100521,PFG,618959,1114499,Q,
20100524,PFG,353587,675153,Q,
20100525,PFG,479616,1095577,Q,
20100526,PFG,188765,410685,Q,
20100527,PFG,393984,771283,Q,
20100528,PFG,182063,354378,Q,
20100601,PFG,332666,516029,Q,
20100602,PFG,214286,410237,Q,
20100603,PFG,139704,269761,Q,
20100604,PFG,157787,286409,Q,
20100607,PFG,193566,415139,Q,
20100608,PFG,394937,1072786,Q,
20100609,PFG,146308,383830,Q,
20100610,PFG,142546,365127,Q,
20100611,PFG,287436,1211146,Q,
20100614,PFG,289325,910929,Q,
20100615,PFG,291090,612098,Q,
20100616,PFG,496303,925969,Q,
20100617,PFG,89028,342602,Q,
20100618,PFG,122484,305832,Q,
20100621,PFG,93913,349388,Q,
20100622,PFG,136611,344002,Q,
20100623,PFG,165631,566092,Q,
20100624,PFG,199667,532155,Q,
20100625,PFG,238543,493114,Q,
20100628,PFG,261743,480822,Q,
20100629,PFG,405391,906293,Q,
20100630,PFG,261111,610888,Q,
20100701,PFG,362547,891836,Q,
20100702,PFG,542245,926339,Q,
20100706,PFG,295979,766580,Q,
20100707,PFG,275383,653402,Q,
20100708,PFG,153998,351153,Q,
20100709,PFG,192948,385631,Q,
20110804,PFG,336773,648521,,500.0
