,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PGF,538529,752839,Q,
20100105,PGF,824201,1102922,Q,
20100106,PGF,586094,872172,Q,
20100107,PGF,412110,600844,Q,
20100108,PGF,349786,563086,Q,
20100111,PGF,513710,769921,Q,
20100112,PGF,297161,638582,Q,
20100113,PGF,303107,518109,Q,
20100114,PGF,409296,616209,Q,
20100115,PGF,232812,409817,Q,
20100119,PGF,310940,613164,Q,
20100120,PGF,225023,459056,Q,
20100121,PGF,327934,665146,Q,
20100122,PGF,218330,746973,Q,
20100125,PGF,106536,609811,Q,
20100126,PGF,112341,512454,Q,
20100127,PGF,157425,487160,Q,
20100128,PGF,208287,462752,Q,
20100129,PGF,207883,553627,Q,
20100201,PGF,195745,443509,Q,
20100202,PGF,370476,595327,Q,
20100203,PGF,236572,335399,Q,
20100204,PGF,245241,493879,Q,
20100205,PGF,263201,831119,Q,
20100208,PGF,107327,279298,Q,
20100209,PGF,368815,592943,Q,
20100210,PGF,177119,376271,Q,
20100211,PGF,355813,492028,Q,
20100212,PGF,154950,305844,Q,
20100216,PGF,206136,399940,Q,
20100217,PGF,347919,614126,Q,
20100218,PGF,231776,383927,Q,
20100219,PGF,245928,363237,Q,
20100222,PGF,218590,414988,Q,
20100223,PGF,200280,357174,Q,
20100224,PGF,222558,353237,Q,
20100225,PGF,189987,310926,Q,
20100226,PGF,235298,359607,Q,
20100301,PGF,224720,387275,Q,
20100302,PGF,154917,327853,Q,
20100303,PGF,382767,556926,Q,
20100304,PGF,189455,341056,Q,
20100305,PGF,262338,441690,Q,
20100308,PGF,275310,498830,Q,
20100309,PGF,344292,540341,Q,
20100310,PGF,394383,487842,Q,
20100311,PGF,415072,587485,Q,
20100312,PGF,427757,533733,Q,
20100315,PGF,293438,498886,Q,
20100316,PGF,347146,575996,Q,
20100317,PGF,295380,479974,Q,
20100318,PGF,199536,405771,Q,
20100319,PGF,173707,417378,Q,
20100322,PGF,95424,572182,Q,
20100323,PGF,222842,403116,Q,
20100324,PGF,209083,342872,Q,
20100325,PGF,305808,596084,Q,
20100326,PGF,189191,430829,Q,
20100329,PGF,202535,307607,Q,
20100330,PGF,237672,389853,Q,
20100331,PGF,186093,279538,Q,
20100401,PGF,207050,357016,Q,
20100405,PGF,201734,361395,Q,
20100406,PGF,233634,449035,Q,
20100407,PGF,231676,499241,Q,
20100408,PGF,259471,659909,Q,
20100409,PGF,189294,302512,Q,
20100412,PGF,233067,329018,Q,
20100413,PGF,241247,354772,Q,
20100414,PGF,286555,396674,Q,
20100415,PGF,203272,469090,Q,
20100416,PGF,202025,629262,Q,
20100419,PGF,841347,1081312,Q,
20100420,PGF,205245,343518,Q,
20100421,PGF,155250,316022,Q,
20100422,PGF,168540,391549,Q,
20100423,PGF,159900,274627,Q,
20100426,PGF,197933,390157,Q,
20100427,PGF,183566,511646,Q,
20100428,PGF,129021,487437,Q,
20100429,PGF,143695,364370,Q,
20100430,PGF,133339,462176,Q,
20100503,PGF,83144,347507,Q,
20100504,PGF,90957,418877,Q,
20100510,PGF,341948,982555,Q,
20100511,PGF,316329,582070,Q,
20100512,PGF,303612,470191,Q,
20100513,PGF,165525,649207,Q,
20100517,PGF,59524,891171,Q,
20100518,PGF,86317,481287,Q,
20100519,PGF,88257,833603,Q,
20100520,PGF,105375,866705,Q,
20100521,PGF,403960,921779,Q,
20100524,PGF,128103,356676,Q,
20100525,PGF,93489,557736,Q,
20100526,PGF,137660,289760,Q,
20100527,PGF,95088,244821,Q,
20100528,PGF,103804,369741,Q,
20100601,PGF,114336,262712,Q,
20100602,PGF,83788,275674,Q,
20100603,PGF,128942,309681,Q,
20100604,PGF,67798,258944,Q,
20100607,PGF,16331,368651,Q,
20100608,PGF,44347,202811,Q,
20100609,PGF,176218,326589,Q,
20100610,PGF,133613,212600,Q,
20100611,PGF,130223,201561,Q,
20100614,PGF,260055,344600,Q,
20100615,PGF,93121,218661,Q,
20100616,PGF,170861,371731,Q,
20100617,PGF,41823,209037,Q,
20100618,PGF,106992,321168,Q,
20100621,PGF,201447,360049,Q,
20100622,PGF,121879,234182,Q,
20100623,PGF,118488,202391,Q,
20100624,PGF,92151,250255,Q,
20100625,PGF,131131,237182,Q,
20100628,PGF,97657,194677,Q,
20100629,PGF,107211,261009,Q,
20100630,PGF,79038,185052,Q,
20100701,PGF,106388,320212,Q,
20100702,PGF,85901,210842,Q,
20100706,PGF,145433,257012,Q,
20100707,PGF,142381,241695,Q,
20100708,PGF,105788,189915,Q,
20100709,PGF,138365,276030,Q,
20110804,PGF,40917,589283,,1400.0
