,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PIC,500,1623,Q,
20100106,PIC,422,2210,Q,
20100108,PIC,900,1000,Q,
20100111,PIC,1710,2875,Q,
20100112,PIC,611,1984,Q,
20100113,PIC,100,950,Q,
20100114,PIC,156,703,Q,
20100115,PIC,1000,1000,Q,
20100119,PIC,920,2225,Q,
20100120,PIC,500,1200,Q,
20100121,PIC,373,983,Q,
20100122,PIC,1000,1100,Q,
20100125,PIC,800,6049,Q,
20100127,PIC,1244,3326,Q,
20100128,PIC,529,766,Q,
20100129,PIC,764,933,Q,
20100202,PIC,802,2852,Q,
20100205,PIC,611,2933,Q,
20100211,PIC,114,421,Q,
20100212,PIC,500,903,Q,
20100219,PIC,1565,2411,Q,
20100222,PIC,2235,2599,Q,
20100302,PIC,1139,1639,Q,
20100303,PIC,1000,1200,Q,
20100304,PIC,1014,2014,Q,
20100310,PIC,133,1581,Q,
20100311,PIC,1066,2174,Q,
20100315,PIC,527,1134,Q,
20100317,PIC,16375,24175,Q,
20100318,PIC,1002,4418,Q,
20100319,PIC,800,1600,Q,
20100322,PIC,1000,1708,Q,
20100323,PIC,1900,2865,Q,
20100324,PIC,1651,2193,Q,
20100325,PIC,1341,1486,Q,
20100326,PIC,150,5377,Q,
20100329,PIC,1035,1035,Q,
20100330,PIC,956,1861,Q,
20100331,PIC,2920,2920,Q,
20100401,PIC,4583,4583,Q,
20100405,PIC,900,1300,Q,
20100406,PIC,265,474,Q,
20100407,PIC,2537,2537,Q,
20100408,PIC,1200,1385,Q,
20100409,PIC,1098,1811,Q,
20100412,PIC,766,2172,Q,
20100413,PIC,250,1711,Q,
20100414,PIC,289,1603,Q,
20100415,PIC,315,2288,Q,
20100416,PIC,1964,3564,Q,
20100419,PIC,600,2400,Q,
20100421,PIC,513,2743,Q,
20100427,PIC,11250,13509,Q,
20100428,PIC,400,575,Q,
20100430,PIC,700,1091,Q,
20100503,PIC,400,3334,Q,
20100504,PIC,100,700,Q,
20100513,PIC,350,2730,Q,
20100517,PIC,100,957,Q,
20100518,PIC,6000,7531,Q,
20100519,PIC,1100,1100,Q,
20100520,PIC,3835,6902,Q,
20100525,PIC,100,2600,Q,
20100527,PIC,1000,1618,Q,
20100528,PIC,466,566,Q,
20100602,PIC,400,1000,Q,
20100603,PIC,364,721,Q,
20100604,PIC,1000,1100,Q,
20100608,PIC,200,693,Q,
20100609,PIC,2643,2827,Q,
20100610,PIC,2898,8544,Q,
20100615,PIC,1000,1000,Q,
20100616,PIC,400,1224,Q,
20100618,PIC,124,2224,Q,
20100621,PIC,1384,3311,Q,
20100624,PIC,446,1760,Q,
20100625,PIC,542,692,Q,
20100629,PIC,200,200,Q,
20100630,PIC,600,832,Q,
20100701,PIC,1475,1575,Q,
20100702,PIC,1500,1800,Q,
20100706,PIC,2172,2541,Q,
20100707,PIC,1313,2755,Q,
20100708,PIC,300,1225,Q,
20100709,PIC,1697,4279,Q,
