,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PJR,1650,2750,Q,
20100105,PJR,600,1000,Q,
20100107,PJR,630,1130,Q,
20100111,PJR,2100,5200,Q,
20100112,PJR,274,774,Q,
20100114,PJR,1200,2115,Q,
20100121,PJR,300,800,Q,
20100122,PJR,100,1000,Q,
20100125,PJR,550,1000,Q,
20100126,PJR,1200,1400,Q,
20100127,PJR,340,940,Q,
20100128,PJR,2040,2740,Q,
20100202,PJR,300,1200,Q,
20100203,PJR,100,500,Q,
20100204,PJR,4600,6255,Q,
20100208,PJR,100,4400,Q,
20100209,PJR,1800,2100,Q,
20100210,PJR,300,400,Q,
20100211,PJR,100,310,Q,
20100216,PJR,587,587,Q,
20100217,PJR,250,250,Q,
20100218,PJR,2700,3000,Q,
20100222,PJR,500,500,Q,
20100223,PJR,100,100,Q,
20100224,PJR,1800,2064,Q,
20100225,PJR,1385,2085,Q,
20100301,PJR,800,900,Q,
20100302,PJR,1300,1750,Q,
20100303,PJR,1000,2200,Q,
20100304,PJR,900,1110,Q,
20100309,PJR,800,1645,Q,
20100310,PJR,966,2277,Q,
20100311,PJR,200,610,Q,
20100317,PJR,100,655,Q,
20100319,PJR,200,2640,Q,
20100322,PJR,290,1780,Q,
20100323,PJR,200,1900,Q,
20100325,PJR,200,400,Q,
20100331,PJR,227,727,Q,
20100406,PJR,1250,1935,Q,
20100407,PJR,700,1405,Q,
20100413,PJR,600,2199,Q,
20100414,PJR,200,400,Q,
20100415,PJR,100,100,Q,
20100416,PJR,460,460,Q,
20100419,PJR,200,900,Q,
20100420,PJR,910,2010,Q,
20100422,PJR,200,700,Q,
20100423,PJR,800,1600,Q,
20100426,PJR,200,1100,Q,
20100428,PJR,300,1000,Q,
20100429,PJR,2700,3800,Q,
20100503,PJR,1000,1300,Q,
20100504,PJR,1000,1200,Q,
20100510,PJR,1000,2000,Q,
20100511,PJR,200,2900,Q,
20100512,PJR,300,1525,Q,
20100518,PJR,990,990,Q,
20100519,PJR,650,1350,Q,
20100520,PJR,500,500,Q,
20100521,PJR,1100,1575,Q,
20100524,PJR,250,450,Q,
20100525,PJR,300,2500,Q,
20100526,PJR,1100,4900,Q,
20100527,PJR,400,700,Q,
20100528,PJR,1200,3090,Q,
20100601,PJR,4200,10337,Q,
20100602,PJR,200,2400,Q,
20100603,PJR,1400,4296,Q,
20100604,PJR,850,3957,Q,
20100608,PJR,200,4050,Q,
20100609,PJR,900,2796,Q,
20100610,PJR,5050,8452,Q,
20100611,PJR,1200,1900,Q,
20100614,PJR,2300,3600,Q,
20100615,PJR,2328,8570,Q,
20100616,PJR,770,1570,Q,
20100617,PJR,200,1370,Q,
20100618,PJR,1730,4930,Q,
20100621,PJR,1050,2250,Q,
20100622,PJR,1300,2550,Q,
20100623,PJR,3200,6000,Q,
20100625,PJR,500,2000,Q,
20100628,PJR,1086,2686,Q,
20100629,PJR,500,1600,Q,
20100630,PJR,1000,2100,Q,
20100702,PJR,1000,3875,Q,
20100707,PJR,300,1000,Q,
20100708,PJR,3224,5368,Q,
20100709,PJR,800,1400,Q,
