,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100106,PKW,825,2338,Q,
20100107,PKW,1420,3495,Q,
20100114,PKW,325,1050,Q,
20100115,PKW,170,400,Q,
20100120,PKW,340,1057,Q,
20100126,PKW,425,1430,Q,
20100127,PKW,250,350,Q,
20100128,PKW,100,1498,Q,
20100201,PKW,1500,3237,Q,
20100202,PKW,400,2250,Q,
20100208,PKW,1300,2387,Q,
20100209,PKW,600,2016,Q,
20100211,PKW,188,443,Q,
20100212,PKW,1590,3587,Q,
20100216,PKW,183,383,Q,
20100217,PKW,2602,4083,Q,
20100218,PKW,726,2776,Q,
20100222,PKW,5064,6748,Q,
20100223,PKW,886,4368,Q,
20100224,PKW,970,2574,Q,
20100225,PKW,1279,1789,Q,
20100226,PKW,2805,7956,Q,
20100302,PKW,3452,5687,Q,
20100303,PKW,1339,2439,Q,
20100308,PKW,186,1081,Q,
20100309,PKW,1075,2157,Q,
20100311,PKW,254,2869,Q,
20100312,PKW,1167,1304,Q,
20100316,PKW,1131,1453,Q,
20100317,PKW,2630,3106,Q,
20100318,PKW,2775,6470,Q,
20100322,PKW,583,2419,Q,
20100323,PKW,2214,2614,Q,
20100324,PKW,1200,1850,Q,
20100326,PKW,1136,3318,Q,
20100329,PKW,1755,3710,Q,
20100331,PKW,968,1168,Q,
20100401,PKW,449,1486,Q,
20100406,PKW,1275,6209,Q,
20100407,PKW,400,903,Q,
20100408,PKW,1120,3531,Q,
20100412,PKW,440,1427,Q,
20100413,PKW,435,1259,Q,
20100414,PKW,156,336,Q,
20100415,PKW,1278,3483,Q,
20100416,PKW,100,2285,Q,
20100420,PKW,1607,2472,Q,
20100421,PKW,678,2235,Q,
20100422,PKW,399,1222,Q,
20100423,PKW,740,2435,Q,
20100426,PKW,1222,2572,Q,
20100427,PKW,420,1373,Q,
20100428,PKW,404,1563,Q,
20100429,PKW,355,1504,Q,
20100503,PKW,960,2030,Q,
20100504,PKW,2009,2449,Q,
20100510,PKW,600,2342,Q,
20100511,PKW,450,1279,Q,
20100512,PKW,400,1402,Q,
20100513,PKW,600,1921,Q,
20100517,PKW,100,1475,Q,
20100519,PKW,600,3531,Q,
20100520,PKW,400,1975,Q,
20100521,PKW,959,4903,Q,
20100524,PKW,200,200,Q,
20100525,PKW,658,860,Q,
20100526,PKW,200,1403,Q,
20100527,PKW,501,1094,Q,
20100601,PKW,580,713,Q,
20100602,PKW,397,1293,Q,
20100607,PKW,375,1839,Q,
20100608,PKW,200,1380,Q,
20100609,PKW,400,625,Q,
20100610,PKW,500,1505,Q,
20100615,PKW,300,1988,Q,
20100621,PKW,4453,5590,Q,
20100624,PKW,100,925,Q,
20100625,PKW,400,400,Q,
20100630,PKW,3190,4240,Q,
20100701,PKW,1259,1977,Q,
20100707,PKW,185,785,Q,
20100709,PKW,1300,2100,Q,
20110804,PKW,550,14851,,0.0
