,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PLAB,36436,102040,Q,
20100105,PLAB,1543459,1711278,Q,
20100106,PLAB,44545,155347,Q,
20100107,PLAB,34549,136157,Q,
20100108,PLAB,21043,83489,Q,
20100111,PLAB,44432,80428,Q,
20100112,PLAB,36991,78161,Q,
20100113,PLAB,107825,181318,Q,
20100114,PLAB,35857,64826,Q,
20100115,PLAB,45607,107419,Q,
20100119,PLAB,31809,106209,Q,
20100120,PLAB,75927,143115,Q,
20100121,PLAB,54163,99603,Q,
20100122,PLAB,125362,180702,Q,
20100125,PLAB,76550,152952,Q,
20100126,PLAB,75487,163229,Q,
20100127,PLAB,61580,103157,Q,
20100128,PLAB,38079,84080,Q,
20100129,PLAB,31880,204450,Q,
20100201,PLAB,55650,97315,Q,
20100202,PLAB,53882,117333,Q,
20100203,PLAB,65316,79041,Q,
20100204,PLAB,45087,91112,Q,
20100205,PLAB,52675,135802,Q,
20100208,PLAB,33726,121577,Q,
20100209,PLAB,27390,120765,Q,
20100210,PLAB,21200,68467,Q,
20100211,PLAB,34530,116750,Q,
20100212,PLAB,54781,93355,Q,
20100216,PLAB,133148,365332,Q,
20100217,PLAB,86113,356083,Q,
20100218,PLAB,75063,216566,Q,
20100219,PLAB,63313,142340,Q,
20100222,PLAB,56277,133524,Q,
20100223,PLAB,43353,110361,Q,
20100224,PLAB,35640,104206,Q,
20100225,PLAB,40408,78934,Q,
20100226,PLAB,26537,77609,Q,
20100301,PLAB,62927,135292,Q,
20100302,PLAB,63023,116274,Q,
20100303,PLAB,39064,129677,Q,
20100304,PLAB,72659,113971,Q,
20100305,PLAB,36820,67378,Q,
20100308,PLAB,36038,72479,Q,
20100309,PLAB,58382,100303,Q,
20100310,PLAB,70953,158113,Q,
20100311,PLAB,25163,65262,Q,
20100312,PLAB,31572,76404,Q,
20100315,PLAB,30685,92910,Q,
20100316,PLAB,202133,269816,Q,
20100317,PLAB,72981,206490,Q,
20100318,PLAB,48558,95506,Q,
20100319,PLAB,51329,169874,Q,
20100322,PLAB,73304,186176,Q,
20100323,PLAB,182735,489875,Q,
20100324,PLAB,90201,180132,Q,
20100325,PLAB,32610,91919,Q,
20100326,PLAB,1577294,1701954,Q,
20100329,PLAB,47419,103506,Q,
20100330,PLAB,60470,155032,Q,
20100331,PLAB,59635,127306,Q,
20100401,PLAB,140477,210487,Q,
20100405,PLAB,49255,110334,Q,
20100406,PLAB,46820,109123,Q,
20100407,PLAB,51242,119484,Q,
20100408,PLAB,254117,387017,Q,
20100409,PLAB,53786,106290,Q,
20100412,PLAB,41289,709425,Q,
20100413,PLAB,38684,134838,Q,
20100414,PLAB,177649,368224,Q,
20100415,PLAB,135297,300126,Q,
20100416,PLAB,83906,207357,Q,
20100419,PLAB,64537,199518,Q,
20100420,PLAB,34141,90322,Q,
20100421,PLAB,30709,56531,Q,
20100422,PLAB,30489,90075,Q,
20100423,PLAB,26985,69229,Q,
20100426,PLAB,36594,71121,Q,
20100427,PLAB,219065,775032,Q,
20100428,PLAB,1982748,4350222,Q,
20100429,PLAB,59412,104283,Q,
20100430,PLAB,72396,118630,Q,
20100503,PLAB,49506,84590,Q,
20100504,PLAB,71265,172141,Q,
20100510,PLAB,69363,137798,Q,
20100511,PLAB,92776,132372,Q,
20100512,PLAB,82300,177795,Q,
20100513,PLAB,54909,109209,Q,
20100517,PLAB,69898,119633,Q,
20100518,PLAB,78441,126584,Q,
20100519,PLAB,453460,1154916,Q,
20100520,PLAB,103923,192519,Q,
20100521,PLAB,63208,138344,Q,
20100524,PLAB,375372,792638,Q,
20100525,PLAB,35330,81880,Q,
20100526,PLAB,48476,79288,Q,
20100527,PLAB,60491,107596,Q,
20100528,PLAB,117281,205221,Q,
20100601,PLAB,81745,131845,Q,
20100602,PLAB,72104,186473,Q,
20100603,PLAB,67072,113020,Q,
20100604,PLAB,69502,119278,Q,
20100607,PLAB,72023,114512,Q,
20100608,PLAB,44251,85086,Q,
20100609,PLAB,59250,132989,Q,
20100610,PLAB,49200,90735,Q,
20100611,PLAB,18410,39561,Q,
20100614,PLAB,66220,105418,Q,
20100615,PLAB,81022,177350,Q,
20100616,PLAB,31476,139549,Q,
20100617,PLAB,12235,40054,Q,
20100618,PLAB,39053,67123,Q,
20100621,PLAB,16945,60393,Q,
20100622,PLAB,25070,56811,Q,
20100623,PLAB,7100,46047,Q,
20100624,PLAB,27446,142470,Q,
20100625,PLAB,22062,83561,Q,
20100628,PLAB,13460,55598,Q,
20100629,PLAB,51641,102801,Q,
20100630,PLAB,69918,803395,Q,
20100701,PLAB,55930,81531,Q,
20100702,PLAB,18702,29662,Q,
20100706,PLAB,192632,235434,Q,
20100707,PLAB,37357,114001,Q,
20100708,PLAB,27860,54328,Q,
20100709,PLAB,33491,103595,Q,
20110804,PLAB,66581,312769,,16000.0
