,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PLV,1950,3637,Q,
20100105,PLV,700,4200,Q,
20100106,PLV,1552,3877,Q,
20100107,PLV,1762,1862,Q,
20100108,PLV,1940,11801,Q,
20100112,PLV,1100,3305,Q,
20100113,PLV,1575,4632,Q,
20100114,PLV,900,2225,Q,
20100115,PLV,1720,5899,Q,
20100119,PLV,1934,3181,Q,
20100120,PLV,2020,3920,Q,
20100121,PLV,1821,3617,Q,
20100122,PLV,390,3169,Q,
20100125,PLV,1392,3666,Q,
20100126,PLV,4000,4813,Q,
20100127,PLV,22635,39039,Q,
20100128,PLV,3707,5971,Q,
20100129,PLV,1656,1981,Q,
20100201,PLV,2610,4710,Q,
20100202,PLV,17137,17612,Q,
20100203,PLV,1890,2558,Q,
20100204,PLV,1500,2565,Q,
20100205,PLV,1660,2284,Q,
20100208,PLV,900,2922,Q,
20100209,PLV,2340,3165,Q,
20100211,PLV,2721,4829,Q,
20100212,PLV,1300,2400,Q,
20100216,PLV,1530,2340,Q,
20100217,PLV,12053,13053,Q,
20100218,PLV,2353,4043,Q,
20100219,PLV,4201,5351,Q,
20100222,PLV,4900,9065,Q,
20100223,PLV,4331,7931,Q,
20100224,PLV,6300,7700,Q,
20100225,PLV,10502,13502,Q,
20100226,PLV,9814,10314,Q,
20100301,PLV,23775,29007,Q,
20100302,PLV,7948,18388,Q,
20100303,PLV,3310,7303,Q,
20100304,PLV,13900,20298,Q,
20100305,PLV,339,1100,Q,
20100308,PLV,4950,10975,Q,
20100309,PLV,757,3875,Q,
20100310,PLV,644,3627,Q,
20100311,PLV,656,1756,Q,
20100312,PLV,300,2169,Q,
20100315,PLV,1135,3194,Q,
20100316,PLV,769,2171,Q,
20100317,PLV,1568,3368,Q,
20100318,PLV,7485,14956,Q,
20100319,PLV,7354,14845,Q,
20100322,PLV,7259,9159,Q,
20100323,PLV,12198,85647,Q,
20100324,PLV,3800,8058,Q,
20100325,PLV,1723,13058,Q,
20100326,PLV,579,6503,Q,
20100329,PLV,100,3330,Q,
20100330,PLV,610,4732,Q,
20100331,PLV,4400,7394,Q,
20100401,PLV,5400,5590,Q,
20100405,PLV,1437,2129,Q,
20100406,PLV,1851,4329,Q,
20100407,PLV,713,990,Q,
20100408,PLV,1730,7165,Q,
20100409,PLV,1048,2001,Q,
20100412,PLV,328,1124,Q,
20100413,PLV,1000,1702,Q,
20100414,PLV,1442,2932,Q,
20100415,PLV,3620,6577,Q,
20100416,PLV,2404,11032,Q,
20100419,PLV,400,2057,Q,
20100420,PLV,1700,2949,Q,
20100421,PLV,2931,3931,Q,
20100423,PLV,2000,3778,Q,
20100426,PLV,200,1546,Q,
20100427,PLV,1923,2492,Q,
20100428,PLV,700,3330,Q,
20100430,PLV,275,2575,Q,
20100503,PLV,484,3248,Q,
20100504,PLV,500,2898,Q,
20100510,PLV,2700,6960,Q,
20100511,PLV,878,2208,Q,
20100512,PLV,7225,9425,Q,
20100513,PLV,2050,3740,Q,
20100517,PLV,950,3335,Q,
20100518,PLV,1496,4508,Q,
20100519,PLV,1804,2604,Q,
20100521,PLV,4300,9960,Q,
20100524,PLV,2000,11575,Q,
20100525,PLV,7395,15683,Q,
20100526,PLV,4445,8859,Q,
20100527,PLV,900,3037,Q,
20100528,PLV,500,1082,Q,
20100601,PLV,2400,5151,Q,
20100602,PLV,4700,8627,Q,
20100604,PLV,2700,11176,Q,
20100607,PLV,7200,15000,Q,
20100608,PLV,1200,3582,Q,
20100609,PLV,500,1800,Q,
20100610,PLV,500,1786,Q,
20100611,PLV,1165,4835,Q,
20100614,PLV,1600,3350,Q,
20100615,PLV,4900,9762,Q,
20100616,PLV,1900,5100,Q,
20100617,PLV,1800,9054,Q,
20100618,PLV,3575,6044,Q,
20100621,PLV,800,3854,Q,
20100622,PLV,3900,11815,Q,
20100623,PLV,4800,14079,Q,
20100624,PLV,200,6152,Q,
20100625,PLV,3230,12748,Q,
20100628,PLV,2525,4225,Q,
20100629,PLV,400,919,Q,
20100630,PLV,700,8094,Q,
20100701,PLV,3500,10750,Q,
20100706,PLV,700,1605,Q,
20100707,PLV,1850,3216,Q,
20100709,PLV,500,1600,Q,
20110804,PLV,275,275,,0.0
