,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,POOL,37216,56541,Q,
20100105,POOL,112954,204942,Q,
20100106,POOL,140328,240191,Q,
20100107,POOL,36062,66923,Q,
20100108,POOL,20781,114490,Q,
20100111,POOL,48893,95736,Q,
20100112,POOL,20843,53295,Q,
20100113,POOL,25505,41328,Q,
20100114,POOL,26195,44235,Q,
20100115,POOL,66780,104712,Q,
20100119,POOL,66716,111778,Q,
20100120,POOL,20435,30706,Q,
20100121,POOL,55320,79026,Q,
20100122,POOL,37403,57592,Q,
20100125,POOL,72690,103388,Q,
20100126,POOL,42455,83205,Q,
20100127,POOL,32149,47641,Q,
20100128,POOL,17241,40753,Q,
20100129,POOL,60477,115037,Q,
20100201,POOL,69656,85176,Q,
20100202,POOL,29789,47594,Q,
20100203,POOL,54526,82386,Q,
20100204,POOL,62531,81560,Q,
20100205,POOL,75140,101554,Q,
20100208,POOL,23392,36806,Q,
20100209,POOL,143636,298345,Q,
20100210,POOL,53237,126272,Q,
20100211,POOL,29056,55258,Q,
20100212,POOL,43330,58957,Q,
20100216,POOL,40741,84314,Q,
20100217,POOL,55911,115563,Q,
20100218,POOL,147052,184468,Q,
20100219,POOL,74921,98625,Q,
20100222,POOL,69140,127722,Q,
20100223,POOL,47491,90341,Q,
20100224,POOL,25639,96063,Q,
20100225,POOL,23378,44002,Q,
20100226,POOL,12834,39873,Q,
20100301,POOL,37367,72641,Q,
20100302,POOL,15521,33926,Q,
20100303,POOL,32721,58876,Q,
20100304,POOL,9806,15288,Q,
20100305,POOL,37724,90005,Q,
20100308,POOL,36116,120304,Q,
20100309,POOL,72335,136640,Q,
20100310,POOL,33441,215172,Q,
20100311,POOL,18046,28228,Q,
20100312,POOL,28275,75078,Q,
20100315,POOL,34735,63207,Q,
20100316,POOL,20450,44870,Q,
20100317,POOL,27845,57631,Q,
20100318,POOL,16961,31076,Q,
20100319,POOL,44580,73611,Q,
20100322,POOL,27898,68937,Q,
20100323,POOL,24480,50020,Q,
20100324,POOL,20909,43314,Q,
20100325,POOL,31546,80273,Q,
20100326,POOL,22702,86118,Q,
20100329,POOL,14647,30162,Q,
20100330,POOL,58909,118472,Q,
20100331,POOL,18248,60140,Q,
20100401,POOL,35228,59260,Q,
20100405,POOL,11861,102230,Q,
20100406,POOL,21442,42749,Q,
20100407,POOL,22478,50425,Q,
20100408,POOL,13723,26095,Q,
20100409,POOL,11037,26314,Q,
20100412,POOL,4251,32596,Q,
20100413,POOL,14210,39521,Q,
20100414,POOL,10808,77921,Q,
20100415,POOL,224070,283596,Q,
20100416,POOL,39508,83218,Q,
20100419,POOL,93792,195656,Q,
20100420,POOL,42671,197571,Q,
20100421,POOL,100644,359869,Q,
20100422,POOL,132591,227146,Q,
20100423,POOL,70342,270772,Q,
20100426,POOL,25950,123292,Q,
20100427,POOL,46652,178229,Q,
20100428,POOL,27055,72125,Q,
20100429,POOL,18913,88220,Q,
20100430,POOL,22715,104239,Q,
20100503,POOL,15778,151297,Q,
20100504,POOL,21838,49964,Q,
20100510,POOL,32334,51096,Q,
20100511,POOL,37723,82353,Q,
20100512,POOL,22764,52859,Q,
20100513,POOL,92359,121428,Q,
20100517,POOL,56601,73001,Q,
20100518,POOL,38327,59056,Q,
20100519,POOL,60971,100774,Q,
20100520,POOL,95754,136476,Q,
20100521,POOL,112460,169455,Q,
20100524,POOL,57908,89464,Q,
20100525,POOL,131256,299156,Q,
20100526,POOL,43318,116363,Q,
20100527,POOL,42689,271369,Q,
20100528,POOL,36765,71672,Q,
20100601,POOL,33481,144825,Q,
20100602,POOL,41465,83857,Q,
20100603,POOL,25352,55466,Q,
20100604,POOL,96275,150467,Q,
20100607,POOL,42312,121400,Q,
20100608,POOL,89181,167627,Q,
20100609,POOL,42754,178622,Q,
20100610,POOL,44464,159959,Q,
20100611,POOL,60478,125113,Q,
20100614,POOL,28435,137412,Q,
20100615,POOL,65742,145538,Q,
20100616,POOL,20221,63496,Q,
20100617,POOL,20500,105812,Q,
20100618,POOL,33020,106806,Q,
20100621,POOL,15176,23567,Q,
20100622,POOL,24627,68865,Q,
20100623,POOL,18805,49662,Q,
20100624,POOL,37062,106678,Q,
20100625,POOL,74583,111754,Q,
20100628,POOL,42625,71780,Q,
20100629,POOL,92734,111734,Q,
20100630,POOL,75411,116990,Q,
20100701,POOL,98216,216731,Q,
20100702,POOL,123567,153996,Q,
20100706,POOL,59606,95300,Q,
20100707,POOL,43913,69060,Q,
20100708,POOL,71743,98078,Q,
20100709,POOL,77000,155152,Q,
20110804,POOL,62318,85845,,0.0
