,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PPSpA,100,100,Q,
20100107,PPSpA,500,500,Q,
20100111,PPSpA,200,200,Q,
20100201,PPSpA,139,139,Q,
20100218,PPSpA,100,200,Q,
20100222,PPSpA,300,500,Q,
20100301,PPSpA,100,100,Q,
20100309,PPSpA,100,100,Q,
20100323,PPSpA,100,100,Q,
20100329,PPSpA,100,100,Q,
20100330,PPSpA,100,200,Q,
20100430,PPSpA,600,1400,Q,
20100517,PPSpA,1095,1095,Q,
20100520,PPSpA,400,600,Q,
20100526,PPSpA,250,1150,Q,
20100609,PPSpA,100,2405,Q,
20100630,PPSpA,200,200,Q,
