,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,PRB,2476,3736,Q,
20100105,PRB,4184,5286,Q,
20100106,PRB,200,200,Q,
20100107,PRB,8600,14877,Q,
20100111,PRB,1250,2248,Q,
20100112,PRB,100,1400,Q,
20100113,PRB,800,1995,Q,
20100114,PRB,788,1424,Q,
20100115,PRB,440,440,Q,
20100119,PRB,3620,5730,Q,
20100120,PRB,100,1280,Q,
20100121,PRB,370,370,Q,
20100122,PRB,815,1015,Q,
20100125,PRB,500,1550,Q,
20100126,PRB,2986,5186,Q,
20100127,PRB,2800,2910,Q,
20100128,PRB,3300,4380,Q,
20100129,PRB,3537,4143,Q,
20100201,PRB,2400,4400,Q,
20100202,PRB,600,1000,Q,
20100203,PRB,3116,4055,Q,
20100204,PRB,1000,2100,Q,
20100205,PRB,1100,5699,Q,
20100208,PRB,4775,6351,Q,
20100209,PRB,1935,2438,Q,
20100211,PRB,900,2015,Q,
20100212,PRB,544,744,Q,
20100216,PRB,2145,2145,Q,
20100217,PRB,800,800,Q,
20100218,PRB,1371,3312,Q,
20100219,PRB,3598,4498,Q,
20100222,PRB,768,4168,Q,
20100223,PRB,568,2148,Q,
20100224,PRB,3107,8242,Q,
20100225,PRB,1000,1000,Q,
20100226,PRB,400,735,Q,
20100301,PRB,2540,2640,Q,
20100302,PRB,336,1036,Q,
20100303,PRB,500,4112,Q,
20100304,PRB,1900,2599,Q,
20100305,PRB,1296,4173,Q,
20100308,PRB,200,2915,Q,
20100309,PRB,1478,4579,Q,
20100310,PRB,200,1379,Q,
20100311,PRB,960,3333,Q,
20100316,PRB,600,3140,Q,
20100317,PRB,1700,13831,Q,
20100318,PRB,2100,4200,Q,
20100319,PRB,4130,4702,Q,
20100323,PRB,1289,1289,Q,
20100325,PRB,4200,22047,Q,
20100329,PRB,200,200,Q,
20100330,PRB,1670,2684,Q,
20100331,PRB,1500,4466,Q,
20100401,PRB,210,410,Q,
20100405,PRB,5900,6854,Q,
20100406,PRB,2090,3190,Q,
20100407,PRB,2800,3020,Q,
20100408,PRB,900,10493,Q,
20100409,PRB,1382,5587,Q,
20100413,PRB,5800,11945,Q,
20100414,PRB,271,6600,Q,
20100415,PRB,775,4526,Q,
20100416,PRB,1200,2500,Q,
20100419,PRB,900,4353,Q,
20100420,PRB,200,1187,Q,
20100426,PRB,1182,1573,Q,
20100427,PRB,858,1958,Q,
20100429,PRB,210,920,Q,
20100430,PRB,356,1212,Q,
20100504,PRB,5350,9350,Q,
20100511,PRB,800,2306,Q,
20100512,PRB,1510,3140,Q,
20100513,PRB,3895,5098,Q,
20100517,PRB,1000,1000,Q,
20100518,PRB,200,2540,Q,
20100519,PRB,1106,3256,Q,
20100520,PRB,2100,5280,Q,
20100525,PRB,3500,50360,Q,
20100526,PRB,100,2116,Q,
20100527,PRB,1400,3600,Q,
20100528,PRB,300,2490,Q,
20100601,PRB,3054,4054,Q,
20100603,PRB,1000,1900,Q,
20100607,PRB,600,5415,Q,
20100608,PRB,1185,34055,Q,
20100609,PRB,1500,5809,Q,
20100610,PRB,1801,2901,Q,
20100611,PRB,625,1376,Q,
20100614,PRB,1947,3347,Q,
20100615,PRB,856,856,Q,
20100616,PRB,500,600,Q,
20100618,PRB,1260,2220,Q,
20100628,PRB,650,850,Q,
20100629,PRB,141,4179,Q,
20100630,PRB,1200,4335,Q,
20100701,PRB,180,280,Q,
20100702,PRB,200,1700,Q,
20100706,PRB,891,4491,Q,
20100709,PRB,700,6938,Q,
