,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,PZZI,3350,7400,Q,
20100106,PZZI,1385,5520,Q,
20100107,PZZI,5582,13082,Q,
20100108,PZZI,1500,6650,Q,
20100111,PZZI,8800,32130,Q,
20100112,PZZI,1100,4300,Q,
20100113,PZZI,100,2600,Q,
20100114,PZZI,900,2500,Q,
20100115,PZZI,798,33925,Q,
20100119,PZZI,2703,10803,Q,
20100120,PZZI,1400,2400,Q,
20100121,PZZI,601,1431,Q,
20100122,PZZI,700,7955,Q,
20100125,PZZI,1500,1900,Q,
20100126,PZZI,1725,3808,Q,
20100127,PZZI,900,6868,Q,
20100128,PZZI,2300,10400,Q,
20100129,PZZI,300,2100,Q,
20100201,PZZI,3061,5961,Q,
20100202,PZZI,3350,14850,Q,
20100203,PZZI,300,14625,Q,
20100204,PZZI,700,3600,Q,
20100205,PZZI,1000,2800,Q,
20100211,PZZI,3724,8524,Q,
20100216,PZZI,3900,13165,Q,
20100222,PZZI,1800,6430,Q,
20100224,PZZI,1150,1900,Q,
20100225,PZZI,600,1400,Q,
20100226,PZZI,400,1200,Q,
20100301,PZZI,200,1400,Q,
20100302,PZZI,5100,8685,Q,
20100303,PZZI,12000,16225,Q,
20100305,PZZI,100,12999,Q,
20100310,PZZI,100,333,Q,
20100312,PZZI,2300,5500,Q,
20100315,PZZI,1700,7200,Q,
20100316,PZZI,3346,8422,Q,
20100317,PZZI,5600,12425,Q,
20100318,PZZI,6457,18281,Q,
20100319,PZZI,700,7656,Q,
20100322,PZZI,2100,5486,Q,
20100323,PZZI,1100,1600,Q,
20100324,PZZI,800,6049,Q,
20100325,PZZI,2300,3800,Q,
20100329,PZZI,1700,3500,Q,
20100330,PZZI,1163,10963,Q,
20100401,PZZI,1100,3500,Q,
20100405,PZZI,550,9900,Q,
20100406,PZZI,2559,7800,Q,
20100407,PZZI,2800,31650,Q,
20100408,PZZI,1100,2800,Q,
20100409,PZZI,200,49314,Q,
20100412,PZZI,1500,2155,Q,
20100413,PZZI,560,4820,Q,
20100415,PZZI,1500,6200,Q,
20100416,PZZI,5850,14650,Q,
20100419,PZZI,100,2100,Q,
20100420,PZZI,5070,7670,Q,
20100422,PZZI,600,1428,Q,
20100427,PZZI,1900,11300,Q,
20100429,PZZI,100,16100,Q,
20100503,PZZI,100,2400,Q,
20100504,PZZI,200,1800,Q,
20100510,PZZI,1600,8169,Q,
20100513,PZZI,1600,7000,Q,
20100519,PZZI,200,1295,Q,
20100520,PZZI,1700,4485,Q,
20100521,PZZI,588,1588,Q,
20100525,PZZI,660,1837,Q,
20100526,PZZI,100,5900,Q,
20100528,PZZI,100,2300,Q,
20100601,PZZI,600,1500,Q,
20100602,PZZI,800,3900,Q,
20100604,PZZI,1000,4199,Q,
20100607,PZZI,800,1700,Q,
20100611,PZZI,800,2300,Q,
20100614,PZZI,200,1024,Q,
20100617,PZZI,1000,3029,Q,
20100621,PZZI,100,600,Q,
20100622,PZZI,4857,5400,Q,
20100623,PZZI,200,2200,Q,
20100625,PZZI,1200,1500,Q,
20100628,PZZI,100,5600,Q,
20100629,PZZI,700,4500,Q,
20100630,PZZI,100,5800,Q,
20100701,PZZI,200,400,Q,
20100706,PZZI,300,1300,Q,
20100709,PZZI,600,3950,Q,
20110804,PZZI,11907,27533,,0.0
