,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,QLD,744286,1852263,Q,
20100105,QLD,613265,1509764,Q,
20100106,QLD,739827,1985174,Q,
20100107,QLD,632663,1594355,Q,
20100108,QLD,518047,1554120,Q,
20100111,QLD,639182,1758888,Q,
20100112,QLD,738800,2302811,Q,
20100113,QLD,821545,1989912,Q,
20100114,QLD,551863,1425005,Q,
20100115,QLD,832749,2618148,Q,
20100119,QLD,465562,1735387,Q,
20100120,QLD,1134344,3100302,Q,
20100121,QLD,1162642,3548733,Q,
20100122,QLD,1265787,3459144,Q,
20100125,QLD,811749,2411855,Q,
20100126,QLD,870636,2130738,Q,
20100127,QLD,1326324,2641166,Q,
20100128,QLD,1605581,4203236,Q,
20100129,QLD,1721632,4714340,Q,
20100201,QLD,1043160,2726644,Q,
20100202,QLD,675842,2407118,Q,
20100203,QLD,698389,2436004,Q,
20100204,QLD,1493642,3640243,Q,
20100205,QLD,1921816,4338244,Q,
20100208,QLD,1034965,2837463,Q,
20100209,QLD,977522,3131599,Q,
20100210,QLD,701912,2030106,Q,
20100211,QLD,734885,2221978,Q,
20100212,QLD,879342,3029606,Q,
20100216,QLD,573122,1627378,Q,
20100217,QLD,973797,1996084,Q,
20100218,QLD,519853,1602593,Q,
20100219,QLD,968885,2097864,Q,
20100222,QLD,873088,1883653,Q,
20100223,QLD,708430,2419207,Q,
20100224,QLD,634208,1922788,Q,
20100225,QLD,1068735,3018518,Q,
20100226,QLD,1184159,2407114,Q,
20100301,QLD,769324,1899420,Q,
20100302,QLD,1737145,3418618,Q,
20100303,QLD,1083443,2283619,Q,
20100304,QLD,560810,1677304,Q,
20100305,QLD,712915,2532185,Q,
20100308,QLD,638516,1724294,Q,
20100309,QLD,1055063,3321185,Q,
20100310,QLD,763852,2483576,Q,
20100311,QLD,617772,2213847,Q,
20100312,QLD,901906,2741456,Q,
20100315,QLD,472619,2115285,Q,
20100316,QLD,779943,2230940,Q,
20100317,QLD,706391,2068057,Q,
20100318,QLD,703279,2173156,Q,
20100319,QLD,693827,2477638,Q,
20100322,QLD,535381,1771884,Q,
20100323,QLD,1113212,2443471,Q,
20100324,QLD,853035,1872253,Q,
20100325,QLD,1154342,2916839,Q,
20100326,QLD,736065,2291178,Q,
20100329,QLD,654660,1470638,Q,
20100330,QLD,354184,1531116,Q,
20100331,QLD,684191,2090195,Q,
20100401,QLD,795293,2625439,Q,
20100405,QLD,514923,1400715,Q,
20100406,QLD,677176,1903010,Q,
20100407,QLD,1194718,3190879,Q,
20100408,QLD,482578,1581549,Q,
20100409,QLD,378949,1487051,Q,
20100412,QLD,406006,1365403,Q,
20100413,QLD,551073,1647115,Q,
20100414,QLD,736690,1729597,Q,
20100415,QLD,911843,2084106,Q,
20100416,QLD,1693471,4474091,Q,
20100419,QLD,1206438,3636188,Q,
20100420,QLD,1168745,2478158,Q,
20100421,QLD,1509326,3423289,Q,
20100422,QLD,1564443,4191523,Q,
20100423,QLD,1461241,3465527,Q,
20100426,QLD,1066442,3078576,Q,
20100427,QLD,1762467,4794988,Q,
20100428,QLD,1589283,3878906,Q,
20100429,QLD,855045,2227104,Q,
20100430,QLD,971253,2848574,Q,
20100503,QLD,629628,1822809,Q,
20100504,QLD,1527385,3818179,Q,
20100510,QLD,1017259,2863410,Q,
20100511,QLD,1461913,3165937,Q,
20100512,QLD,1142346,2495185,Q,
20100513,QLD,1382088,3114625,Q,
20100517,QLD,972155,2912562,Q,
20100518,QLD,1044160,2880137,Q,
20100519,QLD,1801303,3798350,Q,
20100520,QLD,2179006,5258439,Q,
20100521,QLD,1563836,4106924,Q,
20100524,QLD,1034000,2943477,Q,
20100525,QLD,2209054,4668000,Q,
20100526,QLD,1003287,3264674,Q,
20100527,QLD,988771,2798048,Q,
20100528,QLD,983879,2814472,Q,
20100601,QLD,805800,2502143,Q,
20100602,QLD,1107824,2523211,Q,
20100603,QLD,1154222,2747715,Q,
20100604,QLD,1447593,5128581,Q,
20100607,QLD,972377,3604359,Q,
20100608,QLD,1419242,3998744,Q,
20100609,QLD,1274598,3021635,Q,
20100610,QLD,582975,2040242,Q,
20100611,QLD,792158,2196567,Q,
20100614,QLD,927710,2626066,Q,
20100615,QLD,863293,2172712,Q,
20100616,QLD,1161614,2580526,Q,
20100617,QLD,747112,2332335,Q,
20100618,QLD,729726,1638233,Q,
20100621,QLD,910492,2459581,Q,
20100622,QLD,759139,2329130,Q,
20100623,QLD,523889,2017420,Q,
20100624,QLD,574293,2649671,Q,
20100625,QLD,750795,2214663,Q,
20100628,QLD,451191,1505453,Q,
20100629,QLD,1213415,3683769,Q,
20100630,QLD,641713,2373873,Q,
20100701,QLD,1514886,3863151,Q,
20100702,QLD,756994,2304254,Q,
20100706,QLD,648088,2617341,Q,
20100707,QLD,911834,2552871,Q,
20100708,QLD,751402,2210248,Q,
20100709,QLD,563125,1597406,Q,
20110804,QLD,951564,2647696,,14131.0
