,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,QRCP,38424,100447,Q,
20100105,QRCP,9700,85740,Q,
20100106,QRCP,2600,25986,Q,
20100107,QRCP,7267,42264,Q,
20100108,QRCP,18460,78432,Q,
20100111,QRCP,53535,231585,Q,
20100112,QRCP,12000,77220,Q,
20100113,QRCP,87700,174277,Q,
20100114,QRCP,56354,235715,Q,
20100115,QRCP,41158,91574,Q,
20100119,QRCP,94138,229732,Q,
20100120,QRCP,117478,352380,Q,
20100121,QRCP,58290,201842,Q,
20100122,QRCP,49816,83394,Q,
20100125,QRCP,34900,98409,Q,
20100126,QRCP,39268,104760,Q,
20100127,QRCP,41965,193004,Q,
20100128,QRCP,85016,147740,Q,
20100129,QRCP,15210,44835,Q,
20100201,QRCP,4400,46250,Q,
20100202,QRCP,8240,40656,Q,
20100203,QRCP,1300,29801,Q,
20100204,QRCP,25573,98616,Q,
20100205,QRCP,58000,97555,Q,
20100208,QRCP,13055,38804,Q,
20100209,QRCP,20428,56179,Q,
20100210,QRCP,600,1550,Q,
20100211,QRCP,900,9956,Q,
20100212,QRCP,1200,5297,Q,
20100216,QRCP,26713,61350,Q,
20100217,QRCP,3500,13538,Q,
20100218,QRCP,3200,61231,Q,
20100219,QRCP,16098,34678,Q,
20100222,QRCP,4900,31199,Q,
20100223,QRCP,7315,50104,Q,
20100224,QRCP,60220,93013,Q,
20100225,QRCP,13876,26601,Q,
20100226,QRCP,83165,163529,Q,
20100301,QRCP,32457,101675,Q,
20100302,QRCP,9379,165236,Q,
20100303,QRCP,52046,60615,Q,
20100304,QRCP,7891,45878,Q,
20100305,QRCP,31039,74969,Q,
