,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RBN,3576,20287,Q,
20100105,RBN,50231,85399,Q,
20100106,RBN,185707,851091,Q,
20100107,RBN,94559,281770,Q,
20100108,RBN,23614,97187,Q,
20100111,RBN,20882,55584,Q,
20100112,RBN,16513,46790,Q,
20100113,RBN,25436,70934,Q,
20100114,RBN,48444,68896,Q,
20100115,RBN,109734,129410,Q,
20100119,RBN,33000,55935,Q,
20100120,RBN,64543,71828,Q,
20100121,RBN,21501,43058,Q,
20100122,RBN,12902,20652,Q,
20100125,RBN,6461,18041,Q,
20100126,RBN,18179,39552,Q,
20100127,RBN,3108,6079,Q,
20100128,RBN,11728,76371,Q,
20100129,RBN,12161,31475,Q,
20100201,RBN,8267,26867,Q,
20100202,RBN,25118,48469,Q,
20100203,RBN,5250,13346,Q,
20100204,RBN,11592,41144,Q,
20100205,RBN,14329,30234,Q,
20100208,RBN,9700,15860,Q,
20100209,RBN,9515,15933,Q,
20100210,RBN,11538,29699,Q,
20100211,RBN,6523,17427,Q,
20100212,RBN,7843,25055,Q,
20100216,RBN,4921,18295,Q,
20100217,RBN,10222,17750,Q,
20100218,RBN,9681,48018,Q,
20100219,RBN,3800,9368,Q,
20100222,RBN,6300,7900,Q,
20100223,RBN,13187,20359,Q,
20100224,RBN,4800,13707,Q,
20100225,RBN,5800,9222,Q,
20100226,RBN,300,1836,Q,
20100301,RBN,8317,23124,Q,
20100302,RBN,18200,27165,Q,
20100303,RBN,12394,33099,Q,
20100304,RBN,16382,28594,Q,
20100305,RBN,6700,17100,Q,
20100308,RBN,23218,31223,Q,
20100309,RBN,22950,41156,Q,
20100310,RBN,58780,136502,Q,
20100311,RBN,6551,18272,Q,
20100312,RBN,6453,22172,Q,
20100315,RBN,2252,28210,Q,
20100316,RBN,3438,24987,Q,
20100317,RBN,2200,19259,Q,
20100318,RBN,14967,23358,Q,
20100319,RBN,28291,52934,Q,
20100322,RBN,17303,32678,Q,
20100323,RBN,20036,49242,Q,
20100324,RBN,47249,404016,Q,
20100325,RBN,44996,120554,Q,
20100326,RBN,28010,164450,Q,
20100329,RBN,20873,95509,Q,
20100330,RBN,10340,36902,Q,
20100331,RBN,15565,85722,Q,
20100401,RBN,8030,127584,Q,
20100405,RBN,13034,39021,Q,
20100406,RBN,6876,27022,Q,
20100407,RBN,7369,35588,Q,
20100408,RBN,10100,80209,Q,
20100409,RBN,15031,109607,Q,
20100412,RBN,5263,92575,Q,
20100413,RBN,14000,110253,Q,
20100414,RBN,7150,203809,Q,
20100415,RBN,17325,62600,Q,
20100416,RBN,17611,33719,Q,
20100419,RBN,15961,37547,Q,
20100420,RBN,9526,17690,Q,
20100421,RBN,16398,71116,Q,
20100422,RBN,5700,18406,Q,
20100423,RBN,15100,90627,Q,
20100426,RBN,10731,39386,Q,
20100427,RBN,9178,27134,Q,
20100428,RBN,13806,36030,Q,
20100429,RBN,11538,31862,Q,
20100430,RBN,8305,24308,Q,
20100503,RBN,3800,12961,Q,
20100504,RBN,16070,60734,Q,
20100510,RBN,9567,51983,Q,
20100511,RBN,4000,10500,Q,
20100512,RBN,9000,34150,Q,
20100513,RBN,14072,36877,Q,
20100517,RBN,7900,16802,Q,
20100518,RBN,14654,42117,Q,
20100519,RBN,10094,35044,Q,
20100520,RBN,54073,124829,Q,
20100521,RBN,37715,103984,Q,
20100524,RBN,9659,47198,Q,
20100525,RBN,26129,125167,Q,
20100526,RBN,20522,62863,Q,
20100527,RBN,10519,43464,Q,
20100528,RBN,31280,66293,Q,
20100601,RBN,13540,34078,Q,
20100602,RBN,27373,74885,Q,
20100603,RBN,13591,52210,Q,
20100604,RBN,10710,23606,Q,
20100607,RBN,26300,60215,Q,
20100608,RBN,13270,64238,Q,
20100609,RBN,10145,23231,Q,
20100610,RBN,10959,19703,Q,
20100611,RBN,7300,12030,Q,
20100614,RBN,2900,9612,Q,
20100615,RBN,14297,25501,Q,
20100616,RBN,8798,18781,Q,
20100617,RBN,15300,24206,Q,
20100618,RBN,15919,45115,Q,
20100621,RBN,5506,112239,Q,
20100622,RBN,6015,15015,Q,
20100623,RBN,24902,47786,Q,
20100624,RBN,49864,155737,Q,
20100625,RBN,23374,66052,Q,
20100628,RBN,10970,41330,Q,
20100629,RBN,12318,41747,Q,
20100630,RBN,6838,23360,Q,
20100701,RBN,8741,65641,Q,
20100702,RBN,4100,14200,Q,
20100706,RBN,13296,48505,Q,
20100707,RBN,9182,46911,Q,
20100708,RBN,13863,27983,Q,
20100709,RBN,5472,19956,Q,
20110804,RBN,65231,118908,,500.0
