,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RBPAA,1000,3100,Q,
20100105,RBPAA,2800,10799,Q,
20100106,RBPAA,5700,7300,Q,
20100107,RBPAA,2608,4737,Q,
20100108,RBPAA,2708,3208,Q,
20100111,RBPAA,2500,4500,Q,
20100112,RBPAA,1000,2423,Q,
20100114,RBPAA,2100,6860,Q,
20100115,RBPAA,1800,3320,Q,
20100119,RBPAA,10749,27058,Q,
20100120,RBPAA,8810,17604,Q,
20100121,RBPAA,12568,33352,Q,
20100122,RBPAA,5737,8591,Q,
20100125,RBPAA,1870,2970,Q,
20100126,RBPAA,501,1701,Q,
20100127,RBPAA,100,3500,Q,
20100128,RBPAA,100,1000,Q,
20100129,RBPAA,550,2141,Q,
20100201,RBPAA,593,2021,Q,
20100202,RBPAA,200,400,Q,
20100203,RBPAA,500,800,Q,
20100204,RBPAA,2900,5400,Q,
20100205,RBPAA,200,1710,Q,
20100211,RBPAA,304,1142,Q,
20100212,RBPAA,2100,2400,Q,
20100216,RBPAA,1008,2408,Q,
20100217,RBPAA,300,1500,Q,
20100218,RBPAA,100,4552,Q,
20100223,RBPAA,1315,1612,Q,
20100303,RBPAA,1055,3454,Q,
20100310,RBPAA,600,1900,Q,
20100315,RBPAA,2050,3703,Q,
20100316,RBPAA,600,3000,Q,
20100317,RBPAA,1200,2900,Q,
20100318,RBPAA,4800,11900,Q,
20100319,RBPAA,2103,7835,Q,
20100322,RBPAA,3600,13610,Q,
20100323,RBPAA,1100,3158,Q,
20100324,RBPAA,1000,1475,Q,
20100325,RBPAA,1925,12822,Q,
20100330,RBPAA,200,3400,Q,
20100401,RBPAA,100,916,Q,
20100405,RBPAA,200,800,Q,
20100406,RBPAA,1700,2700,Q,
20100412,RBPAA,2519,4654,Q,
20100413,RBPAA,14000,17513,Q,
20100414,RBPAA,14745,19505,Q,
20100415,RBPAA,9300,20910,Q,
20100416,RBPAA,18703,28348,Q,
20100419,RBPAA,8363,17886,Q,
20100420,RBPAA,3949,31960,Q,
20100421,RBPAA,6275,14796,Q,
20100422,RBPAA,8274,23687,Q,
20100423,RBPAA,1500,5400,Q,
20100426,RBPAA,2390,7024,Q,
20100427,RBPAA,1933,3988,Q,
20100429,RBPAA,1246,3227,Q,
20100430,RBPAA,300,1050,Q,
20100503,RBPAA,300,1118,Q,
20100504,RBPAA,2891,3208,Q,
20100511,RBPAA,1800,4650,Q,
20100512,RBPAA,701,1201,Q,
20100513,RBPAA,1100,6295,Q,
20100517,RBPAA,1546,9083,Q,
20100518,RBPAA,700,4610,Q,
20100519,RBPAA,1700,1928,Q,
20100520,RBPAA,6200,14849,Q,
20100521,RBPAA,500,5778,Q,
20100525,RBPAA,1570,8870,Q,
20100526,RBPAA,4000,6533,Q,
20100528,RBPAA,1600,5800,Q,
20100601,RBPAA,600,600,Q,
20100603,RBPAA,200,1701,Q,
20100604,RBPAA,100,320,Q,
20100608,RBPAA,1700,3300,Q,
20100614,RBPAA,400,400,Q,
20100615,RBPAA,100,100,Q,
20100616,RBPAA,1400,1500,Q,
20100617,RBPAA,1862,1862,Q,
20100618,RBPAA,250,350,Q,
20100621,RBPAA,404,404,Q,
20100623,RBPAA,267,267,Q,
20100629,RBPAA,1000,2500,Q,
20100701,RBPAA,500,2600,Q,
20100706,RBPAA,1800,1985,Q,
20100707,RBPAA,900,1100,Q,
20100708,RBPAA,1000,1900,Q,
20100709,RBPAA,200,500,Q,
