,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RBV,3541,8412,Q,
20100105,RBV,5449,18236,Q,
20100106,RBV,2211,8800,Q,
20100107,RBV,3834,7765,Q,
20100108,RBV,5869,9988,Q,
20100111,RBV,2263,6774,Q,
20100112,RBV,5499,10451,Q,
20100113,RBV,5476,17393,Q,
20100114,RBV,1020,3633,Q,
20100115,RBV,3810,5044,Q,
20100119,RBV,4874,10269,Q,
20100120,RBV,5207,6852,Q,
20100121,RBV,2896,21344,Q,
20100122,RBV,5958,11334,Q,
20100125,RBV,3923,7782,Q,
20100126,RBV,3916,8268,Q,
20100127,RBV,5291,13739,Q,
20100128,RBV,4965,8789,Q,
20100129,RBV,1367,6062,Q,
20100201,RBV,4173,11557,Q,
20100202,RBV,4893,11382,Q,
20100203,RBV,8760,14716,Q,
20100204,RBV,3491,6848,Q,
20100205,RBV,6930,14989,Q,
20100208,RBV,5623,14279,Q,
20100209,RBV,8858,14489,Q,
20100210,RBV,5808,16537,Q,
20100211,RBV,6012,10438,Q,
20100212,RBV,2596,6265,Q,
20100216,RBV,12879,18557,Q,
20100217,RBV,13156,20483,Q,
20100218,RBV,7116,21031,Q,
20100219,RBV,6312,23644,Q,
20100222,RBV,5622,14809,Q,
20100223,RBV,842,7077,Q,
20100224,RBV,6904,18662,Q,
20100225,RBV,1185,6836,Q,
20100226,RBV,5550,11967,Q,
20100301,RBV,6322,16508,Q,
20100302,RBV,10944,19712,Q,
20100303,RBV,6413,13051,Q,
20100304,RBV,3515,7338,Q,
20100305,RBV,5075,12067,Q,
20100308,RBV,1450,8185,Q,
20100309,RBV,14372,30772,Q,
20100310,RBV,7877,24968,Q,
20100311,RBV,1425,11792,Q,
20100312,RBV,800,8875,Q,
20100315,RBV,2024,8417,Q,
20100316,RBV,10350,28474,Q,
20100317,RBV,5262,13350,Q,
20100318,RBV,4522,18341,Q,
20100319,RBV,23900,47484,Q,
20100322,RBV,5300,11609,Q,
20100323,RBV,3263,13922,Q,
20100324,RBV,6456,18537,Q,
20100325,RBV,2699,10651,Q,
20100326,RBV,1977,10675,Q,
20100329,RBV,3036,17486,Q,
20100330,RBV,257,4078,Q,
20100331,RBV,700,10662,Q,
20100401,RBV,1934,5259,Q,
20100405,RBV,814,8740,Q,
20100406,RBV,103,11693,Q,
20100407,RBV,1300,10628,Q,
20100409,RBV,4767,11563,Q,
20100412,RBV,2605,12876,Q,
20100413,RBV,1915,9288,Q,
20100414,RBV,3550,8616,Q,
20100415,RBV,2500,15300,Q,
20100416,RBV,7939,19750,Q,
20100419,RBV,4639,14906,Q,
20100420,RBV,860,7726,Q,
20100421,RBV,5535,11009,Q,
20100422,RBV,3983,14890,Q,
20100423,RBV,775,5284,Q,
20100426,RBV,1550,7215,Q,
20100427,RBV,3597,10257,Q,
20100428,RBV,6200,10085,Q,
20100429,RBV,1800,4691,Q,
20100430,RBV,2184,4359,Q,
20100503,RBV,2869,10123,Q,
20100504,RBV,2095,8849,Q,
20100510,RBV,3303,8537,Q,
20100511,RBV,5657,18273,Q,
20100512,RBV,7272,10123,Q,
20100513,RBV,8079,12384,Q,
20100517,RBV,4885,12000,Q,
20100518,RBV,5861,9524,Q,
20100519,RBV,6636,9122,Q,
20100520,RBV,4396,12430,Q,
20100521,RBV,300,6369,Q,
20100524,RBV,7899,13798,Q,
20100525,RBV,3207,12903,Q,
20100526,RBV,5213,10925,Q,
20100527,RBV,2093,6593,Q,
20100528,RBV,17723,24466,Q,
20100601,RBV,9281,11841,Q,
20100602,RBV,5556,10579,Q,
20100603,RBV,20967,25328,Q,
20100604,RBV,14585,20744,Q,
20100607,RBV,5025,8311,Q,
20100608,RBV,5244,10598,Q,
20100609,RBV,32760,41960,Q,
20100610,RBV,8365,13285,Q,
20100611,RBV,4256,9893,Q,
20100614,RBV,16905,21808,Q,
20100615,RBV,4512,8525,Q,
20100616,RBV,3887,8647,Q,
20100617,RBV,1064,3501,Q,
20100618,RBV,41836,48161,Q,
20100621,RBV,2780,6242,Q,
20100622,RBV,6408,10414,Q,
20100623,RBV,3765,7120,Q,
20100624,RBV,5065,13948,Q,
20100625,RBV,1643,5675,Q,
20100628,RBV,11258,13848,Q,
20100629,RBV,4785,7127,Q,
20100630,RBV,9855,16876,Q,
20100701,RBV,5643,13048,Q,
20100702,RBV,600,3355,Q,
20100706,RBV,500,1950,Q,
20100707,RBV,1309,5290,Q,
20100708,RBV,3382,6423,Q,
20100709,RBV,2917,9034,Q,
