,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RDEA,22171,25671,Q,
20100105,RDEA,3700,19755,Q,
20100106,RDEA,2732,8382,Q,
20100107,RDEA,56486,89647,Q,
20100108,RDEA,11170,25045,Q,
20100111,RDEA,16713,25313,Q,
20100112,RDEA,10107,13226,Q,
20100113,RDEA,7605,9580,Q,
20100114,RDEA,100,1600,Q,
20100115,RDEA,2200,5600,Q,
20100119,RDEA,3411,4058,Q,
20100120,RDEA,4100,5500,Q,
20100121,RDEA,2400,7764,Q,
20100122,RDEA,10799,17887,Q,
20100125,RDEA,5300,10051,Q,
20100126,RDEA,1000,6700,Q,
20100127,RDEA,2100,7262,Q,
20100128,RDEA,6573,16873,Q,
20100129,RDEA,4459,6579,Q,
20100201,RDEA,2300,6600,Q,
20100202,RDEA,4120,7280,Q,
20100203,RDEA,2984,3770,Q,
20100204,RDEA,17200,19500,Q,
20100205,RDEA,7348,14508,Q,
20100208,RDEA,15000,29300,Q,
20100209,RDEA,16500,30121,Q,
20100210,RDEA,39287,58556,Q,
20100211,RDEA,41251,74365,Q,
20100212,RDEA,22371,25121,Q,
20100216,RDEA,5821,7421,Q,
20100217,RDEA,7320,10220,Q,
20100218,RDEA,17695,143960,Q,
20100219,RDEA,78108,84808,Q,
20100222,RDEA,10271,13842,Q,
20100223,RDEA,12692,20192,Q,
20100224,RDEA,11480,14260,Q,
20100225,RDEA,6715,8520,Q,
20100226,RDEA,18309,25534,Q,
20100301,RDEA,5800,7754,Q,
20100302,RDEA,6505,8205,Q,
20100303,RDEA,6552,10555,Q,
20100304,RDEA,6760,13028,Q,
20100305,RDEA,5969,10085,Q,
20100308,RDEA,5100,7450,Q,
20100309,RDEA,11085,20397,Q,
20100310,RDEA,8800,13020,Q,
20100311,RDEA,9405,225693,Q,
20100312,RDEA,12016,16882,Q,
20100315,RDEA,40120,99420,Q,
20100316,RDEA,6500,7700,Q,
20100317,RDEA,13091,20024,Q,
20100318,RDEA,26990,45515,Q,
20100319,RDEA,11739,53222,Q,
20100322,RDEA,4200,42634,Q,
20100323,RDEA,12868,20363,Q,
20100324,RDEA,4900,9509,Q,
20100325,RDEA,51270,77212,Q,
20100326,RDEA,53881,62438,Q,
20100329,RDEA,13242,19365,Q,
20100330,RDEA,8398,11698,Q,
20100331,RDEA,33763,49045,Q,
20100401,RDEA,323152,513364,Q,
20100405,RDEA,60175,91552,Q,
20100406,RDEA,132158,279775,Q,
20100407,RDEA,19896,49133,Q,
20100408,RDEA,11300,22200,Q,
20100409,RDEA,23003,36227,Q,
20100412,RDEA,163823,224391,Q,
20100413,RDEA,36942,73878,Q,
20100414,RDEA,24551,54411,Q,
20100415,RDEA,7484,20243,Q,
20100416,RDEA,17482,34265,Q,
20100419,RDEA,61206,82776,Q,
20100420,RDEA,22488,36855,Q,
20100421,RDEA,93982,331441,Q,
20100422,RDEA,16745,62612,Q,
20100423,RDEA,40555,67509,Q,
20100426,RDEA,23543,70681,Q,
20100427,RDEA,9000,48655,Q,
20100428,RDEA,4750,30195,Q,
20100429,RDEA,26731,125897,Q,
20100430,RDEA,27967,60761,Q,
20100503,RDEA,35303,89171,Q,
20100504,RDEA,22730,74903,Q,
20100510,RDEA,25421,56110,Q,
20100511,RDEA,22618,45219,Q,
20100512,RDEA,22801,38003,Q,
20100513,RDEA,18269,43090,Q,
20100517,RDEA,19842,38858,Q,
20100518,RDEA,39304,69217,Q,
20100519,RDEA,57522,105345,Q,
20100520,RDEA,23775,104452,Q,
20100521,RDEA,15608,46043,Q,
20100524,RDEA,10805,28245,Q,
20100525,RDEA,61413,81050,Q,
20100526,RDEA,47676,84091,Q,
20100527,RDEA,33793,54530,Q,
20100528,RDEA,34501,54631,Q,
20100601,RDEA,8366,17773,Q,
20100602,RDEA,8900,21000,Q,
20100603,RDEA,18656,27656,Q,
20100604,RDEA,21199,65801,Q,
20100607,RDEA,10495,38768,Q,
20100608,RDEA,15661,32867,Q,
20100609,RDEA,12800,29200,Q,
20100610,RDEA,16204,47805,Q,
20100611,RDEA,43790,195887,Q,
20100614,RDEA,15778,27177,Q,
20100615,RDEA,44253,51624,Q,
20100616,RDEA,21844,30543,Q,
20100617,RDEA,22850,47182,Q,
20100618,RDEA,24799,42569,Q,
20100621,RDEA,14919,40619,Q,
20100622,RDEA,23072,49262,Q,
20100623,RDEA,16414,25449,Q,
20100624,RDEA,6900,36890,Q,
20100625,RDEA,11703,44222,Q,
20100628,RDEA,7917,64249,Q,
20100629,RDEA,12804,29125,Q,
20100630,RDEA,15112,29576,Q,
20100701,RDEA,63364,79027,Q,
20100702,RDEA,10170,23778,Q,
20100706,RDEA,77033,237821,Q,
20100707,RDEA,35281,51984,Q,
20100708,RDEA,11990,28445,Q,
20100709,RDEA,20346,41989,Q,
20110804,RDEA,9620,13366,,0.0
