,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,REZ,1954,5843,Q,
20100105,REZ,587,887,Q,
20100106,REZ,1160,2090,Q,
20100107,REZ,376,5376,Q,
20100108,REZ,738,2051,Q,
20100111,REZ,1227,4941,Q,
20100112,REZ,2240,3101,Q,
20100113,REZ,947,3222,Q,
20100114,REZ,413,1714,Q,
20100119,REZ,590,7078,Q,
20100120,REZ,429,3486,Q,
20100121,REZ,422,4690,Q,
20100122,REZ,4145,11908,Q,
20100125,REZ,4179,9229,Q,
20100126,REZ,152,3489,Q,
20100127,REZ,1712,4177,Q,
20100128,REZ,3139,7104,Q,
20100129,REZ,1569,4139,Q,
20100201,REZ,649,5768,Q,
20100202,REZ,2515,3799,Q,
20100203,REZ,435,1957,Q,
20100204,REZ,300,3217,Q,
20100205,REZ,100,1705,Q,
20100208,REZ,700,4659,Q,
20100209,REZ,3175,15089,Q,
20100210,REZ,330,4229,Q,
20100211,REZ,2177,4908,Q,
20100217,REZ,3481,5635,Q,
20100219,REZ,211,1994,Q,
20100222,REZ,2303,4020,Q,
20100224,REZ,782,1102,Q,
20100225,REZ,500,2468,Q,
20100226,REZ,1186,6188,Q,
20100301,REZ,100,1513,Q,
20100305,REZ,1824,1824,Q,
20100308,REZ,801,3830,Q,
20100309,REZ,2125,2125,Q,
20100310,REZ,594,1238,Q,
20100311,REZ,445,1045,Q,
20100312,REZ,300,1250,Q,
20100315,REZ,1762,2050,Q,
20100316,REZ,4083,8358,Q,
20100317,REZ,2835,3285,Q,
20100319,REZ,1452,3079,Q,
20100322,REZ,1200,1690,Q,
20100323,REZ,42636,43192,Q,
20100324,REZ,1229,5419,Q,
20100325,REZ,1224,1674,Q,
20100326,REZ,250,1369,Q,
20100329,REZ,300,1899,Q,
20100330,REZ,903,1166,Q,
20100331,REZ,560,1960,Q,
20100401,REZ,8902,10062,Q,
20100405,REZ,1222,1896,Q,
20100406,REZ,650,2729,Q,
20100407,REZ,800,1200,Q,
20100409,REZ,1298,1878,Q,
20100412,REZ,595,1466,Q,
20100413,REZ,2458,3308,Q,
20100414,REZ,2850,4058,Q,
20100415,REZ,300,300,Q,
20100416,REZ,3326,6349,Q,
20100419,REZ,2357,5070,Q,
20100420,REZ,2682,3470,Q,
20100421,REZ,4526,4896,Q,
20100422,REZ,614,2175,Q,
20100423,REZ,300,1210,Q,
20100426,REZ,1709,3859,Q,
20100427,REZ,750,3440,Q,
20100428,REZ,3500,4273,Q,
20100429,REZ,1744,5270,Q,
20100430,REZ,924,2383,Q,
20100503,REZ,49989,51620,Q,
20100504,REZ,1365,7072,Q,
20100510,REZ,200,50615,Q,
20100512,REZ,1498,7260,Q,
20100513,REZ,1339,1839,Q,
20100517,REZ,9208,12711,Q,
20100518,REZ,376,1069,Q,
20100519,REZ,1100,6356,Q,
20100520,REZ,400,9579,Q,
20100521,REZ,466,8734,Q,
20100525,REZ,3000,5575,Q,
20100527,REZ,1770,2470,Q,
20100528,REZ,459,3633,Q,
20100601,REZ,2737,14166,Q,
20100603,REZ,1266,4988,Q,
20100604,REZ,1604,2358,Q,
20100607,REZ,14325,17383,Q,
20100608,REZ,188,3966,Q,
20100610,REZ,2006,3206,Q,
20100614,REZ,2475,5365,Q,
20100615,REZ,5553,8455,Q,
20100616,REZ,5422,6312,Q,
20100617,REZ,4819,5953,Q,
20100618,REZ,1478,2176,Q,
20100621,REZ,3719,6557,Q,
20100622,REZ,1606,2572,Q,
20100623,REZ,2836,4136,Q,
20100624,REZ,424,60065,Q,
20100625,REZ,100,58870,Q,
20100628,REZ,4718,8722,Q,
20100629,REZ,2000,20422,Q,
20100701,REZ,11751,22466,Q,
20100702,REZ,161,2786,Q,
20100706,REZ,4867,10015,Q,
20100707,REZ,1800,3537,Q,
20100708,REZ,5161,5561,Q,
20100709,REZ,6596,8885,Q,
20110804,REZ,17148,49125,,0.0
