,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RGEN,177417,327210,Q,
20100105,RGEN,16144,43838,Q,
20100106,RGEN,17365,33090,Q,
20100107,RGEN,7521,22995,Q,
20100108,RGEN,6930,15102,Q,
20100111,RGEN,9280,36884,Q,
20100112,RGEN,6079,24328,Q,
20100113,RGEN,8700,48804,Q,
20100114,RGEN,12100,19685,Q,
20100115,RGEN,12325,52461,Q,
20100119,RGEN,10751,45001,Q,
20100120,RGEN,8085,54645,Q,
20100121,RGEN,17513,60127,Q,
20100122,RGEN,13340,124040,Q,
20100125,RGEN,14629,345313,Q,
20100126,RGEN,12573,35814,Q,
20100127,RGEN,18294,28565,Q,
20100128,RGEN,20583,35903,Q,
20100129,RGEN,27408,51533,Q,
20100201,RGEN,16769,74579,Q,
20100202,RGEN,21950,55839,Q,
20100203,RGEN,7919,50101,Q,
20100204,RGEN,46818,102624,Q,
20100205,RGEN,14863,36481,Q,
20100208,RGEN,12613,40017,Q,
20100209,RGEN,9936,20524,Q,
20100210,RGEN,11756,23627,Q,
20100211,RGEN,10022,35499,Q,
20100212,RGEN,8161,29544,Q,
20100216,RGEN,7280,11570,Q,
20100217,RGEN,1500,11684,Q,
20100218,RGEN,15945,42304,Q,
20100219,RGEN,10477,25711,Q,
20100222,RGEN,8267,18907,Q,
20100223,RGEN,7700,21239,Q,
20100224,RGEN,3809,11634,Q,
20100225,RGEN,13800,19346,Q,
20100226,RGEN,8331,16534,Q,
20100301,RGEN,13121,31956,Q,
20100302,RGEN,7033,33263,Q,
20100303,RGEN,12832,17843,Q,
20100304,RGEN,9943,14869,Q,
20100305,RGEN,950,2563,Q,
20100308,RGEN,13510,24563,Q,
20100309,RGEN,9936,16636,Q,
20100310,RGEN,12126,22092,Q,
20100311,RGEN,9633,18061,Q,
20100312,RGEN,8406,27800,Q,
20100315,RGEN,15756,28214,Q,
20100316,RGEN,4790,16090,Q,
20100317,RGEN,3854,23776,Q,
20100318,RGEN,1181,7622,Q,
20100319,RGEN,5600,14122,Q,
20100322,RGEN,968,12217,Q,
20100323,RGEN,1340,12987,Q,
20100324,RGEN,4070,22174,Q,
20100325,RGEN,6005,19249,Q,
20100326,RGEN,7587,19104,Q,
20100329,RGEN,8700,29989,Q,
20100330,RGEN,8152,21452,Q,
20100331,RGEN,15899,36339,Q,
20100401,RGEN,28649,70261,Q,
20100405,RGEN,10300,28154,Q,
20100406,RGEN,3310,11403,Q,
20100407,RGEN,10270,24475,Q,
20100408,RGEN,11904,23197,Q,
20100409,RGEN,5950,14617,Q,
20100412,RGEN,11448,20574,Q,
20100413,RGEN,12767,27763,Q,
20100414,RGEN,12455,30906,Q,
20100415,RGEN,26898,57443,Q,
20100416,RGEN,23125,71853,Q,
20100419,RGEN,2879,16579,Q,
20100420,RGEN,8543,37688,Q,
20100421,RGEN,8055,24231,Q,
20100422,RGEN,8420,20637,Q,
20100423,RGEN,17334,25813,Q,
20100426,RGEN,4800,7600,Q,
20100427,RGEN,4872,10402,Q,
20100428,RGEN,6000,16500,Q,
20100429,RGEN,3662,8066,Q,
20100430,RGEN,12424,40013,Q,
20100503,RGEN,24176,29961,Q,
20100504,RGEN,14404,19031,Q,
20100510,RGEN,7849,15869,Q,
20100511,RGEN,22359,26609,Q,
20100512,RGEN,21200,34987,Q,
20100513,RGEN,18324,30375,Q,
20100517,RGEN,31046,69529,Q,
20100518,RGEN,41166,68167,Q,
20100519,RGEN,9816,35316,Q,
20100520,RGEN,31866,56230,Q,
20100521,RGEN,18768,39316,Q,
20100524,RGEN,83438,151235,Q,
20100525,RGEN,21470,40128,Q,
20100526,RGEN,4009,15844,Q,
20100527,RGEN,15815,28860,Q,
20100528,RGEN,15028,35878,Q,
20100601,RGEN,4673,8618,Q,
20100602,RGEN,4800,7950,Q,
20100603,RGEN,5412,8363,Q,
20100604,RGEN,3914,11034,Q,
20100607,RGEN,6500,14834,Q,
20100608,RGEN,9281,34777,Q,
20100609,RGEN,3437,7437,Q,
20100610,RGEN,32600,44450,Q,
20100611,RGEN,3302,6612,Q,
20100614,RGEN,1800,2750,Q,
20100615,RGEN,5087,7792,Q,
20100616,RGEN,3082,18100,Q,
20100617,RGEN,3200,7556,Q,
20100618,RGEN,10609,15659,Q,
20100621,RGEN,15074,22584,Q,
20100622,RGEN,2847,5247,Q,
20100623,RGEN,6643,8355,Q,
20100624,RGEN,16968,23968,Q,
20100625,RGEN,22689,133210,Q,
20100628,RGEN,7159,29294,Q,
20100629,RGEN,4200,36090,Q,
20100630,RGEN,1200,6246,Q,
20100701,RGEN,6900,13446,Q,
20100702,RGEN,900,5650,Q,
20100706,RGEN,11475,22875,Q,
20100707,RGEN,12150,29385,Q,
20100708,RGEN,1504,8600,Q,
20100709,RGEN,6871,10830,Q,
20110804,RGEN,6200,26143,,0.0
