,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ROG,9722,16302,Q,
20100105,ROG,2400,6633,Q,
20100106,ROG,7321,89826,Q,
20100107,ROG,10459,14778,Q,
20100108,ROG,65683,177160,Q,
20100111,ROG,22563,52640,Q,
20100112,ROG,15286,38074,Q,
20100113,ROG,1703,9895,Q,
20100114,ROG,7400,12957,Q,
20100115,ROG,7309,13271,Q,
20100119,ROG,7049,33302,Q,
20100120,ROG,40685,81738,Q,
20100121,ROG,33731,56663,Q,
20100122,ROG,13475,25438,Q,
20100125,ROG,2800,7173,Q,
20100126,ROG,3251,7033,Q,
20100127,ROG,17098,21948,Q,
20100128,ROG,34460,143389,Q,
20100129,ROG,12173,82265,Q,
20100201,ROG,6200,48119,Q,
20100202,ROG,1900,7838,Q,
20100203,ROG,4064,10317,Q,
20100204,ROG,7126,14051,Q,
20100205,ROG,5093,8398,Q,
20100208,ROG,1300,4020,Q,
20100209,ROG,2812,18154,Q,
20100210,ROG,400,1048,Q,
20100211,ROG,700,1227,Q,
20100212,ROG,5430,7791,Q,
20100216,ROG,15400,81394,Q,
20100217,ROG,2810,6610,Q,
20100218,ROG,17409,34041,Q,
20100219,ROG,12144,36089,Q,
20100222,ROG,6850,61205,Q,
20100223,ROG,8800,40550,Q,
20100224,ROG,3925,20161,Q,
20100225,ROG,8300,23950,Q,
20100226,ROG,4969,8838,Q,
20100301,ROG,5345,12760,Q,
20100302,ROG,6700,18400,Q,
20100303,ROG,5928,15004,Q,
20100304,ROG,1600,2405,Q,
20100305,ROG,5300,14659,Q,
20100308,ROG,5487,12587,Q,
20100309,ROG,4100,19486,Q,
20100310,ROG,7130,30148,Q,
20100311,ROG,5900,15921,Q,
20100312,ROG,3848,11199,Q,
20100315,ROG,9890,33282,Q,
20100316,ROG,4745,14270,Q,
20100317,ROG,3200,9535,Q,
20100318,ROG,4536,22678,Q,
20100319,ROG,4067,11742,Q,
20100322,ROG,3600,10945,Q,
20100323,ROG,2100,6594,Q,
20100324,ROG,3800,10036,Q,
20100325,ROG,4405,5405,Q,
20100326,ROG,7095,11245,Q,
20100329,ROG,4200,5574,Q,
20100330,ROG,2722,7775,Q,
20100331,ROG,14027,34770,Q,
20100401,ROG,3883,8437,Q,
20100405,ROG,5000,11945,Q,
20100406,ROG,42326,102360,Q,
20100407,ROG,14167,33729,Q,
20100408,ROG,8107,13842,Q,
20100409,ROG,6935,16718,Q,
20100412,ROG,6102,11023,Q,
20100413,ROG,6198,8751,Q,
20100414,ROG,5400,15176,Q,
20100415,ROG,5840,68349,Q,
20100416,ROG,5334,13881,Q,
20100419,ROG,3955,9852,Q,
20100420,ROG,5776,38779,Q,
20100421,ROG,3094,6564,Q,
20100422,ROG,4738,11038,Q,
20100423,ROG,4710,10311,Q,
20100426,ROG,10318,46736,Q,
20100427,ROG,2828,5959,Q,
20100428,ROG,5040,8872,Q,
20100429,ROG,4874,13956,Q,
20100430,ROG,4752,11335,Q,
20100503,ROG,13600,20257,Q,
20100504,ROG,12770,52527,Q,
20100510,ROG,7125,25034,Q,
20100511,ROG,6400,17666,Q,
20100512,ROG,3050,15819,Q,
20100513,ROG,5104,8420,Q,
20100517,ROG,5208,12776,Q,
20100518,ROG,3800,9000,Q,
20100519,ROG,2210,9865,Q,
20100520,ROG,12548,26095,Q,
20100521,ROG,4568,11686,Q,
20100524,ROG,2650,7630,Q,
20100525,ROG,5594,13690,Q,
20100526,ROG,9095,36740,Q,
20100527,ROG,7100,10870,Q,
20100528,ROG,4951,9451,Q,
20100601,ROG,19774,61789,Q,
20100602,ROG,13949,49772,Q,
20100603,ROG,9141,20467,Q,
20100604,ROG,9434,18766,Q,
20100607,ROG,7508,18416,Q,
20100608,ROG,2843,10345,Q,
20100609,ROG,6381,13752,Q,
20100610,ROG,10200,24990,Q,
20100611,ROG,8700,17922,Q,
20100614,ROG,4812,13786,Q,
20100615,ROG,12582,26236,Q,
20100616,ROG,5250,15148,Q,
20100617,ROG,3500,7281,Q,
20100618,ROG,3113,10231,Q,
20100621,ROG,1300,5222,Q,
20100622,ROG,5600,12046,Q,
20100623,ROG,2000,5234,Q,
20100624,ROG,2635,4135,Q,
20100625,ROG,6760,11053,Q,
20100628,ROG,5813,11587,Q,
20100629,ROG,8175,13009,Q,
20100630,ROG,5300,10800,Q,
20100701,ROG,8872,20304,Q,
20100702,ROG,3464,7059,Q,
20100706,ROG,5650,25331,Q,
20100707,ROG,2600,9785,Q,
20100708,ROG,5700,9837,Q,
20100709,ROG,4000,16720,Q,
20110804,ROG,6268,22381,,0.0
