,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,RPFG,11300,41371,Q,
20100106,RPFG,39918,86155,Q,
20100107,RPFG,26460,36473,Q,
20100108,RPFG,4450,25077,Q,
20100111,RPFG,11900,19581,Q,
20100112,RPFG,2400,48828,Q,
20100113,RPFG,13700,46170,Q,
20100114,RPFG,50963,113908,Q,
20100115,RPFG,14820,60151,Q,
20100119,RPFG,303352,862678,Q,
20100120,RPFG,425992,954499,Q,
20100121,RPFG,176947,395793,Q,
20100122,RPFG,125501,206132,Q,
20100125,RPFG,35105,77060,Q,
20100126,RPFG,183174,420787,Q,
20100127,RPFG,67964,94698,Q,
20100128,RPFG,23826,41552,Q,
20100129,RPFG,41934,67334,Q,
20100201,RPFG,146221,290188,Q,
20100202,RPFG,129307,327925,Q,
20100203,RPFG,22500,79603,Q,
20100204,RPFG,10985,54798,Q,
20100205,RPFG,24647,37240,Q,
20100209,RPFG,2746,28550,Q,
20100210,RPFG,50754,100127,Q,
20100211,RPFG,1900,22432,Q,
20100212,RPFG,5394,17242,Q,
20100216,RPFG,22900,51447,Q,
20100217,RPFG,19609,91869,Q,
20100218,RPFG,40136,142658,Q,
20100219,RPFG,6322,40650,Q,
20100222,RPFG,600,22860,Q,
20100223,RPFG,4600,41258,Q,
20100224,RPFG,159920,317014,Q,
20100225,RPFG,12150,59286,Q,
20100226,RPFG,2150,18647,Q,
20100301,RPFG,106569,233449,Q,
