,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RVR,531,1611,Q,
20100107,RVR,400,1216,Q,
20100108,RVR,284,1384,Q,
20100112,RVR,400,400,Q,
20100113,RVR,1340,3700,Q,
20100115,RVR,400,6160,Q,
20100119,RVR,3028,3686,Q,
20100121,RVR,1100,1100,Q,
20100122,RVR,100,200,Q,
20100128,RVR,514,614,Q,
20100129,RVR,100,100,Q,
20100208,RVR,1000,1100,Q,
20100209,RVR,400,400,Q,
20100210,RVR,850,1850,Q,
20100216,RVR,300,500,Q,
20100222,RVR,100,400,Q,
20100224,RVR,650,2350,Q,
20100301,RVR,100,600,Q,
20100304,RVR,200,700,Q,
20100309,RVR,300,1000,Q,
20100310,RVR,1190,1790,Q,
20100315,RVR,510,1000,Q,
20100317,RVR,200,52500,Q,
20100318,RVR,1000,1000,Q,
20100319,RVR,400,400,Q,
20100324,RVR,366,75200,Q,
20100329,RVR,1000,1000,Q,
20100331,RVR,1516,1716,Q,
20100401,RVR,1100,1300,Q,
20100405,RVR,100,100,Q,
20100407,RVR,3200,5460,Q,
20100408,RVR,200,400,Q,
20100409,RVR,100,100,Q,
20100412,RVR,500,700,Q,
20100413,RVR,1900,3102,Q,
20100414,RVR,100,200,Q,
20100415,RVR,1239,1439,Q,
20100419,RVR,132,132,Q,
20100420,RVR,600,600,Q,
20100421,RVR,472,1772,Q,
20100423,RVR,5000,5000,Q,
20100426,RVR,200,400,Q,
20100427,RVR,200,900,Q,
20100428,RVR,400,500,Q,
20100429,RVR,400,400,Q,
20100511,RVR,200,300,Q,
20100512,RVR,1050,1450,Q,
20100517,RVR,700,900,Q,
20100525,RVR,848,99948,Q,
20100526,RVR,100,400,Q,
20100616,RVR,300,1310,Q,
20100706,RVR,215,415,Q,
20110804,RVR,800,800,,0.0
