,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RWF,58990,98773,Q,
20100105,RWF,38291,113233,Q,
20100106,RWF,29070,66903,Q,
20100107,RWF,34773,95728,Q,
20100108,RWF,24440,64887,Q,
20100111,RWF,17724,73588,Q,
20100112,RWF,12592,70001,Q,
20100113,RWF,5208,64418,Q,
20100114,RWF,4300,55579,Q,
20100115,RWF,2900,38436,Q,
20100119,RWF,8786,53789,Q,
20100120,RWF,3710,36270,Q,
20100121,RWF,12964,55846,Q,
20100122,RWF,4522,39211,Q,
20100125,RWF,11130,67168,Q,
20100126,RWF,3978,66545,Q,
20100127,RWF,2600,37095,Q,
20100128,RWF,4810,39702,Q,
20100129,RWF,8100,34822,Q,
20100201,RWF,5326,22486,Q,
20100202,RWF,6750,33941,Q,
20100203,RWF,16139,36441,Q,
20100204,RWF,5027,22047,Q,
20100205,RWF,23303,50852,Q,
20100208,RWF,4569,20819,Q,
20100209,RWF,15020,40038,Q,
20100210,RWF,5317,25919,Q,
20100211,RWF,100,12012,Q,
20100212,RWF,5689,24371,Q,
20100216,RWF,14101,58384,Q,
20100217,RWF,12350,24048,Q,
20100218,RWF,10403,24527,Q,
20100219,RWF,4724,21200,Q,
20100222,RWF,1466,17409,Q,
20100223,RWF,7752,34142,Q,
20100224,RWF,1116,21699,Q,
20100225,RWF,700,19729,Q,
20100226,RWF,45464,112011,Q,
20100301,RWF,21922,59479,Q,
20100302,RWF,27541,42342,Q,
20100303,RWF,15757,36451,Q,
20100304,RWF,17933,53827,Q,
20100305,RWF,2444,26694,Q,
20100308,RWF,7106,38423,Q,
20100309,RWF,5216,38256,Q,
20100310,RWF,18022,50793,Q,
20100311,RWF,21711,62300,Q,
20100312,RWF,20885,41227,Q,
