,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RWM,4846,82657,Q,
20100105,RWM,9100,66275,Q,
20100106,RWM,32698,65472,Q,
20100107,RWM,14005,61023,Q,
20100108,RWM,11745,76858,Q,
20100111,RWM,22500,146734,Q,
20100112,RWM,27995,65203,Q,
20100113,RWM,20514,61174,Q,
20100114,RWM,37118,67011,Q,
20100115,RWM,44681,94670,Q,
20100119,RWM,110649,193692,Q,
20100120,RWM,121600,195306,Q,
20100121,RWM,99164,158349,Q,
20100122,RWM,80271,134191,Q,
20100125,RWM,54472,124320,Q,
20100126,RWM,61157,121656,Q,
20100127,RWM,110421,154363,Q,
20100128,RWM,56019,134554,Q,
20100129,RWM,101975,193566,Q,
20100201,RWM,46555,99411,Q,
20100202,RWM,77669,146172,Q,
20100203,RWM,50073,76107,Q,
20100204,RWM,164438,233700,Q,
20100205,RWM,370004,516908,Q,
20100208,RWM,68087,120940,Q,
20100209,RWM,70574,188440,Q,
20100210,RWM,91297,149555,Q,
20100211,RWM,59719,145117,Q,
20100212,RWM,39350,250839,Q,
20100216,RWM,41699,180140,Q,
20100217,RWM,84727,209553,Q,
20100218,RWM,31911,117013,Q,
20100219,RWM,2000,108327,Q,
20100222,RWM,8482,86284,Q,
20100223,RWM,59401,118471,Q,
20100224,RWM,16892,61383,Q,
20100225,RWM,55543,136221,Q,
20100226,RWM,29934,72984,Q,
20100301,RWM,49632,193249,Q,
20100302,RWM,105461,359953,Q,
20100303,RWM,43541,114819,Q,
20100304,RWM,17621,63048,Q,
20100305,RWM,17540,159324,Q,
20100308,RWM,25500,92030,Q,
20100309,RWM,45283,95775,Q,
20100310,RWM,18067,93396,Q,
20100311,RWM,29414,64359,Q,
20100312,RWM,32081,191046,Q,
20100315,RWM,34008,88491,Q,
20100316,RWM,87239,152932,Q,
20100317,RWM,49464,211546,Q,
20100318,RWM,49475,110261,Q,
20100319,RWM,83822,134600,Q,
20100322,RWM,53409,116019,Q,
20100323,RWM,33332,132067,Q,
20100324,RWM,28044,95249,Q,
20100325,RWM,61075,267459,Q,
20100326,RWM,71257,132990,Q,
20100329,RWM,28655,66015,Q,
20100330,RWM,55350,116893,Q,
20100331,RWM,79900,140749,Q,
20100401,RWM,22023,75534,Q,
20100405,RWM,30876,106247,Q,
20100406,RWM,26448,148688,Q,
20100407,RWM,41230,102006,Q,
20100408,RWM,53377,130383,Q,
20100409,RWM,14720,63612,Q,
20100412,RWM,43227,70576,Q,
20100413,RWM,22584,70779,Q,
20100414,RWM,54258,172950,Q,
20100415,RWM,45239,161264,Q,
20100416,RWM,150884,241145,Q,
20100419,RWM,113942,236712,Q,
20100420,RWM,50664,107282,Q,
20100421,RWM,56091,118027,Q,
20100422,RWM,47699,118838,Q,
20100423,RWM,42255,154461,Q,
20100426,RWM,15966,151822,Q,
20100427,RWM,134423,253091,Q,
20100428,RWM,90533,317153,Q,
20100429,RWM,24040,221378,Q,
20100430,RWM,54387,114901,Q,
20100503,RWM,549272,580493,Q,
20100504,RWM,135544,260258,Q,
20100510,RWM,145390,465397,Q,
20100511,RWM,90912,342543,Q,
20100512,RWM,61039,282926,Q,
20100513,RWM,92073,258507,Q,
20100517,RWM,149682,330453,Q,
20100518,RWM,145804,359860,Q,
20100519,RWM,241322,436206,Q,
20100520,RWM,258222,588282,Q,
20100521,RWM,253420,564613,Q,
20100524,RWM,86663,213569,Q,
20100525,RWM,125990,463246,Q,
20100526,RWM,99460,326922,Q,
20100527,RWM,22027,241316,Q,
20100528,RWM,81443,225110,Q,
20100601,RWM,72860,195072,Q,
20100602,RWM,108740,183988,Q,
20100603,RWM,54547,177660,Q,
20100604,RWM,147923,308163,Q,
20100607,RWM,206897,333488,Q,
20100608,RWM,216280,538027,Q,
20100609,RWM,141280,367382,Q,
20100610,RWM,104561,309287,Q,
20100611,RWM,63101,223209,Q,
20100614,RWM,74064,354837,Q,
20100615,RWM,72864,185279,Q,
20100616,RWM,57515,222716,Q,
20100617,RWM,46569,162530,Q,
20100618,RWM,23730,95022,Q,
20100621,RWM,109443,222384,Q,
20100622,RWM,108323,189446,Q,
20100623,RWM,118332,463547,Q,
20100624,RWM,81552,178416,Q,
20100625,RWM,85319,210093,Q,
20100628,RWM,50945,140163,Q,
20100629,RWM,143979,303719,Q,
20100630,RWM,116727,225761,Q,
20100701,RWM,249637,648420,Q,
20100702,RWM,123840,257908,Q,
20100706,RWM,202772,423481,Q,
20100707,RWM,108805,332026,Q,
20100708,RWM,52948,215755,Q,
20100709,RWM,31146,147292,Q,
20110804,RWM,700449,1281041,,0.0
