,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,RWW,100,100,Q,
20100105,RWW,389,389,Q,
20100106,RWW,2182,2890,Q,
20100107,RWW,865,2739,Q,
20100111,RWW,1006,1106,Q,
20100112,RWW,200,818,Q,
20100113,RWW,388,388,Q,
20100114,RWW,100,100,Q,
20100115,RWW,100,420,Q,
20100119,RWW,445,445,Q,
20100120,RWW,900,1375,Q,
20100121,RWW,6026,8628,Q,
20100122,RWW,678,1224,Q,
20100128,RWW,383,3104,Q,
20100129,RWW,325,5669,Q,
20100202,RWW,263,363,Q,
20100204,RWW,100,1267,Q,
20100205,RWW,128,428,Q,
20100208,RWW,23318,23947,Q,
20100216,RWW,260,360,Q,
20100219,RWW,885,1239,Q,
20100222,RWW,707,1063,Q,
20100223,RWW,302,402,Q,
20100224,RWW,130,130,Q,
20100225,RWW,100,315,Q,
20100302,RWW,690,690,Q,
20100304,RWW,308,308,Q,
20100305,RWW,350,475,Q,
20100308,RWW,450,750,Q,
20100309,RWW,771,1115,Q,
20100310,RWW,380,1865,Q,
20100311,RWW,1987,2462,Q,
20100312,RWW,1000,1350,Q,
20100315,RWW,1138,2238,Q,
20100316,RWW,950,1982,Q,
20100317,RWW,1195,1395,Q,
20100318,RWW,1399,1399,Q,
20100319,RWW,215,715,Q,
20100322,RWW,100,200,Q,
20100323,RWW,200,200,Q,
20100324,RWW,200,200,Q,
20100325,RWW,695,1107,Q,
20100326,RWW,550,550,Q,
20100329,RWW,700,900,Q,
20100330,RWW,533,533,Q,
20100331,RWW,861,1361,Q,
20100401,RWW,1186,1186,Q,
20100405,RWW,785,1735,Q,
20100406,RWW,723,823,Q,
20100407,RWW,300,300,Q,
20100409,RWW,1400,1533,Q,
20100412,RWW,2785,3978,Q,
20100413,RWW,860,960,Q,
20100414,RWW,5654,6770,Q,
20100415,RWW,1510,1510,Q,
20100416,RWW,500,500,Q,
20100419,RWW,1773,4017,Q,
20100420,RWW,2409,2759,Q,
20100421,RWW,735,735,Q,
20100422,RWW,1400,1671,Q,
20100423,RWW,250,350,Q,
20100426,RWW,3322,3671,Q,
20100427,RWW,200,2225,Q,
20100428,RWW,37311,37611,Q,
20100429,RWW,400,788,Q,
20100430,RWW,3479,3780,Q,
20100503,RWW,4496,6553,Q,
20100504,RWW,5100,6170,Q,
20100510,RWW,1144,1713,Q,
20100511,RWW,556,1020,Q,
20100512,RWW,4154,5707,Q,
20100518,RWW,100,950,Q,
20100519,RWW,450,1170,Q,
20100520,RWW,895,2674,Q,
20100521,RWW,648,972,Q,
20100524,RWW,100,100,Q,
20100525,RWW,944,1797,Q,
20100526,RWW,1279,2479,Q,
20100528,RWW,2086,2086,Q,
20100601,RWW,2358,2358,Q,
20100603,RWW,1194,1194,Q,
20100604,RWW,162,722,Q,
20100607,RWW,2060,2360,Q,
20100608,RWW,1568,2741,Q,
20100609,RWW,865,1093,Q,
20100610,RWW,156,156,Q,
20100614,RWW,330,481,Q,
20100615,RWW,472,472,Q,
20100617,RWW,417,600,Q,
20100618,RWW,16987,17187,Q,
20100621,RWW,100,100,Q,
20100622,RWW,170,1145,Q,
20100623,RWW,140,340,Q,
20100624,RWW,100,1410,Q,
20100625,RWW,1224,2798,Q,
20100628,RWW,905,1005,Q,
20100629,RWW,1030,1636,Q,
20100630,RWW,250,250,Q,
20100701,RWW,105,2185,Q,
20100706,RWW,590,3183,Q,
20100707,RWW,475,597,Q,
20100708,RWW,1401,2158,Q,
20100709,RWW,980,3897,Q,
20110804,RWW,500,1670,,0.0
