,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SATS,13798,65029,Q,
20100105,SATS,13210,46288,Q,
20100106,SATS,12022,52514,Q,
20100107,SATS,17650,67888,Q,
20100108,SATS,2200,11108,Q,
20100111,SATS,3876,72998,Q,
20100112,SATS,10719,47968,Q,
20100113,SATS,7244,25444,Q,
20100114,SATS,6247,40692,Q,
20100115,SATS,12398,21478,Q,
20100119,SATS,10083,38431,Q,
20100120,SATS,7350,28797,Q,
20100121,SATS,4400,49696,Q,
20100122,SATS,4744,15222,Q,
20100125,SATS,9406,48461,Q,
20100126,SATS,3800,37485,Q,
20100127,SATS,5100,19580,Q,
20100128,SATS,8518,18002,Q,
20100129,SATS,10683,27483,Q,
20100201,SATS,9466,24929,Q,
20100202,SATS,8793,56328,Q,
20100203,SATS,5600,25659,Q,
20100204,SATS,19987,34429,Q,
20100205,SATS,6861,17432,Q,
20100208,SATS,21498,33225,Q,
20100209,SATS,3757,9343,Q,
20100210,SATS,3192,11162,Q,
20100211,SATS,1900,7720,Q,
20100212,SATS,3300,24667,Q,
20100216,SATS,5005,12443,Q,
20100217,SATS,7037,31289,Q,
20100218,SATS,5074,31835,Q,
20100219,SATS,4073,36548,Q,
20100222,SATS,3607,116252,Q,
20100223,SATS,1800,110678,Q,
20100224,SATS,600,8606,Q,
20100225,SATS,7735,35340,Q,
20100226,SATS,13591,137223,Q,
20100301,SATS,25795,81729,Q,
20100302,SATS,12423,154234,Q,
20100303,SATS,7600,60473,Q,
20100304,SATS,23578,102824,Q,
20100305,SATS,52223,123058,Q,
20100308,SATS,19644,54892,Q,
20100309,SATS,14506,76244,Q,
20100310,SATS,10595,32067,Q,
20100311,SATS,23076,49290,Q,
20100312,SATS,26069,107614,Q,
20100315,SATS,8675,30970,Q,
20100316,SATS,6725,58165,Q,
20100317,SATS,10346,44894,Q,
20100318,SATS,7895,46847,Q,
20100319,SATS,7652,32828,Q,
20100322,SATS,3300,24932,Q,
20100323,SATS,13000,32400,Q,
20100324,SATS,5951,50706,Q,
20100325,SATS,9461,52968,Q,
20100326,SATS,5068,17883,Q,
20100329,SATS,6501,18263,Q,
20100330,SATS,12021,22249,Q,
20100331,SATS,19899,48760,Q,
20100401,SATS,12645,50575,Q,
20100405,SATS,6363,17771,Q,
20100406,SATS,12353,43096,Q,
20100407,SATS,11860,54740,Q,
20100408,SATS,13354,48474,Q,
20100409,SATS,63100,125644,Q,
20100412,SATS,27982,49149,Q,
20100413,SATS,14400,37003,Q,
20100414,SATS,9093,23973,Q,
20100415,SATS,10270,25173,Q,
20100416,SATS,14629,29074,Q,
20100419,SATS,9039,19572,Q,
20100420,SATS,6729,18965,Q,
20100421,SATS,9670,20409,Q,
20100422,SATS,3913,11789,Q,
20100423,SATS,5293,29675,Q,
20100426,SATS,1875,10121,Q,
20100427,SATS,6983,25590,Q,
20100428,SATS,8854,19107,Q,
20100429,SATS,5928,20426,Q,
20100430,SATS,12931,23549,Q,
20100503,SATS,2900,22783,Q,
20100504,SATS,11934,29496,Q,
20100510,SATS,30481,100349,Q,
20100511,SATS,25507,81867,Q,
20100512,SATS,11042,119246,Q,
20100513,SATS,24141,37760,Q,
20100517,SATS,11291,143091,Q,
20100518,SATS,9582,95684,Q,
20100519,SATS,9196,22655,Q,
20100520,SATS,16931,42548,Q,
20100521,SATS,12194,92809,Q,
20100524,SATS,7392,22202,Q,
20100525,SATS,11632,28631,Q,
20100526,SATS,20791,64097,Q,
20100527,SATS,16580,37303,Q,
20100528,SATS,11199,28025,Q,
20100601,SATS,17592,42030,Q,
20100602,SATS,12751,45705,Q,
20100603,SATS,11960,77755,Q,
20100604,SATS,15959,28764,Q,
20100607,SATS,10657,25931,Q,
20100608,SATS,37035,62674,Q,
20100609,SATS,12850,37886,Q,
20100610,SATS,27946,54249,Q,
20100611,SATS,7179,59536,Q,
20100614,SATS,12621,66371,Q,
20100615,SATS,5004,48596,Q,
20100616,SATS,20388,88359,Q,
20100617,SATS,4226,15034,Q,
20100618,SATS,13022,34342,Q,
20100621,SATS,13175,34235,Q,
20100622,SATS,7458,19497,Q,
20100623,SATS,12374,19900,Q,
20100624,SATS,3300,41986,Q,
20100625,SATS,19253,36292,Q,
20100628,SATS,7145,18285,Q,
20100629,SATS,18092,36429,Q,
20100630,SATS,40857,81345,Q,
20100701,SATS,31448,67224,Q,
20100702,SATS,6743,19081,Q,
20100706,SATS,9216,47494,Q,
20100707,SATS,7579,21922,Q,
20100708,SATS,5700,17700,Q,
20100709,SATS,1720,13319,Q,
20110804,SATS,9365,34378,,0.0
