,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100316,SBAY,9207,29260,Q,
20100317,SBAY,5844,10826,Q,
20100318,SBAY,4767,11347,Q,
20100319,SBAY,2000,19687,Q,
20100322,SBAY,1643,12217,Q,
20100323,SBAY,600,11556,Q,
20100324,SBAY,100,2875,Q,
20100325,SBAY,300,2108,Q,
20100326,SBAY,200,2000,Q,
20100329,SBAY,1000,3752,Q,
20100330,SBAY,200,800,Q,
20100401,SBAY,1350,2940,Q,
20100405,SBAY,1800,7914,Q,
20100407,SBAY,1779,5170,Q,
20100408,SBAY,1400,8600,Q,
20100409,SBAY,2138,6538,Q,
20100412,SBAY,200,1632,Q,
20100413,SBAY,450,6354,Q,
20100415,SBAY,400,1248,Q,
20100416,SBAY,800,7775,Q,
20100419,SBAY,100,3991,Q,
20100420,SBAY,1000,2075,Q,
20100421,SBAY,3200,5424,Q,
20100422,SBAY,800,4220,Q,
20100423,SBAY,600,4400,Q,
20100426,SBAY,2400,6327,Q,
20100428,SBAY,1300,6712,Q,
20100429,SBAY,1800,9360,Q,
20100430,SBAY,2478,26753,Q,
20100503,SBAY,11780,25352,Q,
20100504,SBAY,5161,11366,Q,
20100517,SBAY,270,5435,Q,
20100518,SBAY,791,4881,Q,
20100519,SBAY,1700,7252,Q,
20100520,SBAY,3300,16744,Q,
20100524,SBAY,100,1998,Q,
20100526,SBAY,1292,3318,Q,
20100527,SBAY,700,3271,Q,
20100528,SBAY,2760,3510,Q,
20100601,SBAY,150,692,Q,
20100603,SBAY,1100,1400,Q,
20100604,SBAY,200,1845,Q,
20100607,SBAY,100,1463,Q,
20100608,SBAY,500,1440,Q,
20100611,SBAY,100,3000,Q,
20100614,SBAY,1450,5468,Q,
20100616,SBAY,300,2300,Q,
20100617,SBAY,200,4900,Q,
20100618,SBAY,100,3062,Q,
20100621,SBAY,500,4357,Q,
20100622,SBAY,500,10122,Q,
20100623,SBAY,1000,6461,Q,
20100628,SBAY,1000,3896,Q,
20100629,SBAY,3150,13649,Q,
20100630,SBAY,300,4174,Q,
20100701,SBAY,1800,17350,Q,
20100702,SBAY,144,3774,Q,
20100706,SBAY,700,3170,Q,
20100707,SBAY,800,2356,Q,
20100708,SBAY,2420,4020,Q,
20100709,SBAY,4497,13607,Q,
