,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SCJ,707,1295,Q,
20100105,SCJ,700,1500,Q,
20100106,SCJ,1985,20602,Q,
20100107,SCJ,2058,4669,Q,
20100108,SCJ,997,1589,Q,
20100111,SCJ,1100,2130,Q,
20100112,SCJ,800,1350,Q,
20100113,SCJ,1950,1950,Q,
20100114,SCJ,1500,2232,Q,
20100115,SCJ,2340,3335,Q,
20100119,SCJ,15787,15887,Q,
20100120,SCJ,1349,25499,Q,
20100121,SCJ,350,2097,Q,
20100122,SCJ,255,255,Q,
20100126,SCJ,100,100,Q,
20100127,SCJ,1000,1200,Q,
20100129,SCJ,200,1103,Q,
20100201,SCJ,590,690,Q,
20100203,SCJ,2000,2500,Q,
20100204,SCJ,100,680,Q,
20100205,SCJ,1520,2820,Q,
20100208,SCJ,1000,1563,Q,
20100209,SCJ,1300,1300,Q,
20100211,SCJ,225,375,Q,
20100212,SCJ,900,3596,Q,
20100217,SCJ,200,400,Q,
20100218,SCJ,350,350,Q,
20100219,SCJ,16025,16725,Q,
20100222,SCJ,600,925,Q,
20100223,SCJ,2000,3100,Q,
20100224,SCJ,300,300,Q,
20100226,SCJ,700,924,Q,
20100301,SCJ,720,2618,Q,
20100302,SCJ,2800,2800,Q,
20100303,SCJ,550,957,Q,
20100304,SCJ,438,738,Q,
20100305,SCJ,857,1107,Q,
20100309,SCJ,418,1763,Q,
20100310,SCJ,434,1334,Q,
20100311,SCJ,350,350,Q,
20100312,SCJ,664,1364,Q,
20100315,SCJ,1600,5150,Q,
20100317,SCJ,3104,3104,Q,
20100318,SCJ,730,1582,Q,
20100322,SCJ,266,1361,Q,
20100324,SCJ,3510,203838,Q,
20100325,SCJ,1135,1835,Q,
20100326,SCJ,1200,3200,Q,
20100329,SCJ,500,500,Q,
20100330,SCJ,700,1138,Q,
20100401,SCJ,2100,2313,Q,
20100405,SCJ,325,1020,Q,
20100406,SCJ,450,655,Q,
20100407,SCJ,400,625,Q,
20100408,SCJ,213,470,Q,
20100409,SCJ,750,750,Q,
20100412,SCJ,1475,2216,Q,
20100413,SCJ,300,300,Q,
20100414,SCJ,400,1639,Q,
20100415,SCJ,400,3900,Q,
20100416,SCJ,1325,4108,Q,
20100419,SCJ,765,915,Q,
20100421,SCJ,200,590,Q,
20100422,SCJ,610,1210,Q,
20100423,SCJ,3625,4217,Q,
20100426,SCJ,4520,6282,Q,
20100427,SCJ,2500,4450,Q,
20100428,SCJ,427,1072,Q,
20100429,SCJ,3181,6069,Q,
20100430,SCJ,6641,7641,Q,
20100503,SCJ,106,106,Q,
20100504,SCJ,1941,5711,Q,
20100510,SCJ,1955,2305,Q,
20100511,SCJ,101,201,Q,
20100512,SCJ,2600,2723,Q,
20100513,SCJ,1221,1661,Q,
20100517,SCJ,200,2506,Q,
20100518,SCJ,218,587,Q,
20100519,SCJ,320,983,Q,
20100520,SCJ,2650,4096,Q,
20100524,SCJ,300,555,Q,
20100525,SCJ,4529,8229,Q,
20100526,SCJ,2950,4850,Q,
20100527,SCJ,100,1053,Q,
20100601,SCJ,1045,1303,Q,
20100602,SCJ,100,300,Q,
20100603,SCJ,305,305,Q,
20100604,SCJ,125,1525,Q,
20100607,SCJ,1494,3525,Q,
20100609,SCJ,737,1120,Q,
20100611,SCJ,365,465,Q,
20100622,SCJ,840,3590,Q,
20100625,SCJ,100,900,Q,
20100628,SCJ,700,2008,Q,
20100629,SCJ,400,1509,Q,
20100630,SCJ,455,1585,Q,
20100701,SCJ,353,453,Q,
20110804,SCJ,4554,17597,,0.0
