,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SCMFO,5305,5305,Q,
20100105,SCMFO,800,3560,Q,
20100106,SCMFO,7160,8060,Q,
20100108,SCMFO,1530,3230,Q,
20100111,SCMFO,1672,4752,Q,
20100112,SCMFO,1098,1898,Q,
20100113,SCMFO,2400,3000,Q,
20100114,SCMFO,2800,4000,Q,
20100115,SCMFO,300,500,Q,
20100121,SCMFO,2555,3055,Q,
20100125,SCMFO,100,1325,Q,
20100127,SCMFO,1278,2278,Q,
20100129,SCMFO,2100,5863,Q,
20100203,SCMFO,500,500,Q,
20100204,SCMFO,1600,2000,Q,
20100205,SCMFO,470,470,Q,
20100208,SCMFO,1081,1081,Q,
20100209,SCMFO,800,1800,Q,
20100211,SCMFO,800,2700,Q,
20100216,SCMFO,3280,4130,Q,
20100217,SCMFO,997,997,Q,
20100219,SCMFO,948,1048,Q,
20100222,SCMFO,2135,2135,Q,
20100302,SCMFO,400,500,Q,
20100303,SCMFO,300,1667,Q,
20100304,SCMFO,200,300,Q,
20100309,SCMFO,1645,1845,Q,
20100310,SCMFO,500,600,Q,
20100311,SCMFO,550,550,Q,
20100318,SCMFO,1300,6410,Q,
20100319,SCMFO,750,750,Q,
20100324,SCMFO,300,1500,Q,
20100325,SCMFO,200,800,Q,
20100331,SCMFO,1942,3302,Q,
20100405,SCMFO,1064,1339,Q,
20100406,SCMFO,1319,2381,Q,
20100407,SCMFO,3251,4268,Q,
20100408,SCMFO,1400,1900,Q,
20100409,SCMFO,700,1749,Q,
20100412,SCMFO,3594,4469,Q,
20100413,SCMFO,1550,13900,Q,
20100414,SCMFO,2800,3200,Q,
20100415,SCMFO,1100,1100,Q,
20100416,SCMFO,100,500,Q,
20100419,SCMFO,800,1000,Q,
20100420,SCMFO,3300,3900,Q,
20100421,SCMFO,1500,2900,Q,
20100422,SCMFO,1500,1500,Q,
20100426,SCMFO,500,1339,Q,
20100427,SCMFO,2300,3600,Q,
20100430,SCMFO,1325,1325,Q,
20100503,SCMFO,400,400,Q,
20100504,SCMFO,740,740,Q,
20100510,SCMFO,200,795,Q,
20100511,SCMFO,4340,5840,Q,
20100512,SCMFO,300,900,Q,
20100513,SCMFO,500,3000,Q,
20100517,SCMFO,200,400,Q,
20100518,SCMFO,600,725,Q,
20100519,SCMFO,400,400,Q,
20100525,SCMFO,1000,2000,Q,
20100528,SCMFO,400,400,Q,
20100601,SCMFO,2777,3167,Q,
20100602,SCMFO,2100,3700,Q,
20100603,SCMFO,400,1500,Q,
20100604,SCMFO,1350,2550,Q,
20100607,SCMFO,400,1167,Q,
20100609,SCMFO,600,1400,Q,
20100610,SCMFO,400,3400,Q,
20100611,SCMFO,100,1300,Q,
20100614,SCMFO,500,500,Q,
20100621,SCMFO,750,2350,Q,
20100622,SCMFO,2275,2675,Q,
20100623,SCMFO,200,200,Q,
20100624,SCMFO,400,2200,Q,
20100628,SCMFO,150,850,Q,
20100630,SCMFO,1125,2000,Q,
20100701,SCMFO,200,400,Q,
20110804,SCMFO,200,5950,,0.0
