,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100107,SGN,4100,4200,Q,
20100111,SGN,800,800,Q,
20100201,SGN,400,400,Q,
20100202,SGN,875,875,Q,
20100209,SGN,450,450,Q,
20100304,SGN,1179,1778,Q,
20100322,SGN,2200,2200,Q,
20100401,SGN,1150,1150,Q,
20100408,SGN,900,900,Q,
20100414,SGN,1200,3100,Q,
20100420,SGN,100,100,Q,
20100423,SGN,2000,2000,Q,
20100503,SGN,900,5200,Q,
20100512,SGN,800,7010,Q,
20100513,SGN,100,100,Q,
20100519,SGN,800,800,Q,
20100526,SGN,100,1000,Q,
20100601,SGN,820,820,Q,
20100604,SGN,100,100,Q,
