,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SHM,114748,213686,Q,
20100105,SHM,95918,198217,Q,
20100106,SHM,107218,340082,Q,
20100107,SHM,55043,109999,Q,
20100108,SHM,119255,231596,Q,
20100111,SHM,74763,166170,Q,
20100112,SHM,78800,182220,Q,
20100113,SHM,40163,95668,Q,
20100114,SHM,72146,112811,Q,
20100115,SHM,75398,172268,Q,
20100119,SHM,140710,235571,Q,
20100120,SHM,105240,239562,Q,
20100121,SHM,88811,137949,Q,
20100122,SHM,86273,193194,Q,
20100125,SHM,80779,401658,Q,
20100126,SHM,65364,141962,Q,
20100127,SHM,137271,217889,Q,
20100128,SHM,117230,171660,Q,
20100129,SHM,165977,209995,Q,
20100201,SHM,160286,272719,Q,
20100202,SHM,72728,114086,Q,
20100203,SHM,76760,159611,Q,
20100204,SHM,96722,180348,Q,
20100205,SHM,754007,816608,Q,
20100208,SHM,68828,136166,Q,
20100209,SHM,134862,227778,Q,
20100210,SHM,64503,178238,Q,
20100211,SHM,67149,121183,Q,
20100212,SHM,43433,86901,Q,
20100216,SHM,122165,187993,Q,
20100217,SHM,90076,124045,Q,
20100218,SHM,132184,189677,Q,
20100219,SHM,116893,223081,Q,
20100222,SHM,270927,410525,Q,
20100223,SHM,167226,273045,Q,
20100224,SHM,156799,199960,Q,
20100225,SHM,104253,162374,Q,
20100226,SHM,204081,276892,Q,
20100301,SHM,142185,242294,Q,
20100302,SHM,204663,401373,Q,
20100303,SHM,212842,313075,Q,
20100304,SHM,204287,293978,Q,
20100305,SHM,251895,303818,Q,
20100308,SHM,108805,163774,Q,
20100309,SHM,125585,211168,Q,
20100310,SHM,119871,203587,Q,
20100311,SHM,132238,249474,Q,
20100312,SHM,87445,164251,Q,
20100315,SHM,74207,133636,Q,
20100316,SHM,93274,184397,Q,
20100317,SHM,123799,272642,Q,
20100318,SHM,126942,207429,Q,
20100319,SHM,119352,197486,Q,
20100322,SHM,101476,237982,Q,
20100323,SHM,124088,218312,Q,
20100324,SHM,127169,199517,Q,
20100325,SHM,140326,270922,Q,
20100326,SHM,100897,258034,Q,
20100329,SHM,98780,193141,Q,
20100330,SHM,126606,199444,Q,
20100331,SHM,164654,253864,Q,
20100401,SHM,200056,357928,Q,
20100405,SHM,158136,344905,Q,
20100406,SHM,123046,248747,Q,
20100407,SHM,154956,331724,Q,
20100408,SHM,62324,152017,Q,
20100409,SHM,27617,117818,Q,
20100412,SHM,95430,202415,Q,
20100413,SHM,74909,188394,Q,
20100414,SHM,73321,251102,Q,
20100415,SHM,57605,153671,Q,
20100416,SHM,44741,184701,Q,
20100419,SHM,36919,100362,Q,
20100420,SHM,162322,262556,Q,
20100421,SHM,65973,193833,Q,
20100422,SHM,77443,197775,Q,
20100423,SHM,65591,108177,Q,
20100426,SHM,38283,109850,Q,
20100427,SHM,132525,230708,Q,
20100428,SHM,135346,197578,Q,
20100429,SHM,143776,200074,Q,
20100430,SHM,103279,178190,Q,
20100503,SHM,99151,140342,Q,
20100504,SHM,122586,173638,Q,
20100510,SHM,74418,156876,Q,
20100511,SHM,48154,136860,Q,
20100512,SHM,91797,126059,Q,
20100513,SHM,89705,112304,Q,
20100517,SHM,92602,153409,Q,
20100518,SHM,209532,299772,Q,
20100519,SHM,150257,287106,Q,
20100520,SHM,83458,173682,Q,
20100521,SHM,121280,174535,Q,
20100524,SHM,82366,128198,Q,
20100525,SHM,101967,188146,Q,
20100526,SHM,93832,152871,Q,
20100527,SHM,182358,311137,Q,
20100528,SHM,283138,315049,Q,
20100601,SHM,85467,168250,Q,
20100602,SHM,103207,162203,Q,
20100603,SHM,186173,250004,Q,
20100604,SHM,94950,300052,Q,
20100607,SHM,40305,95619,Q,
20100608,SHM,135772,201606,Q,
20100609,SHM,46616,111487,Q,
20100610,SHM,123266,164381,Q,
20100611,SHM,90156,126550,Q,
20100614,SHM,79176,138584,Q,
20100615,SHM,57654,125317,Q,
20100616,SHM,90309,140054,Q,
20100617,SHM,115363,199468,Q,
20100618,SHM,70501,134069,Q,
20100621,SHM,67946,126877,Q,
20100622,SHM,89664,143370,Q,
20100623,SHM,75906,114828,Q,
20100624,SHM,136654,192807,Q,
20100625,SHM,84545,133363,Q,
20100628,SHM,93185,182882,Q,
20100629,SHM,203948,352388,Q,
20100630,SHM,96103,150327,Q,
20100701,SHM,190207,314121,Q,
20100702,SHM,100209,228095,Q,
20100706,SHM,72210,227967,Q,
20100707,SHM,67263,127670,Q,
20100708,SHM,54987,109166,Q,
20100709,SHM,55394,157391,Q,
20110804,SHM,40786,105871,,0.0
