,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SIFI,800,800,Q,
20100106,SIFI,200,400,Q,
20100107,SIFI,2280,2620,Q,
20100115,SIFI,200,200,Q,
20100119,SIFI,2000,2500,Q,
20100129,SIFI,100,500,Q,
20100201,SIFI,900,1500,Q,
20100205,SIFI,100,667,Q,
20100210,SIFI,100,543,Q,
20100212,SIFI,100,100,Q,
20100216,SIFI,100,1400,Q,
20100217,SIFI,100,100,Q,
20100224,SIFI,1000,1000,Q,
20100302,SIFI,200,1900,Q,
20100303,SIFI,300,300,Q,
20100305,SIFI,500,500,Q,
20100322,SIFI,839,1600,Q,
20100323,SIFI,900,1700,Q,
20100324,SIFI,140,600,Q,
20100325,SIFI,1100,1501,Q,
20100329,SIFI,700,1565,Q,
20100401,SIFI,630,730,Q,
20100405,SIFI,100,300,Q,
20100406,SIFI,200,300,Q,
20100407,SIFI,720,1440,Q,
20100414,SIFI,140,240,Q,
20100415,SIFI,200,200,Q,
20100420,SIFI,900,1990,Q,
20100423,SIFI,100,790,Q,
20100517,SIFI,100,100,Q,
20100519,SIFI,100,500,Q,
20100528,SIFI,100,200,Q,
20100601,SIFI,100,100,Q,
20100608,SIFI,100,100,Q,
20100609,SIFI,505,964,Q,
20100701,SIFI,100,800,Q,
20100707,SIFI,100,100,Q,
20110804,SIFI,600,900,,0.0
