,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SIMG,65225,171805,Q,
20100105,SIMG,46090,188023,Q,
20100106,SIMG,300058,651229,Q,
20100107,SIMG,80164,205650,Q,
20100108,SIMG,83785,270518,Q,
20100111,SIMG,60003,240948,Q,
20100112,SIMG,115460,437218,Q,
20100113,SIMG,203234,399670,Q,
20100114,SIMG,275614,703788,Q,
20100115,SIMG,124120,320610,Q,
20100119,SIMG,70142,169697,Q,
20100120,SIMG,65145,191436,Q,
20100121,SIMG,81793,314901,Q,
20100122,SIMG,64821,179822,Q,
20100125,SIMG,40505,197339,Q,
20100126,SIMG,34724,135896,Q,
20100127,SIMG,52258,134524,Q,
20100128,SIMG,67621,227656,Q,
20100129,SIMG,47485,172334,Q,
20100201,SIMG,28589,85681,Q,
20100202,SIMG,40418,156227,Q,
20100203,SIMG,59602,129396,Q,
20100204,SIMG,127528,230546,Q,
20100205,SIMG,161372,328226,Q,
20100208,SIMG,41773,118207,Q,
20100209,SIMG,31017,123330,Q,
20100210,SIMG,54671,180054,Q,
20100211,SIMG,29300,87442,Q,
20100212,SIMG,68766,162174,Q,
20100216,SIMG,120247,190134,Q,
20100217,SIMG,45704,123216,Q,
20100218,SIMG,28237,80514,Q,
20100219,SIMG,12877,59211,Q,
20100222,SIMG,32166,93956,Q,
20100223,SIMG,63995,157785,Q,
20100224,SIMG,36241,107151,Q,
20100225,SIMG,31802,78335,Q,
20100226,SIMG,25788,131550,Q,
20100301,SIMG,37244,102208,Q,
20100302,SIMG,39977,267496,Q,
20100303,SIMG,61413,333333,Q,
20100304,SIMG,232419,708295,Q,
20100305,SIMG,91454,353669,Q,
20100308,SIMG,108148,269711,Q,
20100309,SIMG,150784,380668,Q,
20100310,SIMG,226558,543119,Q,
20100311,SIMG,104732,279148,Q,
20100312,SIMG,91817,373034,Q,
20100315,SIMG,10250,96289,Q,
20100316,SIMG,59779,168557,Q,
20100317,SIMG,203919,487640,Q,
20100318,SIMG,21262,95797,Q,
20100319,SIMG,73328,250813,Q,
20100322,SIMG,190615,543870,Q,
20100323,SIMG,47824,244934,Q,
20100324,SIMG,84436,241913,Q,
20100325,SIMG,82472,256324,Q,
20100326,SIMG,22544,130339,Q,
20100329,SIMG,32985,125374,Q,
20100330,SIMG,69068,217218,Q,
20100331,SIMG,35477,75967,Q,
20100401,SIMG,53604,130346,Q,
20100405,SIMG,98658,232345,Q,
20100406,SIMG,26960,86936,Q,
20100407,SIMG,180145,517208,Q,
20100408,SIMG,76864,143117,Q,
20100409,SIMG,58840,137300,Q,
20100412,SIMG,38154,140138,Q,
20100413,SIMG,82600,195632,Q,
20100414,SIMG,144376,510197,Q,
20100415,SIMG,117744,267186,Q,
20100416,SIMG,104747,251946,Q,
20100419,SIMG,65483,120276,Q,
20100420,SIMG,121630,295012,Q,
20100421,SIMG,93169,236650,Q,
20100422,SIMG,48877,128933,Q,
20100423,SIMG,75530,199337,Q,
20100426,SIMG,52716,156363,Q,
20100427,SIMG,106005,349649,Q,
20100428,SIMG,478951,1313742,Q,
20100429,SIMG,81545,386175,Q,
20100430,SIMG,104468,353045,Q,
20100503,SIMG,102357,269706,Q,
20100504,SIMG,93529,240636,Q,
20100510,SIMG,53730,144929,Q,
20100511,SIMG,53053,160483,Q,
20100512,SIMG,22343,97291,Q,
20100513,SIMG,53514,124981,Q,
20100517,SIMG,148349,451958,Q,
20100518,SIMG,100649,333986,Q,
20100519,SIMG,112537,306223,Q,
20100520,SIMG,127286,357110,Q,
20100521,SIMG,73601,171765,Q,
20100524,SIMG,139750,251222,Q,
20100525,SIMG,131556,302035,Q,
20100526,SIMG,70454,150607,Q,
20100527,SIMG,86581,251961,Q,
20100528,SIMG,36554,142949,Q,
20100601,SIMG,74964,197397,Q,
20100602,SIMG,40393,105986,Q,
20100603,SIMG,41278,133995,Q,
20100604,SIMG,88400,235151,Q,
20100607,SIMG,125430,357646,Q,
20100608,SIMG,123359,425075,Q,
20100609,SIMG,64614,182289,Q,
20100610,SIMG,87916,292246,Q,
20100611,SIMG,39490,137469,Q,
20100614,SIMG,26091,145945,Q,
20100615,SIMG,18638,74826,Q,
20100616,SIMG,63600,197198,Q,
20100617,SIMG,37000,144964,Q,
20100618,SIMG,186705,538869,Q,
20100621,SIMG,32549,119883,Q,
20100622,SIMG,42821,116292,Q,
20100623,SIMG,64172,155511,Q,
20100624,SIMG,38050,83318,Q,
20100625,SIMG,68103,220387,Q,
20100628,SIMG,269299,417345,Q,
20100629,SIMG,138953,212104,Q,
20100630,SIMG,83699,136328,Q,
20100701,SIMG,60168,182909,Q,
20100702,SIMG,38675,93795,Q,
20100706,SIMG,85160,332320,Q,
20100707,SIMG,213582,513167,Q,
20100708,SIMG,86417,142692,Q,
20100709,SIMG,26026,54376,Q,
20110804,SIMG,245034,419207,,0.0
