,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SIVR,38461,71793,Q,
20100105,SIVR,37103,70895,Q,
20100106,SIVR,73392,106827,Q,
20100107,SIVR,18184,51665,Q,
20100108,SIVR,25442,83246,Q,
20100111,SIVR,61976,98387,Q,
20100112,SIVR,32849,85389,Q,
20100113,SIVR,21591,51761,Q,
20100114,SIVR,25768,46070,Q,
20100115,SIVR,51167,139461,Q,
20100119,SIVR,27554,79144,Q,
20100120,SIVR,45770,121681,Q,
20100121,SIVR,40642,124092,Q,
20100122,SIVR,37011,91568,Q,
20100125,SIVR,43248,61520,Q,
20100126,SIVR,82093,118196,Q,
20100127,SIVR,42861,70427,Q,
20100128,SIVR,41574,68433,Q,
20100129,SIVR,28958,59687,Q,
20100201,SIVR,31913,77725,Q,
20100202,SIVR,24740,48870,Q,
20100203,SIVR,36367,47948,Q,
20100204,SIVR,92926,150484,Q,
20100205,SIVR,59300,193935,Q,
20100208,SIVR,54938,84963,Q,
20100209,SIVR,60861,93232,Q,
20100210,SIVR,24665,55357,Q,
20100211,SIVR,37275,61519,Q,
20100212,SIVR,27029,46819,Q,
20100216,SIVR,45229,60020,Q,
20100217,SIVR,18668,63258,Q,
20100218,SIVR,13612,34976,Q,
20100219,SIVR,23341,50705,Q,
20100222,SIVR,26912,46307,Q,
20100223,SIVR,32558,47440,Q,
20100224,SIVR,10958,40464,Q,
20100225,SIVR,33076,57069,Q,
20100226,SIVR,43589,64549,Q,
20100301,SIVR,16271,32537,Q,
20100302,SIVR,50840,88878,Q,
20100303,SIVR,50379,101922,Q,
20100304,SIVR,13428,29203,Q,
20100305,SIVR,22928,49684,Q,
20100308,SIVR,28619,45756,Q,
20100309,SIVR,30448,53091,Q,
20100310,SIVR,39650,91153,Q,
20100311,SIVR,17920,52232,Q,
20100312,SIVR,16694,44939,Q,
20100315,SIVR,20482,39900,Q,
20100316,SIVR,27936,44505,Q,
20100317,SIVR,31373,47042,Q,
20100318,SIVR,16372,45744,Q,
20100319,SIVR,25864,74080,Q,
20100322,SIVR,8599,59322,Q,
20100323,SIVR,6270,28203,Q,
20100324,SIVR,19539,76941,Q,
20100325,SIVR,22779,50049,Q,
20100326,SIVR,59873,75508,Q,
20100329,SIVR,26488,55343,Q,
20100330,SIVR,11714,39841,Q,
20100331,SIVR,30797,49948,Q,
20100401,SIVR,33110,71070,Q,
20100405,SIVR,53456,106028,Q,
20100406,SIVR,19609,38152,Q,
20100407,SIVR,55453,130376,Q,
20100408,SIVR,13540,47087,Q,
20100409,SIVR,32583,76347,Q,
20100412,SIVR,15805,61620,Q,
20100413,SIVR,11200,71261,Q,
20100414,SIVR,21883,60296,Q,
20100415,SIVR,11285,51135,Q,
20100416,SIVR,57461,189049,Q,
20100419,SIVR,21419,53098,Q,
20100420,SIVR,39190,67735,Q,
20100421,SIVR,25012,102447,Q,
20100422,SIVR,37900,59353,Q,
20100423,SIVR,32471,69355,Q,
20100426,SIVR,14779,45178,Q,
20100427,SIVR,45029,76053,Q,
20100428,SIVR,16416,103258,Q,
20100429,SIVR,8398,75775,Q,
20100430,SIVR,13975,47649,Q,
20100503,SIVR,21056,63737,Q,
20100504,SIVR,161397,235554,Q,
20100510,SIVR,80039,121937,Q,
20100511,SIVR,85581,148078,Q,
20100512,SIVR,69672,100887,Q,
20100513,SIVR,58516,96546,Q,
20100517,SIVR,35840,112058,Q,
20100518,SIVR,58320,117975,Q,
20100519,SIVR,94124,166600,Q,
20100520,SIVR,69549,120108,Q,
20100521,SIVR,113937,184034,Q,
20100524,SIVR,28661,42757,Q,
20100525,SIVR,94396,141919,Q,
20100526,SIVR,42882,73875,Q,
20100527,SIVR,49312,72822,Q,
20100528,SIVR,11873,29581,Q,
20100601,SIVR,31568,61003,Q,
20100602,SIVR,48037,82934,Q,
20100603,SIVR,31636,55562,Q,
20100604,SIVR,55619,100784,Q,
20100607,SIVR,39540,106630,Q,
20100608,SIVR,32484,101445,Q,
20100609,SIVR,24808,59271,Q,
20100610,SIVR,14033,61132,Q,
20100611,SIVR,4601,43114,Q,
20100614,SIVR,5911,33367,Q,
20100615,SIVR,10708,75822,Q,
20100616,SIVR,14580,45583,Q,
20100617,SIVR,29638,60055,Q,
20100618,SIVR,70315,129222,Q,
20100621,SIVR,42649,98313,Q,
20100622,SIVR,21633,82591,Q,
20100623,SIVR,35401,57210,Q,
20100624,SIVR,24262,45785,Q,
20100625,SIVR,17258,51017,Q,
20100628,SIVR,34202,63332,Q,
20100629,SIVR,28069,70087,Q,
20100630,SIVR,14220,28420,Q,
20100701,SIVR,45198,118956,Q,
20100702,SIVR,51684,74714,Q,
20100706,SIVR,17415,39677,Q,
20100707,SIVR,15532,31775,Q,
20100708,SIVR,10971,41135,Q,
20100709,SIVR,13020,33195,Q,
20110804,SIVR,180350,558328,,200.0
