,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SJR,21320,37726,Q,
20100105,SJR,4901,214439,Q,
20100106,SJR,8900,282354,Q,
20100107,SJR,62890,180590,Q,
20100108,SJR,11339,70449,Q,
20100111,SJR,10149,14389,Q,
20100112,SJR,11703,188312,Q,
20100113,SJR,17443,168145,Q,
20100114,SJR,16017,78117,Q,
20100115,SJR,21488,53966,Q,
20100119,SJR,20224,76958,Q,
20100120,SJR,20491,70674,Q,
20100121,SJR,35299,57784,Q,
20100122,SJR,22896,46157,Q,
20100125,SJR,13502,27854,Q,
20100126,SJR,13080,38604,Q,
20100127,SJR,10654,23773,Q,
20100128,SJR,9312,65860,Q,
20100129,SJR,13657,24283,Q,
20100201,SJR,8147,21484,Q,
20100202,SJR,9096,20254,Q,
20100203,SJR,13695,23729,Q,
20100204,SJR,8613,30042,Q,
20100205,SJR,9620,29306,Q,
20100208,SJR,6449,19241,Q,
20100209,SJR,14172,33061,Q,
20100210,SJR,12277,17365,Q,
20100211,SJR,11688,17794,Q,
20100212,SJR,14818,33278,Q,
20100216,SJR,13960,22456,Q,
20100217,SJR,8946,25683,Q,
20100218,SJR,13610,30405,Q,
20100219,SJR,5184,13171,Q,
20100222,SJR,2564,8172,Q,
20100223,SJR,6881,13479,Q,
20100224,SJR,5244,16976,Q,
20100225,SJR,7903,16305,Q,
20100226,SJR,9388,22994,Q,
20100301,SJR,9100,26492,Q,
20100302,SJR,5783,11226,Q,
20100303,SJR,16150,32238,Q,
20100304,SJR,9916,22867,Q,
20100305,SJR,9184,14110,Q,
20100308,SJR,14434,25434,Q,
20100309,SJR,9115,20084,Q,
20100310,SJR,5986,14186,Q,
20100311,SJR,6500,18053,Q,
20100312,SJR,12100,26705,Q,
20100315,SJR,4011,7686,Q,
20100316,SJR,3028,10437,Q,
20100317,SJR,7514,13145,Q,
20100318,SJR,17067,35249,Q,
20100319,SJR,5846,11127,Q,
20100322,SJR,6800,27174,Q,
20100323,SJR,5746,13706,Q,
20100324,SJR,7132,28953,Q,
20100325,SJR,2774,6538,Q,
20100326,SJR,4411,18673,Q,
20100329,SJR,2120,5548,Q,
20100330,SJR,6200,18700,Q,
20100331,SJR,7747,19296,Q,
20100401,SJR,10460,15496,Q,
20100405,SJR,4822,9053,Q,
20100406,SJR,4979,13600,Q,
20100407,SJR,4686,13505,Q,
20100408,SJR,16228,46907,Q,
20100409,SJR,24648,62992,Q,
20100412,SJR,1720,23853,Q,
20100413,SJR,4100,22100,Q,
20100414,SJR,3300,9283,Q,
20100415,SJR,2150,24706,Q,
20100416,SJR,6479,14649,Q,
20100419,SJR,3626,15347,Q,
20100420,SJR,1452,12306,Q,
20100421,SJR,6450,45906,Q,
20100422,SJR,4450,19209,Q,
20100423,SJR,3814,14970,Q,
20100426,SJR,7068,20764,Q,
20100427,SJR,4150,21387,Q,
20100428,SJR,3749,10906,Q,
20100429,SJR,5480,15241,Q,
20100430,SJR,4794,17938,Q,
20100503,SJR,11129,42882,Q,
20100504,SJR,13887,30750,Q,
20100510,SJR,10724,26066,Q,
20100511,SJR,10906,25759,Q,
20100512,SJR,7143,13048,Q,
20100513,SJR,10441,22500,Q,
20100517,SJR,4275,10514,Q,
20100518,SJR,9390,22824,Q,
20100519,SJR,14110,30258,Q,
20100520,SJR,13066,36700,Q,
20100521,SJR,13870,28792,Q,
20100524,SJR,10655,24159,Q,
20100525,SJR,5361,16343,Q,
20100526,SJR,12172,34795,Q,
20100527,SJR,7483,15127,Q,
20100528,SJR,2427,7027,Q,
20100601,SJR,8483,12075,Q,
20100602,SJR,7390,23663,Q,
20100603,SJR,5821,46753,Q,
20100604,SJR,11800,66044,Q,
20100607,SJR,12869,25594,Q,
20100608,SJR,9258,18592,Q,
20100609,SJR,7089,14113,Q,
20100610,SJR,2200,9475,Q,
20100611,SJR,3205,6968,Q,
20100614,SJR,2896,11108,Q,
20100615,SJR,4573,9725,Q,
20100616,SJR,5402,9890,Q,
20100617,SJR,2200,7526,Q,
20100618,SJR,1000,5600,Q,
20100621,SJR,3500,12278,Q,
20100622,SJR,2107,8181,Q,
20100623,SJR,3905,12594,Q,
20100624,SJR,4322,9596,Q,
20100625,SJR,2166,8873,Q,
20100628,SJR,1600,9120,Q,
20100629,SJR,4350,11545,Q,
20100630,SJR,7000,23701,Q,
20100701,SJR,10575,16378,Q,
20100702,SJR,9458,21616,Q,
20100706,SJR,7871,13295,Q,
20100707,SJR,6479,14074,Q,
20100708,SJR,2922,8449,Q,
20100709,SJR,6400,10207,Q,
20110804,SJR,7739,20615,,0.0
