,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SKT,11408,37956,Q,
20100105,SKT,63817,295693,Q,
20100106,SKT,47990,379758,Q,
20100107,SKT,131442,318694,Q,
20100108,SKT,15719,102179,Q,
20100111,SKT,36210,69896,Q,
20100112,SKT,73300,231978,Q,
20100113,SKT,68522,138293,Q,
20100114,SKT,13419,76400,Q,
20100115,SKT,20463,49056,Q,
20100119,SKT,29331,106424,Q,
20100120,SKT,56252,141419,Q,
20100121,SKT,28599,79650,Q,
20100122,SKT,18197,36930,Q,
20100125,SKT,61617,110538,Q,
20100126,SKT,75172,187938,Q,
20100127,SKT,65030,166419,Q,
20100128,SKT,67558,303123,Q,
20100129,SKT,28520,159917,Q,
20100201,SKT,72755,92510,Q,
20100202,SKT,61804,170614,Q,
20100203,SKT,20896,77098,Q,
20100204,SKT,30679,104959,Q,
20100205,SKT,32536,52646,Q,
20100208,SKT,23604,75992,Q,
20100209,SKT,24303,48437,Q,
20100210,SKT,44200,72400,Q,
20100211,SKT,25155,417232,Q,
20100212,SKT,32609,108772,Q,
20100216,SKT,75037,122057,Q,
20100217,SKT,61704,91866,Q,
20100218,SKT,91104,271707,Q,
20100219,SKT,27707,59699,Q,
20100222,SKT,23243,95311,Q,
20100223,SKT,117375,139192,Q,
20100224,SKT,191251,260530,Q,
20100225,SKT,6672,21411,Q,
20100226,SKT,54476,321765,Q,
20100301,SKT,58530,88284,Q,
20100302,SKT,19187,90427,Q,
20100303,SKT,10343,151505,Q,
20100304,SKT,10667,101003,Q,
20100305,SKT,10600,73876,Q,
20100308,SKT,37288,71299,Q,
20100309,SKT,104345,194543,Q,
20100310,SKT,88684,210944,Q,
20100311,SKT,26314,139380,Q,
20100312,SKT,43077,165192,Q,
20100315,SKT,18436,41302,Q,
20100316,SKT,221482,406900,Q,
20100317,SKT,32207,99585,Q,
20100318,SKT,36432,79960,Q,
20100319,SKT,38956,281059,Q,
20100322,SKT,56692,115233,Q,
20100323,SKT,39340,82124,Q,
20100324,SKT,24091,73475,Q,
20100325,SKT,27182,160446,Q,
20100326,SKT,9650,81647,Q,
20100329,SKT,13445,54469,Q,
20100330,SKT,66345,184147,Q,
20100331,SKT,21798,92326,Q,
20100401,SKT,32426,108396,Q,
20100405,SKT,22208,78828,Q,
20100406,SKT,27709,79662,Q,
20100407,SKT,48884,151699,Q,
20100408,SKT,21437,76749,Q,
20100409,SKT,34263,350515,Q,
20100412,SKT,15525,76534,Q,
20100413,SKT,106509,182835,Q,
20100414,SKT,154224,428217,Q,
20100415,SKT,20283,61567,Q,
20100416,SKT,26237,92037,Q,
20100419,SKT,29151,133617,Q,
20100420,SKT,97365,391234,Q,
20100421,SKT,28697,190303,Q,
20100422,SKT,57368,245662,Q,
20100423,SKT,116362,247024,Q,
20100426,SKT,19630,54953,Q,
20100427,SKT,21304,64071,Q,
20100428,SKT,32111,168055,Q,
20100429,SKT,35870,99766,Q,
20100430,SKT,12761,35912,Q,
20100503,SKT,11347,41149,Q,
20100504,SKT,40989,102327,Q,
20100510,SKT,20753,56600,Q,
20100511,SKT,34153,68567,Q,
20100512,SKT,22915,58779,Q,
20100513,SKT,33251,65938,Q,
20100517,SKT,77672,210133,Q,
20100518,SKT,17045,26311,Q,
20100519,SKT,61262,99395,Q,
20100520,SKT,72505,119024,Q,
20100521,SKT,67538,178214,Q,
20100524,SKT,26336,98054,Q,
20100525,SKT,77808,109288,Q,
20100526,SKT,35694,71899,Q,
20100527,SKT,12336,51635,Q,
20100528,SKT,44800,109784,Q,
20100601,SKT,66620,122200,Q,
20100602,SKT,94787,155335,Q,
20100603,SKT,54223,76839,Q,
20100604,SKT,55907,94457,Q,
20100607,SKT,91263,160419,Q,
20100608,SKT,51315,72923,Q,
20100609,SKT,44476,85187,Q,
20100610,SKT,30598,83138,Q,
20100611,SKT,22477,132280,Q,
20100614,SKT,20800,52621,Q,
20100615,SKT,39896,65259,Q,
20100616,SKT,43194,76329,Q,
20100617,SKT,16047,126155,Q,
20100618,SKT,19813,57580,Q,
20100621,SKT,39312,72798,Q,
20100622,SKT,41626,83556,Q,
20100623,SKT,23172,101968,Q,
20100624,SKT,276645,398763,Q,
20100625,SKT,63342,101491,Q,
20100628,SKT,75143,124596,Q,
20100629,SKT,107808,181077,Q,
20100630,SKT,54481,78005,Q,
20100701,SKT,66060,129982,Q,
20100702,SKT,108614,217169,Q,
20100706,SKT,165596,349037,Q,
20100707,SKT,60058,102805,Q,
20100708,SKT,81389,225187,Q,
20100709,SKT,24136,110539,Q,
20110804,SKT,122311,198849,,0.0
