,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SLTM,14920,67516,Q,
20100105,SLTM,3040,19837,Q,
20100106,SLTM,6090,22456,Q,
20100107,SLTM,12460,25110,Q,
20100108,SLTM,7420,54441,Q,
20100111,SLTM,11910,35533,Q,
20100112,SLTM,6076,27895,Q,
20100113,SLTM,13920,30902,Q,
20100114,SLTM,42283,123667,Q,
20100115,SLTM,6396,16751,Q,
20100119,SLTM,20954,64464,Q,
20100120,SLTM,9741,44812,Q,
20100121,SLTM,1405,16365,Q,
20100122,SLTM,300,4208,Q,
20100125,SLTM,16278,79988,Q,
20100126,SLTM,7700,28190,Q,
20100127,SLTM,6600,20259,Q,
20100128,SLTM,6400,13822,Q,
20100129,SLTM,10980,23085,Q,
20100201,SLTM,33300,48800,Q,
20100202,SLTM,100,4430,Q,
20100203,SLTM,3500,26718,Q,
20100204,SLTM,3359,17328,Q,
20100205,SLTM,2877,15102,Q,
20100208,SLTM,6925,17496,Q,
20100209,SLTM,854,17012,Q,
20100210,SLTM,300,2156,Q,
20100211,SLTM,1000,7515,Q,
20100212,SLTM,500,14948,Q,
20100218,SLTM,275,3725,Q,
20100223,SLTM,35100,83266,Q,
20100224,SLTM,3650,101019,Q,
20100225,SLTM,1300,10100,Q,
20100226,SLTM,9600,37010,Q,
20100301,SLTM,3800,26445,Q,
20100303,SLTM,1900,23850,Q,
20100304,SLTM,5900,36631,Q,
20100305,SLTM,4850,46444,Q,
20100308,SLTM,1000,2500,Q,
20100309,SLTM,4950,18760,Q,
20100311,SLTM,2250,35350,Q,
20100312,SLTM,5947,26211,Q,
20100315,SLTM,24400,36850,Q,
20100316,SLTM,4779,60687,Q,
20100317,SLTM,71044,162095,Q,
20100318,SLTM,13839,43734,Q,
20100319,SLTM,1400,16861,Q,
20100322,SLTM,1100,27762,Q,
20100323,SLTM,11614,22686,Q,
20100324,SLTM,2999,11614,Q,
20100325,SLTM,17400,35381,Q,
20100326,SLTM,6778,13507,Q,
20100329,SLTM,2200,7990,Q,
20100330,SLTM,6450,37651,Q,
20100331,SLTM,7500,41823,Q,
20100401,SLTM,357,5925,Q,
20100405,SLTM,8887,14434,Q,
20100406,SLTM,41963,71993,Q,
20100407,SLTM,650,11745,Q,
20100408,SLTM,6689,20279,Q,
20100409,SLTM,500,18653,Q,
20100412,SLTM,2600,7550,Q,
20100413,SLTM,9883,14330,Q,
20100414,SLTM,1350,42190,Q,
20100415,SLTM,3000,40428,Q,
20100416,SLTM,3100,18888,Q,
20100419,SLTM,4300,25700,Q,
20100420,SLTM,11925,35956,Q,
20100421,SLTM,8500,55644,Q,
20100422,SLTM,32455,53055,Q,
20100423,SLTM,10100,22450,Q,
20100426,SLTM,13000,46518,Q,
20100427,SLTM,7672,17072,Q,
20100428,SLTM,19473,30490,Q,
20100429,SLTM,18083,110973,Q,
20100430,SLTM,38626,55257,Q,
20100503,SLTM,40800,117184,Q,
20100504,SLTM,21987,50987,Q,
20100510,SLTM,7100,14600,Q,
20100511,SLTM,5900,49874,Q,
20100512,SLTM,31126,86537,Q,
20100513,SLTM,7108,33870,Q,
20100517,SLTM,12162,33162,Q,
20100518,SLTM,6098,27198,Q,
20100519,SLTM,6700,22870,Q,
20100520,SLTM,10000,24775,Q,
20100521,SLTM,3605,25597,Q,
20100524,SLTM,11467,44966,Q,
20100525,SLTM,5000,24383,Q,
20100526,SLTM,12780,35593,Q,
20100527,SLTM,24908,44651,Q,
20100528,SLTM,13563,34351,Q,
20100601,SLTM,28893,54400,Q,
20100602,SLTM,1900,7365,Q,
20100603,SLTM,3300,19216,Q,
20100604,SLTM,18600,34882,Q,
20100607,SLTM,3200,28432,Q,
20100608,SLTM,820,18520,Q,
20100609,SLTM,1400,17392,Q,
20100610,SLTM,6300,18667,Q,
20100611,SLTM,700,8938,Q,
20100614,SLTM,36252,50887,Q,
20100615,SLTM,23205,28840,Q,
20100616,SLTM,7400,18140,Q,
20100617,SLTM,1200,18161,Q,
20100618,SLTM,4476,36630,Q,
20100621,SLTM,9800,30746,Q,
20100622,SLTM,2578,26817,Q,
20100623,SLTM,24114,42548,Q,
20100624,SLTM,27368,106122,Q,
20100625,SLTM,129713,232334,Q,
20100628,SLTM,39772,122546,Q,
20100629,SLTM,64164,135500,Q,
20100630,SLTM,21800,45738,Q,
20100701,SLTM,22103,75292,Q,
20100702,SLTM,22450,43751,Q,
20100706,SLTM,16092,41905,Q,
20100707,SLTM,29100,58107,Q,
20100708,SLTM,9559,39083,Q,
20100709,SLTM,7946,37376,Q,
20110804,SLTM,400,28250,,100.0
